Description	Target	Measure	E11	E10	E01
["""107"""]	[target]	0.016591374663820165	1100.0	1275.0	5780.0
["""3045"""]	[target]	0.016103239269329876	1330.0	1832.0	5550.0
["""1878"""]	[target]	0.015682067510673876	1195.0	1557.0	5685.0
["""1105"""]	[target]	0.012436876226602089	1029.0	1419.0	5851.0
["""2014"""]	[target]	0.011069498984850292	460.0	230.0	6420.0
["""3824"""]	[target]	0.007290539589055991	252.0	36.0	6628.0
["""1940"""]	[target]	0.006742630088399524	364.0	330.0	6516.0
["""2632"""]	[target]	0.006032272867804354	262.0	151.0	6618.0
["""2317"""]	[target]	0.005553287783800742	190.0	23.0	6690.0
["""21"""]	[target]	0.0045572705455664666	231.0	189.0	6649.0
["""348"""]	[target]	0.004458954222501881	155.0	24.0	6725.0
["""1145"""]	[target]	0.004434454365203152	152.0	19.0	6728.0
["""2960"""]	[target]	0.0042355638502525935	146.0	20.0	6734.0
["""80"""]	[target]	0.0038679669614373816	210.0	192.0	6670.0
["""831"""]	[target]	0.0037315243446783323	131.0	23.0	6749.0
["""2262"""]	[target]	0.0036162740054533466	118.0	2.0	6762.0
["""2493"""]	[target]	0.0035145510732898276	214.0	227.0	6666.0
["""4378"""]	[target]	0.0034963890933844637	115.0	4.0	6765.0
["""2746"""]	[target]	0.0034346344005328567	113.0	4.0	6767.0
["""2926"""]	[target]	0.0033981916055210028	321.0	478.0	6559.0
["""409"""]	[target]	0.0033933391681417084	158.0	109.0	6722.0
["""3001"""]	[target]	0.003058600212437727	107.0	18.0	6773.0
["""3129"""]	[target]	0.0029193451625853704	234.0	316.0	6646.0
["""3833"""]	[target]	0.002906095037659865	95.0	2.0	6785.0
["""1038"""]	[target]	0.0028331896417693055	120.0	64.0	6760.0
["""2720"""]	[target]	0.0028134629983824545	92.0	2.0	6788.0
["""3939"""]	[target]	0.0027706031025098187	208.0	268.0	6672.0
["""1958"""]	[target]	0.002741706342769442	91.0	5.0	6789.0
["""1005"""]	[target]	0.0027122946304908545	128.0	91.0	6752.0
["""1246"""]	[target]	0.002700688392514254	106.0	42.0	6774.0
["""4567"""]	[target]	0.0025219404441544865	83.0	3.0	6797.0
["""3518"""]	[target]	0.0024446777575559873	88.0	20.0	6792.0
["""4391"""]	[target]	0.002403976701170467	167.0	202.0	6713.0
["""2083"""]	[target]	0.0023656721546743134	85.0	19.0	6795.0
["""3145"""]	[target]	0.002359294665547239	87.0	24.0	6793.0
["""3601"""]	[target]	0.0022855574232487994	202.0	290.0	6678.0
["""66"""]	[target]	0.002271891375119355	108.0	78.0	6772.0
["""3078"""]	[target]	0.00220954250626212	72.0	1.0	6808.0
["""524"""]	[target]	0.002134161377014776	70.0	2.0	6810.0
["""4328"""]	[target]	0.002050778677558307	344.0	629.0	6536.0
["""3456"""]	[target]	0.002015009282019501	86.0	47.0	6794.0
["""3551"""]	[target]	0.0019363205730074948	147.0	191.0	6733.0
["""3718"""]	[target]	0.0018119397291626925	139.0	182.0	6741.0
["""4545"""]	[target]	0.0018017595135995995	61.0	6.0	6819.0
["""3771"""]	[target]	0.0017908860926966065	58.0	0.0	6822.0
["""3410"""]	[target]	0.001671001180627723	55.0	2.0	6825.0
["""4160"""]	[target]	0.0016168123289144465	119.0	151.0	6761.0
["""1186"""]	[target]	0.0015919955777460488	52.0	1.0	6828.0
["""4105"""]	[target]	0.0015709815530136704	65.0	32.0	6815.0
["""779"""]	[target]	0.0015602863849123654	141.0	205.0	6739.0
