Description	Target	Measure	E11	E10	E01
["""633"""]	[target]	0.03553090814454876	985.0	146.0	4519.0
["""3355"""]	[target]	0.033784253504004456	904.0	65.0	4600.0
["""3818"""]	[target]	0.020079385875525265	1304.0	1776.0	4200.0
["""107"""]	[target]	0.017096572812605404	890.0	1013.0	4614.0
["""3045"""]	[target]	0.016793518292401534	1075.0	1450.0	4429.0
["""1878"""]	[target]	0.0159965302101858	963.0	1243.0	4541.0
["""633""", """3045"""]	[target]	0.014159016155447535	392.0	57.0	5112.0
["""3110"""]	[target]	0.014151118566039395	879.0	1161.0	4625.0
["""633""", """1878"""]	[target]	0.013362077587898931	374.0	63.0	5130.0
["""107""", """633"""]	[target]	0.013048773531597984	365.0	61.0	5139.0
["""1105"""]	[target]	0.012454127136632154	824.0	1136.0	4680.0
["""633""", """3110"""]	[target]	0.011277856704157192	320.0	63.0	5184.0
["""633""", """1105"""]	[target]	0.010947519602361571	311.0	62.0	5193.0
["""979"""]	[target]	0.010786596934170644	283.0	8.0	5221.0
["""2014"""]	[target]	0.010644935471495495	357.0	184.0	5147.0
["""107""", """3818"""]	[target]	0.010531423097086972	550.0	628.0	4954.0
["""1878""", """3818"""]	[target]	0.010351511554049517	593.0	736.0	4911.0
["""3110""", """3818"""]	[target]	0.009986192339922546	565.0	694.0	4939.0
["""1878""", """3110"""]	[target]	0.009888128541660351	502.0	557.0	5002.0
["""2431"""]	[target]	0.00971126215065174	478.0	513.0	5026.0
["""633""", """3832"""]	[target]	0.008975820799685641	248.0	35.0	5256.0
["""3355""", """3832"""]	[target]	0.008836288467697325	236.0	16.0	5268.0
["""1105""", """1878"""]	[target]	0.008786947101896628	477.0	565.0	5027.0
["""107""", """3045"""]	[target]	0.008492112016437283	442.0	503.0	5062.0
["""107""", """3110"""]	[target]	0.008483224133686431	425.0	465.0	5079.0
["""3824"""]	[target]	0.007748698804062342	214.0	30.0	5290.0
["""1105""", """3110"""]	[target]	0.007384048037941702	423.0	525.0	5081.0
["""107""", """1105"""]	[target]	0.006980132140782477	394.0	483.0	5110.0
["""3355""", """4704"""]	[target]	0.006871298902418277	182.0	9.0	5322.0
["""3104"""]	[target]	0.006833791542063005	185.0	18.0	5319.0
["""1940"""]	[target]	0.006418165426126195	285.0	269.0	5219.0
["""4642"""]	[target]	0.005987288792711597	329.0	394.0	5175.0
["""2632"""]	[target]	0.0059421066589503005	210.0	127.0	5294.0
["""4660"""]	[target]	0.00572852514226059	317.0	382.0	5187.0
["""2317"""]	[target]	0.005581664639536195	153.0	19.0	5351.0
["""3818""", """3832"""]	[target]	0.00528658198074117	336.0	451.0	5168.0
["""640""", """2926"""]	[target]	0.005242266353654746	142.0	14.0	5362.0
["""2014""", """3818"""]	[target]	0.005052204303854479	179.0	109.0	5325.0
["""2014""", """2175"""]	[target]	0.004873332568826874	132.0	13.0	5372.0
["""1874"""]	[target]	0.004814261570934019	134.0	21.0	5370.0
["""107""", """3832"""]	[target]	0.0048028979548263824	233.0	246.0	5271.0
["""4642""", """4660"""]	[target]	0.004748308034309307	142.0	43.0	5362.0
["""633""", """4660"""]	[target]	0.004590653334149335	126.0	16.0	5378.0
["""2087"""]	[target]	0.004524873098859598	119.0	4.0	5385.0
["""2371""", """2926"""]	[target]	0.004449858378149057	125.0	22.0	5379.0
["""21"""]	[target]	0.004311811486174811	181.0	157.0	5323.0
["""4660""", """4704"""]	[target]	0.004240757938835126	139.0	66.0	5365.0
["""1145"""]	[target]	0.00422171954932146	116.0	15.0	5388.0
["""4642""", """4704"""]	[target]	0.0041836922849612665	164.0	126.0	5340.0
["""2177"""]	[target]	0.004134375676494139	108.0	2.0	5396.0
