#iterations	mean Measure
1	-2.8444534492075166E-4
501	-0.003262385324466545
1001	-0.0030899800922740894
1501	-0.0033261688266131087
2001	-0.002681083635842945
2001	-0.002681083635842945
2501	-0.002216178825497648
3001	-0.0019090249805470943
3501	-0.001696352135232773
4001	-0.0015450973615321432
4001	-0.0015450973615321432
4501	-0.001438300823255787
5001	-0.001344130354024141
5501	-0.0012639452140590438
6001	-0.0011925654415040703
6501	-0.0011393734949675044
7001	-0.001095925272790151
7501	-0.001060683163374011
8001	-0.0010319121798913777
8501	-0.0010054298038707139
9001	-9.77214716255955E-4
9501	-9.52997561543516E-4
10001	-9.319275132938283E-4
10501	-9.116572608358655E-4
11001	-8.936920382969955E-4
11501	-8.779638709804726E-4
12001	-8.616110073359653E-4
12001	-8.616110073359653E-4
12001	-8.616110073359653E-4
12501	-8.461697724012204E-4
12501	-8.461697724012204E-4
13001	-8.350249862412375E-4
13501	-8.274886973830956E-4
13501	-8.274886973830956E-4
14001	-8.174218911807386E-4
14501	-8.073023277022568E-4
15001	-8.004427163564224E-4
15501	-7.909884394301828E-4
16001	-7.824955475465835E-4
16001	-7.824955475465835E-4
16501	-7.729249785539501E-4
17001	-7.6604870500103E-4
17501	-7.596349555008722E-4
18001	-7.516687560065596E-4
18501	-7.470111888404008E-4
19001	-7.42534752270741E-4
19001	-7.42534752270741E-4
19001	-7.42534752270741E-4
19501	-7.379529956770304E-4
20001	-7.318391351099201E-4
20501	-7.285465044700615E-4
21001	-7.246295580905105E-4
21501	-7.218753318932763E-4
21501	-7.218753318932763E-4
22001	-7.17780385273856E-4
22501	-7.150096005406936E-4
23001	-7.112462584172789E-4
23501	-7.085007452974021E-4
24001	-7.058773468264487E-4
24501	-7.030445254550918E-4
25001	-7.013889087402794E-4
25501	-6.990854652017292E-4
26001	-6.95821914350268E-4
26501	-6.933998052134713E-4
26501	-6.933998052134713E-4
26501	-6.933998052134713E-4
26501	-6.933998052134713E-4
27001	-6.909516577047233E-4
27501	-6.887881733287916E-4
28001	-6.870846403149763E-4
28001	-6.870846403149763E-4
28501	-6.843078310472985E-4
29001	-6.83182169934623E-4
29501	-6.816056022415759E-4
30001	-6.80079226294906E-4
30501	-6.787387621634392E-4
30501	-6.787387621634392E-4
30501	-6.787387621634392E-4
31001	-6.769511354880853E-4
31501	-6.76173707759217E-4
32001	-6.751191729608371E-4
32501	-6.749122543177738E-4
33001	-6.732142385817842E-4
33001	-6.732142385817842E-4
33501	-6.735861209408342E-4
33501	-6.735861209408342E-4
33501	-6.735861209408342E-4
34001	-6.717839656203441E-4
34501	-6.702035424270885E-4
34501	-6.702035424270885E-4
35001	-6.694800855031607E-4
35001	-6.694800855031607E-4
35501	-6.683690626289828E-4
36001	-6.67313657567894E-4
36501	-6.66799178327534E-4
37001	-6.663438189950365E-4
37501	-6.647216682431561E-4
38001	-6.646480609585953E-4
38501	-6.648389375389857E-4
38501	-6.648389375389857E-4
39001	-6.656530013072104E-4
39001	-6.656530013072104E-4
39501	-6.650279325496589E-4
40001	-6.650971477395423E-4
40501	-6.649171880202782E-4
40501	-6.649171880202782E-4
41001	-6.640964974536901E-4
41501	-6.632604456250353E-4
42001	-6.627268064932437E-4
42501	-6.615295394112298E-4
43001	-6.613740250929483E-4
43001	-6.613740250929483E-4
43001	-6.613740250929483E-4
43501	-6.603563843619995E-4
44001	-6.602298873861338E-4
44501	-6.597872253620657E-4
45001	-6.602775235209257E-4
45501	-6.589835176160182E-4
46001	-6.592167873311934E-4
46501	-6.590665817873023E-4
47001	-6.582635033999801E-4
47501	-6.578682876574416E-4
48001	-6.579595046377097E-4
48501	-6.575058810212789E-4
48501	-6.575058810212789E-4
49001	-6.568151787237545E-4
49501	-6.560187554920194E-4
50001	-6.557824837730183E-4
50001	-6.557824837730183E-4
50501	-6.549348074146843E-4
51001	-6.54421309044851E-4
51001	-6.54421309044851E-4
51001	-6.54421309044851E-4
51501	-6.536959569548542E-4
51501	-6.536959569548542E-4
51501	-6.536959569548542E-4
52001	-6.530152743415543E-4
52001	-6.530152743415543E-4
52001	-6.530152743415543E-4
52501	-6.528567720487468E-4
53001	-6.524184002533829E-4
53501	-6.525839089749037E-4
54001	-6.528652723857704E-4
54501	-6.529437176522938E-4
55001	-6.52823006693179E-4
55001	-6.52823006693179E-4
55501	-6.518635464695087E-4
56001	-6.516162723936834E-4
56501	-6.513106112775042E-4
57001	-6.508393447769407E-4
57501	-6.505914638818569E-4
