#iterations	mean Measure
1	0.0
501	0.23706164662500273
1001	0.23332608659009646
1501	0.2455756455961447
2001	0.3493323625285445
2001	0.3493323625285445
2501	0.300896831532992
3001	0.2507974589833764
3001	0.2507974589833764
3501	0.2880207574903212
4001	0.2578428307351053
4501	0.28175644824542057
5001	0.2589262734541249
5501	0.2766046186894717
6001	0.25759924812238155
6001	0.25759924812238155
6501	0.2720339338899699
7001	0.26014571588419777
7501	0.26503580079195593
8001	0.26945950392446066
8501	0.25874235083507663
9001	0.26546431842956186
9501	0.2639689341606722
