Description	Target	Measure	E11	E10	E01
["""1131"""]	[target]	1.0	16.0	0.0	5488.0
["""1634"""]	[target]	1.0	12.0	0.0	5492.0
["""108"""]	[target]	1.0	13.0	0.0	5491.0
["""2723"""]	[target]	1.0	66.0	0.0	5438.0
["""92"""]	[target]	1.0	36.0	0.0	5468.0
["""211"""]	[target]	1.0	13.0	0.0	5491.0
["""2453"""]	[target]	1.0	10.0	0.0	5494.0
["""1470"""]	[target]	1.0	11.0	0.0	5493.0
["""4499"""]	[target]	1.0	15.0	0.0	5489.0
["""2426"""]	[target]	1.0	12.0	0.0	5492.0
["""271"""]	[target]	1.0	11.0	0.0	5493.0
["""3203"""]	[target]	1.0	12.0	0.0	5492.0
["""4356"""]	[target]	1.0	12.0	0.0	5492.0
["""4196"""]	[target]	1.0	19.0	0.0	5485.0
["""63"""]	[target]	1.0	16.0	0.0	5488.0
["""355"""]	[target]	1.0	36.0	0.0	5468.0
["""3926"""]	[target]	1.0	11.0	0.0	5493.0
["""654"""]	[target]	1.0	15.0	0.0	5489.0
["""3008"""]	[target]	1.0	15.0	0.0	5489.0
["""2196"""]	[target]	1.0	19.0	0.0	5485.0
["""3837"""]	[target]	1.0	14.0	0.0	5490.0
["""2326"""]	[target]	1.0	15.0	0.0	5489.0
["""1982"""]	[target]	1.0	25.0	0.0	5479.0
["""1629"""]	[target]	1.0	21.0	0.0	5483.0
["""2603"""]	[target]	1.0	15.0	0.0	5489.0
["""1487"""]	[target]	1.0	17.0	0.0	5487.0
["""4410"""]	[target]	1.0	14.0	0.0	5490.0
["""4454"""]	[target]	1.0	38.0	0.0	5466.0
["""3694"""]	[target]	1.0	10.0	0.0	5494.0
["""1041"""]	[target]	1.0	18.0	0.0	5486.0
["""2346"""]	[target]	1.0	12.0	0.0	5492.0
["""4544"""]	[target]	1.0	11.0	0.0	5493.0
["""2223"""]	[target]	1.0	12.0	0.0	5492.0
["""350"""]	[target]	1.0	18.0	0.0	5486.0
["""3437"""]	[target]	1.0	39.0	0.0	5465.0
["""3040"""]	[target]	1.0	90.0	0.0	5414.0
["""3078"""]	[target]	1.0	59.0	0.0	5445.0
["""2648"""]	[target]	1.0	18.0	0.0	5486.0
["""3771"""]	[target]	1.0	51.0	0.0	5453.0
["""1843"""]	[target]	1.0	13.0	0.0	5491.0
["""1241"""]	[target]	1.0	24.0	0.0	5480.0
["""138"""]	[target]	1.0	10.0	0.0	5494.0
["""1892"""]	[target]	1.0	17.0	0.0	5487.0
["""3812"""]	[target]	1.0	15.0	0.0	5489.0
["""3636"""]	[target]	1.0	39.0	0.0	5465.0
["""2865"""]	[target]	1.0	28.0	0.0	5476.0
["""3580"""]	[target]	1.0	12.0	0.0	5492.0
["""1974"""]	[target]	1.0	24.0	0.0	5480.0
["""1186"""]	[target]	0.9777777777777777	44.0	1.0	5460.0
["""979"""]	[target]	0.9725085910652921	283.0	8.0	5221.0
