Description	Target	Measure	E11	E10	E01
["""3320"""]	[target]	0.0	0.0	56.0	5504.0
["""3032"""]	[target]	0.0	0.0	19.0	5504.0
["""498"""]	[target]	0.0	0.0	12.0	5504.0
["""3024"""]	[target]	0.0	0.0	32.0	5504.0
["""1103"""]	[target]	0.0	0.0	12.0	5504.0
["""1702"""]	[target]	0.0	0.0	11.0	5504.0
["""2581"""]	[target]	0.0	0.0	10.0	5504.0
["""3614"""]	[target]	0.0	0.0	10.0	5504.0
["""1142""", """3832"""]	[target]	0.0	0.0	23.0	5504.0
["""3032""", """3072"""]	[target]	0.0	0.0	11.0	5504.0
["""4049""", """4686"""]	[target]	0.0	0.0	13.0	5504.0
["""803""", """1341""", """4691"""]	[target]	0.0	0.0	10.0	5504.0
["""3381""", """4584"""]	[target]	0.0	0.0	19.0	5504.0
["""1338""", """3251"""]	[target]	0.0	0.0	16.0	5504.0
["""1072""", """3406""", """3665"""]	[target]	0.0	0.0	13.0	5504.0
["""2125""", """4703"""]	[target]	0.0	0.0	13.0	5504.0
["""1596""", """2032""", """2411"""]	[target]	0.0	0.0	11.0	5504.0
["""314""", """4651"""]	[target]	0.0	0.0	11.0	5504.0
["""3747""", """4665"""]	[target]	0.0	0.0	10.0	5504.0
["""4259""", """4581"""]	[target]	0.0	0.0	11.0	5504.0
["""2579""", """4686"""]	[target]	0.0	0.0	19.0	5504.0
["""33""", """143""", """3149"""]	[target]	0.0	0.0	10.0	5504.0
["""37""", """2127"""]	[target]	0.0	0.0	11.0	5504.0
["""113""", """4650"""]	[target]	0.0	0.0	12.0	5504.0
["""3678""", """4638"""]	[target]	0.0	0.0	11.0	5504.0
["""1167""", """4695"""]	[target]	0.0	0.0	17.0	5504.0
["""2937""", """4289"""]	[target]	0.0	0.0	15.0	5504.0
["""175""", """4713"""]	[target]	0.0	0.0	11.0	5504.0
["""4172""", """4704"""]	[target]	0.0	0.0	15.0	5504.0
["""2032""", """2374"""]	[target]	0.0	0.0	10.0	5504.0
["""4697""", """4710"""]	[target]	0.0	0.0	35.0	5504.0
["""1534""", """3832"""]	[target]	0.0	0.0	14.0	5504.0
["""1984""", """4659"""]	[target]	0.0	0.0	11.0	5504.0
["""2384""", """4605""", """4632"""]	[target]	0.0	0.0	10.0	5504.0
["""4285""", """4650""", """4677"""]	[target]	0.0	0.0	10.0	5504.0
["""248""", """765""", """773"""]	[target]	0.0	0.0	13.0	5504.0
["""803""", """2023""", """4587"""]	[target]	0.0	0.0	11.0	5504.0
["""1731"""]	[target]	0.0	0.0	11.0	5504.0
["""3339"""]	[target]	0.0	0.0	18.0	5504.0
["""3553""", """4595"""]	[target]	0.0	0.0	11.0	5504.0
["""440""", """2926"""]	[target]	0.0	0.0	10.0	5504.0
["""2894""", """4711"""]	[target]	0.0	0.0	12.0	5504.0
["""1685""", """4690"""]	[target]	0.0	0.0	14.0	5504.0
["""1984""", """3272"""]	[target]	0.0	0.0	25.0	5504.0
["""1792""", """4585"""]	[target]	0.0	0.0	11.0	5504.0
["""1219""", """1743"""]	[target]	0.0	0.0	20.0	5504.0
["""2114""", """3251"""]	[target]	0.0	0.0	10.0	5504.0
["""1250""", """2032"""]	[target]	0.0	0.0	10.0	5504.0
["""1354""", """2032"""]	[target]	0.0	0.0	15.0	5504.0
["""3730""", """4587""", """4623"""]	[target]	0.0	0.0	10.0	5504.0
