#iterations	mean Measure
1	0.0
501	4.015063810219636E-4
1001	4.430898475439267E-4
1501	4.4536762391014773E-4
2001	4.620717514981755E-4
2501	3.7099006316530016E-4
3001	3.098648809619021E-4
3501	3.201228959613137E-4
4001	2.81135380220414E-4
4001	2.81135380220414E-4
4001	2.81135380220414E-4
4001	2.81135380220414E-4
4501	2.8603844692521327E-4
4501	2.8603844692521327E-4
5001	2.581224337798023E-4
5501	2.6161680100212655E-4
5501	2.6161680100212655E-4
6001	2.403411508998165E-4
6001	2.403411508998165E-4
6001	2.403411508998165E-4
6501	2.453385061948927E-4
7001	2.3358523188035492E-4
7501	2.302695349961137E-4
8001	2.343880357460304E-4
8501	2.222514219483796E-4
8501	2.222514219483796E-4
9001	2.236868008997509E-4
9501	2.211550179095988E-4
