Description	Target	Measure	E11	E10	E01
["""405"""]	[target]	0.0	0.0	14.0	5504.0
["""3127"""]	[target]	0.0	0.0	22.0	5504.0
["""1049"""]	[target]	0.0	0.0	26.0	5504.0
["""811"""]	[target]	0.0	0.0	17.0	5504.0
["""3056"""]	[target]	0.0	0.0	54.0	5504.0
["""663"""]	[target]	0.0	0.0	11.0	5504.0
["""747"""]	[target]	0.0	0.0	12.0	5504.0
["""735"""]	[target]	0.0	0.0	10.0	5504.0
["""930"""]	[target]	0.0	0.0	14.0	5504.0
["""718""", """4257"""]	[target]	0.0	0.0	14.0	5504.0
["""1399""", """4328"""]	[target]	0.0	0.0	11.0	5504.0
["""2126""", """4623"""]	[target]	0.0	0.0	10.0	5504.0
["""416""", """2686""", """3032"""]	[target]	0.0	0.0	11.0	5504.0
["""1081""", """4672"""]	[target]	0.0	0.0	10.0	5504.0
["""853""", """4262"""]	[target]	0.0	0.0	10.0	5504.0
["""794""", """4659"""]	[target]	0.0	0.0	35.0	5504.0
["""3972""", """4571"""]	[target]	0.0	0.0	15.0	5504.0
["""3056""", """4607"""]	[target]	0.0	0.0	10.0	5504.0
["""2086""", """4574"""]	[target]	0.0	0.0	12.0	5504.0
["""718""", """1017"""]	[target]	0.0	0.0	13.0	5504.0
["""912"""]	[target]	0.0	0.0	11.0	5504.0
["""1399""", """3013"""]	[target]	0.0	0.0	10.0	5504.0
["""1685""", """4607"""]	[target]	0.0	0.0	12.0	5504.0
["""1706""", """4695"""]	[target]	0.0	0.0	15.0	5504.0
["""1528""", """4631"""]	[target]	0.0	0.0	12.0	5504.0
["""4220""", """4632"""]	[target]	0.0	0.0	10.0	5504.0
["""1051""", """4668"""]	[target]	0.0	0.0	13.0	5504.0
["""3381""", """3832""", """4240"""]	[target]	0.0	0.0	14.0	5504.0
["""4018"""]	[target]	0.0	0.0	10.0	5504.0
["""143""", """4285""", """4668"""]	[target]	0.0	0.0	10.0	5504.0
["""827"""]	[target]	0.0	0.0	11.0	5504.0
["""37""", """4708"""]	[target]	0.0	0.0	19.0	5504.0
["""4075""", """4678"""]	[target]	0.0	0.0	11.0	5504.0
["""2357""", """4654"""]	[target]	0.0	0.0	13.0	5504.0
["""4479""", """4657"""]	[target]	0.0	0.0	13.0	5504.0
["""2894""", """4573"""]	[target]	0.0	0.0	16.0	5504.0
["""4394""", """4677"""]	[target]	0.0	0.0	14.0	5504.0
["""3381""", """4637"""]	[target]	0.0	0.0	16.0	5504.0
["""1134""", """3274""", """3406"""]	[target]	0.0	0.0	12.0	5504.0
["""3301""", """4629"""]	[target]	0.0	0.0	10.0	5504.0
["""3717""", """4632"""]	[target]	0.0	0.0	11.0	5504.0
["""4152"""]	[target]	0.0	0.0	11.0	5504.0
["""2032""", """2701"""]	[target]	0.0	0.0	10.0	5504.0
["""803""", """1251""", """4614"""]	[target]	0.0	0.0	10.0	5504.0
["""37""", """866""", """4587"""]	[target]	0.0	0.0	11.0	5504.0
["""3581""", """4612"""]	[target]	0.0	0.0	15.0	5504.0
["""37""", """731"""]	[target]	0.0	0.0	11.0	5504.0
["""803""", """3068"""]	[target]	0.0	0.0	15.0	5504.0
["""867""", """4694"""]	[target]	0.0	0.0	11.0	5504.0
["""2442""", """4699"""]	[target]	0.0	0.0	14.0	5504.0
