Description	Target	Measure	E11	E10	E01
["""1025"""]	[target]	0.0	0.0	11.0	5504.0
["""137"""]	[target]	0.0	0.0	77.0	5504.0
["""2670"""]	[target]	0.0	0.0	83.0	5504.0
["""110"""]	[target]	0.0	0.0	39.0	5504.0
["""3056"""]	[target]	0.0	0.0	54.0	5504.0
["""612"""]	[target]	0.0	0.0	17.0	5504.0
["""1596"""]	[target]	0.0	0.0	17.0	5504.0
["""4106"""]	[target]	0.0	0.0	19.0	5504.0
["""1065"""]	[target]	0.0	0.0	12.0	5504.0
["""1976""", """2678"""]	[target]	0.0	0.0	11.0	5504.0
["""37""", """666"""]	[target]	0.0	0.0	15.0	5504.0
["""2384""", """4623"""]	[target]	0.0	0.0	10.0	5504.0
["""3584""", """4652"""]	[target]	0.0	0.0	12.0	5504.0
["""1865""", """3133"""]	[target]	0.0	0.0	11.0	5504.0
["""2032""", """3800"""]	[target]	0.0	0.0	10.0	5504.0
["""2056""", """2162"""]	[target]	0.0	0.0	29.0	5504.0
["""2150""", """4651"""]	[target]	0.0	0.0	12.0	5504.0
["""110""", """502""", """2868"""]	[target]	0.0	0.0	23.0	5504.0
["""165""", """4617"""]	[target]	0.0	0.0	14.0	5504.0
["""475""", """1684"""]	[target]	0.0	0.0	10.0	5504.0
["""204""", """3120"""]	[target]	0.0	0.0	18.0	5504.0
["""1051"""]	[target]	0.0	0.0	14.0	5504.0
["""803""", """1516"""]	[target]	0.0	0.0	11.0	5504.0
["""236""", """3135"""]	[target]	0.0	0.0	10.0	5504.0
["""1337""", """2388""", """4686"""]	[target]	0.0	0.0	10.0	5504.0
["""4262""", """4623""", """4677"""]	[target]	0.0	0.0	10.0	5504.0
["""2442""", """4632"""]	[target]	0.0	0.0	18.0	5504.0
["""720""", """4605"""]	[target]	0.0	0.0	24.0	5504.0
["""1067""", """4668"""]	[target]	0.0	0.0	25.0	5504.0
["""663""", """4623"""]	[target]	0.0	0.0	11.0	5504.0
["""1966""", """2442"""]	[target]	0.0	0.0	13.0	5504.0
["""613""", """4595"""]	[target]	0.0	0.0	10.0	5504.0
["""9""", """4142"""]	[target]	0.0	0.0	10.0	5504.0
["""765""", """1211""", """1322"""]	[target]	0.0	0.0	18.0	5504.0
["""693""", """1854""", """3406"""]	[target]	0.0	0.0	13.0	5504.0
["""2032""", """3981""", """4695"""]	[target]	0.0	0.0	10.0	5504.0
["""2063"""]	[target]	0.0	0.0	31.0	5504.0
["""1723""", """3332"""]	[target]	0.0	0.0	15.0	5504.0
["""512""", """3846"""]	[target]	0.0	0.0	14.0	5504.0
["""2381""", """4668"""]	[target]	0.0	0.0	13.0	5504.0
["""2145""", """4160"""]	[target]	0.0	0.0	18.0	5504.0
["""58""", """2056"""]	[target]	0.0	0.0	13.0	5504.0
["""227""", """3045"""]	[target]	0.0	0.0	11.0	5504.0
["""1049""", """2032""", """3258"""]	[target]	0.0	0.0	10.0	5504.0
["""112""", """512""", """4203"""]	[target]	0.0	0.0	11.0	5504.0
["""518""", """2032""", """3549"""]	[target]	0.0	0.0	10.0	5504.0
["""557""", """1602"""]	[target]	0.0	0.0	15.0	5504.0
["""2613""", """4142"""]	[target]	0.0	0.0	18.0	5504.0
["""1751""", """4603""", """4648"""]	[target]	0.0	0.0	10.0	5504.0
["""1119""", """2948"""]	[target]	0.0	0.0	10.0	5504.0
