#iterations	mean Measure
1	0.0
501	5.445787318514774E-4
1001	4.692093864696344E-4
1501	4.4817619111063854E-4
2001	4.479328533563741E-4
2501	3.595856848171346E-4
3001	3.0093009852351756E-4
3501	3.092431785564667E-4
4001	2.709638269409565E-4
4501	2.759157268743387E-4
5001	2.488417642780108E-4
5501	2.507924593752034E-4
6001	2.302741045131012E-4
6501	2.3475755329113078E-4
7001	2.2515668550304917E-4
7501	2.2181919194335723E-4
8001	2.2439481688201198E-4
8501	2.126915555455921E-4
9001	2.1638976714514403E-4
9501	2.1479184656537326E-4
