#iterations	mean Measure
1	-0.005026601194349949
501	-0.0034413464565034727
1001	-0.0033412163185067975
1501	-0.0032608732692017165
2001	-0.002672878224051091
2001	-0.002672878224051091
2501	-0.0022064708428749936
3001	-0.0019008331259594007
3001	-0.0019008331259594007
3501	-0.0017000661386391588
4001	-0.0015472778609744563
4001	-0.0015472778609744563
4001	-0.0015472778609744563
4001	-0.0015472778609744563
4501	-0.0014285113996788308
4501	-0.0014285113996788308
5001	-0.0013357270345469565
5501	-0.0012554682645905654
6001	-0.0011887248509406974
6501	-0.0011330289957147933
7001	-0.0010863696774353678
7501	-0.0010484767867301886
8001	-0.0010136119997051717
8501	-9.82085254921921E-4
9001	-9.596435817374821E-4
9501	-9.351158456220474E-4
