Description	Target	Measure	E11	E10	E01
["""71"""]	[target]	0.0	0.0	17.0	5504.0
["""1599"""]	[target]	0.0	0.0	13.0	5504.0
["""2032""", """3818""", """4261"""]	[target]	0.0	0.0	13.0	5504.0
["""862"""]	[target]	0.0	0.0	18.0	5504.0
["""2662""", """2870""", """4203"""]	[target]	0.0	0.0	14.0	5504.0
["""1410""", """4659"""]	[target]	0.0	0.0	19.0	5504.0
["""2192"""]	[target]	0.0	0.0	45.0	5504.0
["""1699"""]	[target]	0.0	0.0	13.0	5504.0
["""2657"""]	[target]	0.0	0.0	36.0	5504.0
["""3568"""]	[target]	0.0	0.0	11.0	5504.0
["""1108"""]	[target]	0.0	0.0	11.0	5504.0
["""1009"""]	[target]	0.0	0.0	13.0	5504.0
["""2162""", """2325"""]	[target]	0.0	0.0	10.0	5504.0
["""4477""", """4637"""]	[target]	0.0	0.0	10.0	5504.0
["""204""", """2894"""]	[target]	0.0	0.0	30.0	5504.0
["""2032""", """4135""", """4327"""]	[target]	0.0	0.0	10.0	5504.0
["""4376""", """4391"""]	[target]	0.0	0.0	13.0	5504.0
["""789""", """4659"""]	[target]	0.0	0.0	21.0	5504.0
["""4259""", """4575"""]	[target]	0.0	0.0	10.0	5504.0
["""1296""", """4660"""]	[target]	0.0	0.0	45.0	5504.0
["""1142""", """2032"""]	[target]	0.0	0.0	13.0	5504.0
["""1389""", """4686"""]	[target]	0.0	0.0	10.0	5504.0
["""1486""", """3333"""]	[target]	0.0	0.0	10.0	5504.0
["""29""", """3408"""]	[target]	0.0	0.0	10.0	5504.0
["""416""", """2686""", """3032"""]	[target]	0.0	0.0	11.0	5504.0
["""715""", """4697"""]	[target]	0.0	0.0	19.0	5504.0
["""1416""", """2032"""]	[target]	0.0	0.0	23.0	5504.0
["""718""", """1371"""]	[target]	0.0	0.0	10.0	5504.0
["""1854""", """3665"""]	[target]	0.0	0.0	13.0	5504.0
["""986""", """3406"""]	[target]	0.0	0.0	12.0	5504.0
["""2032""", """3555"""]	[target]	0.0	0.0	12.0	5504.0
["""2005""", """4689"""]	[target]	0.0	0.0	11.0	5504.0
["""1369""", """1743""", """2032"""]	[target]	0.0	0.0	11.0	5504.0
["""3332""", """4441"""]	[target]	0.0	0.0	11.0	5504.0
["""296""", """4620"""]	[target]	0.0	0.0	13.0	5504.0
["""2785""", """3832"""]	[target]	0.0	0.0	11.0	5504.0
["""561""", """2868"""]	[target]	0.0	0.0	12.0	5504.0
["""1337""", """2832"""]	[target]	0.0	0.0	10.0	5504.0
["""2005""", """3985"""]	[target]	0.0	0.0	12.0	5504.0
["""4203""", """4610"""]	[target]	0.0	0.0	15.0	5504.0
["""285"""]	[target]	0.0	0.0	12.0	5504.0
["""4257"""]	[target]	0.0	0.0	33.0	5504.0
["""803""", """3889"""]	[target]	0.0	0.0	10.0	5504.0
["""1051""", """4650"""]	[target]	0.0	0.0	13.0	5504.0
["""1885""", """4645"""]	[target]	0.0	0.0	18.0	5504.0
["""3723""", """4173"""]	[target]	0.0	0.0	10.0	5504.0
["""1081""", """4641"""]	[target]	0.0	0.0	12.0	5504.0
["""1577""", """4620"""]	[target]	0.0	0.0	10.0	5504.0
["""2409""", """4695"""]	[target]	0.0	0.0	10.0	5504.0
["""154""", """1556""", """3958"""]	[target]	0.0	0.0	10.0	5504.0
