Description	Target	Measure	E11	E10	E01
["""633"""]	[target]	0.03553090814454876	985.0	146.0	4519.0
["""3818"""]	[target]	0.020079385875525265	1304.0	1776.0	4200.0
["""107"""]	[target]	0.017096572812605404	890.0	1013.0	4614.0
["""1878"""]	[target]	0.0159965302101858	963.0	1243.0	4541.0
["""1105"""]	[target]	0.012454127136632154	824.0	1136.0	4680.0
["""979"""]	[target]	0.010786596934170644	283.0	8.0	5221.0
["""2014"""]	[target]	0.010644935471495495	357.0	184.0	5147.0
["""2431"""]	[target]	0.00971126215065174	478.0	513.0	5026.0
["""3104"""]	[target]	0.006833791542063005	185.0	18.0	5319.0
["""1940"""]	[target]	0.006418165426126195	285.0	269.0	5219.0
["""4642"""]	[target]	0.005987288792711597	329.0	394.0	5175.0
["""4660"""]	[target]	0.00572852514226059	317.0	382.0	5187.0
["""2317"""]	[target]	0.005581664639536195	153.0	19.0	5351.0
["""1874"""]	[target]	0.004814261570934019	134.0	21.0	5370.0
["""2087"""]	[target]	0.004524873098859598	119.0	4.0	5385.0
["""2371"""]	[target]	0.0043817261961703775	125.0	26.0	5379.0
["""21"""]	[target]	0.004311811486174811	181.0	157.0	5323.0
["""2960"""]	[target]	0.0039946700431708485	111.0	17.0	5393.0
["""3446"""]	[target]	0.0038936106075469464	209.0	245.0	5295.0
["""698"""]	[target]	0.0038062172200524886	107.0	19.0	5397.0
["""1976"""]	[target]	0.0037948536039448524	206.0	244.0	5298.0
["""831"""]	[target]	0.003630266850385887	102.0	18.0	5402.0
["""2926"""]	[target]	0.003502419979841587	258.0	379.0	5246.0
["""2262"""]	[target]	0.003379475061343721	88.0	1.0	5416.0
["""4378"""]	[target]	0.003323845332816796	87.0	2.0	5417.0
["""409"""]	[target]	0.0032995831459203184	123.0	85.0	5381.0
["""2493"""]	[target]	0.0032309310599367117	168.0	191.0	5336.0
["""2746"""]	[target]	0.003135392509698437	83.0	4.0	5421.0
["""3980"""]	[target]	0.0030853826958914107	87.0	16.0	5417.0
["""4535"""]	[target]	0.0030109373938529316	142.0	145.0	5362.0
["""3001"""]	[target]	0.0029866256922893184	84.0	15.0	5420.0
["""3129"""]	[target]	0.0028355564428583905	186.0	255.0	5318.0
["""1590"""]	[target]	0.00274489508733298	72.0	2.0	5432.0
["""1449"""]	[target]	0.0027164489110635373	77.0	15.0	5427.0
["""3833"""]	[target]	0.0026677017212684705	70.0	2.0	5434.0
["""3643"""]	[target]	0.0026153399607725	81.0	30.0	5423.0
["""4204"""]	[target]	0.0025845418378141133	93.0	59.0	5411.0
["""2723"""]	[target]	0.0025473810801287934	66.0	0.0	5438.0
["""1005"""]	[target]	0.002427803158996151	96.0	75.0	5408.0
["""3518"""]	[target]	0.002291885397708738	66.0	15.0	5438.0
["""3078"""]	[target]	0.0022772042989030127	59.0	0.0	5445.0
["""4118"""]	[target]	0.0022433610239157814	138.0	181.0	5366.0
["""66"""]	[target]	0.002203105599534483	84.0	61.0	5420.0
["""456"""]	[target]	0.0021489117963544926	57.0	3.0	5447.0
["""4097"""]	[target]	0.002136409342902736	58.0	6.0	5446.0
["""2784"""]	[target]	0.002022797939159942	63.0	24.0	5441.0
["""3771"""]	[target]	0.001968430834644977	51.0	0.0	5453.0
["""2959"""]	[target]	0.0019383754316936253	97.0	106.0	5407.0
["""693"""]	[target]	0.001930403570284782	99.0	111.0	5405.0
["""16"""]	[target]	0.0018990360286543358	62.0	29.0	5442.0
