#iterations	mean Measure
1	0.0
501	4.020046014173496E-4
1001	4.526388731949141E-4
1501	4.4101119826710916E-4
2001	4.530985749424372E-4
2501	3.631556309269906E-4
3001	3.0366662208565633E-4
3001	3.0366662208565633E-4
3501	3.1177857337619827E-4
4001	2.747961873034323E-4
4001	2.747961873034323E-4
4001	2.747961873034323E-4
4001	2.747961873034323E-4
4001	2.747961873034323E-4
4001	2.747961873034323E-4
4001	2.747961873034323E-4
4001	2.747961873034323E-4
4001	2.747961873034323E-4
4001	2.747961873034323E-4
4501	2.82705905515178E-4
5001	2.5508807104854584E-4
5501	2.597136594164218E-4
6001	2.3889031702717227E-4
6501	2.443262490923688E-4
7001	2.324302567198227E-4
7501	2.3077581401538763E-4
7501	2.3077581401538763E-4
8001	2.317835538215707E-4
8501	2.1932517440088263E-4
9001	2.2206494257400998E-4
9501	2.18385085528546E-4
10001	2.124055650024915E-4
10501	2.1574197562820974E-4
11001	2.1128726960776547E-4
11501	2.0706059537754895E-4
12001	2.0688979042661655E-4
12501	2.0518984694287617E-4
13001	2.005417778827127E-4
13501	2.00871360521822E-4
14001	1.995478885452602E-4
14501	1.9650691479095747E-4
15001	1.9364979221821546E-4
15501	1.9296939723737939E-4
16001	1.9219504809529162E-4
16501	1.9011889280615528E-4
17001	1.8766818614850483E-4
17501	1.8463597440787925E-4
17501	1.8463597440787925E-4
17501	1.8463597440787925E-4
18001	1.8376430560818963E-4
18501	1.8278326595412426E-4
19001	1.8207190716515865E-4
19501	1.8086916827659267E-4
20001	1.791770478340877E-4
20501	1.7766787730761385E-4
21001	1.7539928251317344E-4
21501	1.734317158077224E-4
22001	1.7185232183259755E-4
22501	1.707420569626107E-4
23001	1.7034352777450527E-4
23501	1.698856224155966E-4
23501	1.698856224155966E-4
24001	1.6872168929328913E-4
24001	1.6872168929328913E-4
24501	1.6773282223431503E-4
25001	1.6673889894190094E-4
25501	1.654761149865322E-4
26001	1.6427701769994944E-4
26501	1.6337766216091207E-4
27001	1.628256352334527E-4
27501	1.626366584176289E-4
28001	1.620782768173376E-4
28001	1.620782768173376E-4
28501	1.6107948417902628E-4
29001	1.60644086411245E-4
29501	1.6050780527834737E-4
30001	1.5970951387701663E-4
30501	1.5866388908333305E-4
31001	1.5802693093618355E-4
31501	1.5749962429940527E-4
32001	1.5705478899612048E-4
32501	1.5673847659758157E-4
33001	1.559191529050563E-4
33501	1.547266571280947E-4
34001	1.5422922643079995E-4
34501	1.5353673500699604E-4
35001	1.5290721542961556E-4
35501	1.518751240155768E-4
35501	1.518751240155768E-4
36001	1.5161800690839439E-4
36501	1.5092053723603504E-4
37001	1.5011798161278483E-4
37501	1.4920382202272207E-4
37501	1.4920382202272207E-4
37501	1.4920382202272207E-4
37501	1.4920382202272207E-4
37501	1.4920382202272207E-4
37501	1.4920382202272207E-4
37501	1.4920382202272207E-4
38001	1.4884780045851514E-4
38501	1.48059045849331E-4
38501	1.48059045849331E-4
39001	1.4765294685951794E-4
39001	1.4765294685951794E-4
39001	1.4765294685951794E-4
39001	1.4765294685951794E-4
39501	1.4748058135151287E-4
40001	1.4690580292960775E-4
40501	1.4626391119024806E-4
41001	1.460789214620136E-4
41501	1.4533760132445718E-4
42001	1.4485423336284338E-4
42501	1.4444763045377853E-4
43001	1.4384494896430152E-4
43001	1.4384494896430152E-4
43501	1.4342255501242714E-4
44001	1.429138411286031E-4
44501	1.424726251904082E-4
45001	1.4173329197573475E-4
45001	1.4173329197573475E-4
45501	1.416319748661309E-4
45501	1.416319748661309E-4
46001	1.410361341667886E-4
46501	1.411037806592768E-4
47001	1.4074401138459836E-4
47501	1.4044852322234403E-4
48001	1.4003167347179338E-4
48501	1.3978976211748948E-4
49001	1.3952115415778252E-4
49501	1.3902642893413083E-4
50001	1.387339077331981E-4
50501	1.386766020524014E-4
51001	1.3833378261162227E-4
51501	1.3772520621993504E-4
51501	1.3772520621993504E-4
52001	1.3764491496674736E-4
52501	1.37156724708219E-4
53001	1.3691672797554036E-4
53501	1.3642553544122025E-4
54001	1.3583965442470918E-4
54001	1.3583965442470918E-4
54001	1.3583965442470918E-4
54001	1.3583965442470918E-4
54001	1.3583965442470918E-4
54001	1.3583965442470918E-4
54001	1.3583965442470918E-4
54001	1.3583965442470918E-4
54001	1.3583965442470918E-4
54001	1.3583965442470918E-4
54501	1.3569537110606745E-4
55001	1.3519921148438251E-4
55501	1.3457610930115178E-4
55501	1.3457610930115178E-4
55501	1.3457610930115178E-4
56001	1.3429235248219116E-4
56501	1.3396797443978204E-4
57001	1.3358404672986397E-4
57501	1.3329438367928079E-4
57501	1.3329438367928079E-4
58001	1.3318604039635624E-4
58501	1.3273119481743492E-4
59001	1.3234437491099903E-4
59501	1.318920003483683E-4
60001	1.3153091880226152E-4
60501	1.3163260554781677E-4
61001	1.3109642559246115E-4
61501	1.3059154547054468E-4
62001	1.303681475251186E-4
