Description	Target	Measure	E11	E10	E01
["""ENSG00000115947""" = 0.0]	[Target]	0.0	0.0	166.0	0.0
["""ENSG00000187553""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000198807""" = 0.0], ["""ENSG00000118231""" = 0.0], ["""ENSG00000179152""" = 1.0], ["""ENSG00000234828""" = 0.0], ["""ENSG00000187754""" = 0.0]	[Target]	0.0	0.0	25.0	0.0
["""ENSG00000203740""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000167766""" = 1.0], ["""ENSG00000075651""" = 0.0], ["""ENSG00000093144""" = 0.0]	[Target]	0.0	0.0	27.0	0.0
["""ENSG00000123815""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000083635""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000174607""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000175348""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000185933""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000232070""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000125409""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000204590""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000186684""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000183780""" = 0.0], ["""ENSG00000016391""" = 1.0], ["""ENSG00000134352""" = 1.0], ["""ENSG00000203760""" = 0.0]	[Target]	0.0	0.0	14.0	0.0
["""ENSG00000167523""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000153485""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000130948""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000060762""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000087903""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000158669""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000226784""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000184544""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000159374""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000103460""" = 0.0], ["""ENSG00000087095""" = 1.0], ["""ENSG00000080511""" = 0.0], ["""ENSG00000156463""" = 0.0]	[Target]	0.0	0.0	20.0	0.0
["""ENSG00000169908""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000132704""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000172456""" = 0.0], ["""ENSG00000152778""" = 0.0], ["""ENSG00000161904""" = 1.0]	[Target]	0.0	0.0	26.0	0.0
["""ENSG00000052749""" = 1.0], ["""ENSG00000066455""" = 1.0], ["""ENSG00000223443""" = 0.0]	[Target]	0.0	0.0	18.0	0.0
["""ENSG00000256053""" = 0.0], ["""ENSG00000144455""" = 1.0], ["""ENSG00000154710""" = 0.0]	[Target]	0.0	0.0	30.0	0.0
["""ENSG00000163349""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000057149""" = 0.0], ["""ENSG00000172006""" = 0.0], ["""ENSG00000134070""" = 0.0], ["""ENSG00000162267""" = 1.0]	[Target]	0.0	0.0	14.0	0.0
["""ENSG00000162267""" = 1.0]	[Target]	0.0	0.0	56.0	0.0
