Description	Target	Measure	E11	E10	E01
["""ENSG00000129467""" = 1.0]	[Target]	0.0	0.0	42.0	0.0
["""ENSG00000073536""" = 0.0], ["""ENSG00000100029""" = 0.0]	[Target]	0.0	0.0	102.0	0.0
["""ENSG00000127152""" = 0.0], ["""ENSG00000164508""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000169641""" = 0.0], ["""ENSG00000131876""" = 1.0]	[Target]	0.0	0.0	32.0	0.0
["""ENSG00000079616""" = 1.0], ["""ENSG00000171476""" = 0.0]	[Target]	0.0	0.0	30.0	0.0
["""ENSG00000116863""" = 1.0], ["""ENSG00000172531""" = 0.0]	[Target]	0.0	0.0	17.0	0.0
["""ENSG00000182973""" = 0.0], ["""ENSG00000165684""" = 1.0]	[Target]	0.0	0.0	25.0	0.0
["""ENSG00000243660""" = 1.0], ["""ENSG00000165555""" = 0.0]	[Target]	0.0	0.0	24.0	0.0
["""ENSG00000051341""" = 0.0], ["""ENSG00000024862""" = 0.0]	[Target]	0.0	0.0	88.0	0.0
["""ENSG00000146063""" = 1.0], ["""ENSG00000197279""" = 1.0]	[Target]	0.0	0.0	13.0	0.0
["""ENSG00000171860""" = 0.0], ["""ENSG00000140398""" = 0.0], ["""ENSG00000176020""" = 0.0], ["""ENSG00000253910""" = 1.0]	[Target]	0.0	0.0	14.0	0.0
["""ENSG00000171860""" = 0.0], ["""ENSG00000176020""" = 0.0]	[Target]	0.0	0.0	98.0	0.0
["""ENSG00000175467""" = 1.0], ["""ENSG00000102580""" = 0.0]	[Target]	0.0	0.0	41.0	0.0
["""ENSG00000185222""" = 0.0], ["""ENSG00000156920""" = 1.0]	[Target]	0.0	0.0	33.0	0.0
["""ENSG00000104147""" = 1.0], ["""ENSG00000113615""" = 1.0]	[Target]	0.0	0.0	22.0	0.0
["""ENSG00000133226""" = 0.0], ["""ENSG00000117697""" = 0.0], ["""ENSG00000180694""" = 1.0]	[Target]	0.0	0.0	18.0	0.0
["""ENSG00000133226""" = 0.0], ["""ENSG00000180694""" = 1.0]	[Target]	0.0	0.0	26.0	0.0
["""ENSG00000213931""" = 0.0], ["""ENSG00000099377""" = 0.0], ["""ENSG00000161714""" = 0.0]	[Target]	0.0	0.0	70.0	0.0
["""ENSG00000213931""" = 0.0], ["""ENSG00000099377""" = 0.0]	[Target]	0.0	0.0	92.0	0.0
["""ENSG00000173546""" = 0.0], ["""ENSG00000261459""" = 1.0]	[Target]	0.0	0.0	42.0	0.0
["""ENSG00000134533""" = 1.0], ["""ENSG00000213463""" = 1.0]	[Target]	0.0	0.0	24.0	0.0
["""ENSG00000115295""" = 0.0], ["""ENSG00000196421""" = 1.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000197273""" = 0.0], ["""ENSG00000117411""" = 0.0], ["""ENSG00000140104""" = 1.0]	[Target]	0.0	0.0	28.0	0.0
["""ENSG00000117411""" = 0.0], ["""ENSG00000140104""" = 1.0]	[Target]	0.0	0.0	31.0	0.0
["""ENSG00000133106""" = 1.0], ["""ENSG00000114405""" = 0.0]	[Target]	0.0	0.0	36.0	0.0
["""ENSG00000256825""" = 0.0], ["""ENSG00000251322""" = 0.0]	[Target]	0.0	0.0	94.0	0.0
["""ENSG00000146049""" = 1.0], ["""ENSG00000197498""" = 0.0]	[Target]	0.0	0.0	40.0	0.0
["""ENSG00000116031""" = 1.0], ["""ENSG00000164331""" = 1.0]	[Target]	0.0	0.0	14.0	0.0
["""ENSG00000144644""" = 0.0], ["""ENSG00000124635""" = 1.0]	[Target]	0.0	0.0	40.0	0.0
["""ENSG00000241058""" = 1.0], ["""ENSG00000084674""" = 0.0]	[Target]	0.0	0.0	40.0	0.0
["""ENSG00000180667""" = 1.0], ["""ENSG00000160445""" = 1.0]	[Target]	0.0	0.0	10.0	0.0
["""ENSG00000181693""" = 0.0], ["""ENSG00000141349""" = 0.0], ["""ENSG00000187867""" = 1.0], ["""ENSG00000236637""" = 0.0]	[Target]	0.0	0.0	35.0	0.0
["""ENSG00000141349""" = 0.0], ["""ENSG00000187867""" = 1.0]	[Target]	0.0	0.0	35.0	0.0
["""ENSG00000137648""" = 1.0], ["""ENSG00000136492""" = 1.0]	[Target]	0.0	0.0	25.0	0.0
["""ENSG00000100483""" = 1.0], ["""ENSG00000120149""" = 1.0]	[Target]	0.0	0.0	13.0	0.0
["""ENSG00000180988""" = 1.0], ["""ENSG00000124233""" = 0.0], ["""ENSG00000164850""" = 0.0], ["""ENSG00000198074""" = 0.0], ["""ENSG00000130653""" = 1.0]	[Target]	0.0	0.0	11.0	0.0
["""ENSG00000180988""" = 1.0], ["""ENSG00000130653""" = 1.0]	[Target]	0.0	0.0	17.0	0.0
["""ENSG00000162144""" = 0.0], ["""ENSG00000204396""" = 0.0]	[Target]	0.0	0.0	94.0	0.0
["""ENSG00000172031""" = 0.0], ["""ENSG00000175267""" = 1.0], ["""ENSG00000124212""" = 0.0], ["""ENSG00000238205""" = 0.0], ["""ENSG00000221994""" = 0.0]	[Target]	0.0	0.0	10.0	0.0
["""ENSG00000175267""" = 1.0], ["""ENSG00000221994""" = 0.0]	[Target]	0.0	0.0	25.0	0.0
["""ENSG00000102886""" = 1.0], ["""ENSG00000233822""" = 0.0]	[Target]	0.0	0.0	35.0	0.0
["""ENSG00000138686""" = 1.0], ["""ENSG00000136842""" = 0.0]	[Target]	0.0	0.0	25.0	0.0
["""ENSG00000120333""" = 0.0], ["""ENSG00000275395""" = 0.0]	[Target]	0.0	0.0	96.0	0.0
["""ENSG00000151689""" = 0.0], ["""ENSG00000021461""" = 1.0]	[Target]	0.0	0.0	27.0	0.0
["""ENSG00000138413""" = 0.0], ["""ENSG00000079689""" = 1.0]	[Target]	0.0	0.0	33.0	0.0
["""ENSG00000111642""" = 0.0], ["""ENSG00000188763""" = 1.0]	[Target]	0.0	0.0	34.0	0.0
["""ENSG00000183317""" = 1.0], ["""ENSG00000131467""" = 0.0]	[Target]	0.0	0.0	23.0	0.0
["""ENSG00000163618""" = 1.0], ["""ENSG00000156172""" = 0.0]	[Target]	0.0	0.0	29.0	0.0
["""ENSG00000176567""" = 0.0], ["""ENSG00000139697""" = 1.0], ["""ENSG00000135686""" = 0.0], ["""ENSG00000198920""" = 0.0]	[Target]	0.0	0.0	13.0	0.0
["""ENSG00000139697""" = 1.0], ["""ENSG00000198920""" = 0.0]	[Target]	0.0	0.0	16.0	0.0
