Description	Target	Measure	E11	E10	E01
["""ENSG00000167705""" = 1.0]	[Target]	0.0	0.0	41.0	0.0
["""ENSG00000198440""" = 0.0]	[Target]	0.0	0.0	131.0	0.0
["""ENSG00000168264""" = 0.0], ["""ENSG00000119969""" = 0.0], ["""ENSG00000135924""" = 0.0]	[Target]	0.0	0.0	74.0	0.0
["""ENSG00000168264""" = 0.0]	[Target]	0.0	0.0	128.0	0.0
["""ENSG00000251369""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000101890""" = 0.0]	[Target]	0.0	0.0	153.0	0.0
["""ENSG00000165730""" = 0.0], ["""ENSG00000109944""" = 0.0], ["""ENSG00000269058""" = 0.0], ["""ENSG00000171444""" = 0.0], ["""ENSG00000198721""" = 0.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000165730""" = 0.0], ["""ENSG00000171444""" = 0.0], ["""ENSG00000198721""" = 0.0]	[Target]	0.0	0.0	75.0	0.0
["""ENSG00000171444""" = 0.0]	[Target]	0.0	0.0	131.0	0.0
["""ENSG00000139679""" = 0.0], ["""ENSG00000197879""" = 0.0], ["""ENSG00000024422""" = 0.0]	[Target]	0.0	0.0	93.0	0.0
["""ENSG00000139679""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000140455""" = 1.0], ["""ENSG00000100325""" = 1.0], ["""ENSG00000027697""" = 0.0], ["""ENSG00000135272""" = 0.0]	[Target]	0.0	0.0	13.0	0.0
["""ENSG00000140455""" = 1.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000109846""" = 1.0], ["""ENSG00000256771""" = 0.0], ["""ENSG00000224940""" = 1.0]	[Target]	0.0	0.0	25.0	0.0
["""ENSG00000256771""" = 0.0]	[Target]	0.0	0.0	129.0	0.0
["""ENSG00000165028""" = 1.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000172409""" = 0.0], ["""ENSG00000173988""" = 0.0], ["""ENSG00000086696""" = 0.0], ["""ENSG00000114767""" = 0.0], ["""ENSG00000228083""" = 0.0]	[Target]	0.0	0.0	66.0	0.0
["""ENSG00000086696""" = 0.0]	[Target]	0.0	0.0	136.0	0.0
["""ENSG00000068137""" = 1.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000099250""" = 1.0]	[Target]	0.0	0.0	42.0	0.0
["""ENSG00000188186""" = 1.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000173786""" = 0.0]	[Target]	0.0	0.0	133.0	0.0
["""ENSG00000144451""" = 1.0]	[Target]	0.0	0.0	49.0	0.0
["""ENSG00000102898""" = 0.0]	[Target]	0.0	0.0	134.0	0.0
["""ENSG00000154229""" = 0.0], ["""ENSG00000225528""" = 0.0]	[Target]	0.0	0.0	96.0	0.0
["""ENSG00000225528""" = 0.0]	[Target]	0.0	0.0	130.0	0.0
["""ENSG00000169962""" = 0.0], ["""ENSG00000254901""" = 0.0], ["""ENSG00000109758""" = 0.0], ["""ENSG00000179144""" = 1.0]	[Target]	0.0	0.0	33.0	0.0
["""ENSG00000109758""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000137251""" = 1.0]	[Target]	0.0	0.0	13.0	0.0
["""ENSG00000119969""" = 1.0]	[Target]	0.0	0.0	42.0	0.0
["""ENSG00000172489""" = 0.0], ["""ENSG00000170035""" = 1.0], ["""ENSG00000146285""" = 1.0], ["""ENSG00000146540""" = 0.0]	[Target]	0.0	0.0	18.0	0.0
["""ENSG00000146285""" = 1.0]	[Target]	0.0	0.0	50.0	0.0
["""ENSG00000161714""" = 0.0], ["""ENSG00000062370""" = 0.0], ["""ENSG00000124795""" = 0.0], ["""ENSG00000188828""" = 1.0]	[Target]	0.0	0.0	16.0	0.0
["""ENSG00000124795""" = 0.0]	[Target]	0.0	0.0	131.0	0.0
["""ENSG00000145623""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000214114""" = 0.0]	[Target]	0.0	0.0	136.0	0.0
["""ENSG00000204176""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000066468""" = 0.0], ["""ENSG00000197702""" = 1.0]	[Target]	0.0	0.0	31.0	0.0
["""ENSG00000066468""" = 0.0]	[Target]	0.0	0.0	129.0	0.0
["""ENSG00000159069""" = 0.0]	[Target]	0.0	0.0	136.0	0.0
["""ENSG00000066185""" = 0.0]	[Target]	0.0	0.0	136.0	0.0
["""ENSG00000110881""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000181458""" = 1.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000172382""" = 1.0]	[Target]	0.0	0.0	40.0	0.0
["""ENSG00000005379""" = 1.0]	[Target]	0.0	0.0	49.0	0.0
["""ENSG00000141522""" = 0.0], ["""ENSG00000180613""" = 0.0], ["""ENSG00000173611""" = 1.0]	[Target]	0.0	0.0	32.0	0.0
["""ENSG00000141522""" = 0.0], ["""ENSG00000173611""" = 1.0]	[Target]	0.0	0.0	39.0	0.0
["""ENSG00000173611""" = 1.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000100711""" = 0.0], ["""ENSG00000265681""" = 0.0]	[Target]	0.0	0.0	102.0	0.0
["""ENSG00000100711""" = 0.0]	[Target]	0.0	0.0	129.0	0.0
