Description	Target	Measure	E11	E10	E01
["""ENSG00000070831""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000014164""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000124356""" = 1.0], ["""ENSG00000109736""" = 0.0], ["""ENSG00000198435""" = 0.0]	[Target]	0.0	0.0	23.0	0.0
["""ENSG00000124356""" = 1.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000121236""" = 1.0]	[Target]	0.0	0.0	49.0	0.0
["""ENSG00000184194""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000064012""" = 0.0]	[Target]	0.0	0.0	130.0	0.0
["""ENSG00000104808""" = 0.0], ["""ENSG00000134107""" = 0.0]	[Target]	0.0	0.0	104.0	0.0
["""ENSG00000104808""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000165443""" = 0.0], ["""ENSG00000235376""" = 0.0], ["""ENSG00000111087""" = 1.0], ["""ENSG00000101608""" = 0.0]	[Target]	0.0	0.0	17.0	0.0
["""ENSG00000111087""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000069974""" = 0.0]	[Target]	0.0	0.0	124.0	0.0
["""ENSG00000051596""" = 0.0]	[Target]	0.0	0.0	135.0	0.0
["""ENSG00000148671""" = 1.0]	[Target]	0.0	0.0	40.0	0.0
["""ENSG00000122965""" = 1.0], ["""ENSG00000197360""" = 1.0]	[Target]	0.0	0.0	18.0	0.0
["""ENSG00000122965""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000167118""" = 0.0]	[Target]	0.0	0.0	130.0	0.0
["""ENSG00000119912""" = 0.0], ["""ENSG00000180263""" = 0.0], ["""ENSG00000274611""" = 0.0], ["""ENSG00000260286""" = 1.0]	[Target]	0.0	0.0	17.0	0.0
["""ENSG00000119912""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000278570""" = 0.0]	[Target]	0.0	0.0	131.0	0.0
["""ENSG00000175520""" = 0.0]	[Target]	0.0	0.0	156.0	0.0
["""ENSG00000120800""" = 1.0], ["""ENSG00000133937""" = 0.0], ["""ENSG00000140859""" = 0.0]	[Target]	0.0	0.0	31.0	0.0
["""ENSG00000120800""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000204510""" = 1.0]	[Target]	0.0	0.0	16.0	0.0
["""ENSG00000155561""" = 1.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000138286""" = 0.0], ["""ENSG00000118137""" = 0.0], ["""ENSG00000111224""" = 0.0], ["""ENSG00000066044""" = 0.0]	[Target]	0.0	0.0	76.0	0.0
["""ENSG00000138286""" = 0.0], ["""ENSG00000111224""" = 0.0]	[Target]	0.0	0.0	107.0	0.0
["""ENSG00000111224""" = 0.0]	[Target]	0.0	0.0	129.0	0.0
["""ENSG00000248485""" = 0.0], ["""ENSG00000146757""" = 1.0]	[Target]	0.0	0.0	41.0	0.0
["""ENSG00000248485""" = 0.0]	[Target]	0.0	0.0	133.0	0.0
["""ENSG00000215788""" = 1.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000070444""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000186714""" = 0.0]	[Target]	0.0	0.0	134.0	0.0
["""ENSG00000197496""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000204176""" = 1.0], ["""ENSG00000144840""" = 0.0], ["""ENSG00000213123""" = 0.0], ["""ENSG00000148341""" = 0.0]	[Target]	0.0	0.0	23.0	0.0
["""ENSG00000204176""" = 1.0], ["""ENSG00000148341""" = 0.0]	[Target]	0.0	0.0	36.0	0.0
["""ENSG00000204176""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000158615""" = 0.0]	[Target]	0.0	0.0	135.0	0.0
["""ENSG00000198763""" = 0.0]	[Target]	0.0	0.0	139.0	0.0
["""ENSG00000205002""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000165175""" = 0.0]	[Target]	0.0	0.0	135.0	0.0
["""ENSG00000204424""" = 1.0]	[Target]	0.0	0.0	49.0	0.0
["""ENSG00000169474""" = 0.0], ["""ENSG00000153233""" = 0.0], ["""ENSG00000250741""" = 0.0], ["""ENSG00000088298""" = 0.0], ["""ENSG00000197037""" = 0.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000153233""" = 0.0]	[Target]	0.0	0.0	133.0	0.0
["""ENSG00000099364""" = 1.0]	[Target]	0.0	0.0	42.0	0.0
["""ENSG00000112297""" = 0.0]	[Target]	0.0	0.0	130.0	0.0
["""ENSG00000163637""" = 0.0]	[Target]	0.0	0.0	135.0	0.0
["""ENSG00000204965""" = 1.0]	[Target]	0.0	0.0	49.0	0.0
["""ENSG00000196591""" = 0.0]	[Target]	0.0	0.0	136.0	0.0
["""ENSG00000269469""" = 0.0], ["""ENSG00000205572""" = 0.0], ["""ENSG00000251493""" = 1.0]	[Target]	0.0	0.0	21.0	0.0
