Description	Target	Measure	E11	E10	E01
["""ENSG00000166507""" = 0.0]	[Target]	0.0	0.0	130.0	0.0
["""ENSG00000271425""" = 1.0], ["""ENSG00000100601""" = 1.0]	[Target]	0.0	0.0	16.0	0.0
["""ENSG00000271425""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000176945""" = 0.0]	[Target]	0.0	0.0	130.0	0.0
["""ENSG00000228594""" = 1.0], ["""ENSG00000095787""" = 0.0], ["""ENSG00000135392""" = 1.0], ["""ENSG00000258713""" = 0.0]	[Target]	0.0	0.0	11.0	0.0
["""ENSG00000228594""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000117091""" = 0.0]	[Target]	0.0	0.0	128.0	0.0
["""ENSG00000111725""" = 0.0]	[Target]	0.0	0.0	127.0	0.0
["""ENSG00000143105""" = 1.0]	[Target]	0.0	0.0	14.0	0.0
["""ENSG00000143641""" = 0.0], ["""ENSG00000167332""" = 0.0], ["""ENSG00000140538""" = 0.0], ["""ENSG00000075711""" = 0.0]	[Target]	0.0	0.0	57.0	0.0
["""ENSG00000075711""" = 0.0]	[Target]	0.0	0.0	131.0	0.0
["""ENSG00000117143""" = 0.0], ["""ENSG00000180525""" = 1.0], ["""ENSG00000184227""" = 1.0]	[Target]	0.0	0.0	20.0	0.0
["""ENSG00000117143""" = 0.0]	[Target]	0.0	0.0	133.0	0.0
["""ENSG00000111011""" = 0.0], ["""ENSG00000102974""" = 0.0], ["""ENSG00000186526""" = 0.0], ["""ENSG00000147443""" = 0.0]	[Target]	0.0	0.0	57.0	0.0
["""ENSG00000186526""" = 0.0]	[Target]	0.0	0.0	128.0	0.0
["""ENSG00000149346""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000087095""" = 1.0]	[Target]	0.0	0.0	48.0	0.0
["""ENSG00000092203""" = 0.0]	[Target]	0.0	0.0	128.0	0.0
["""ENSG00000169914""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000120049""" = 1.0], ["""ENSG00000166670""" = 0.0], ["""ENSG00000168591""" = 0.0], ["""ENSG00000084754""" = 1.0]	[Target]	0.0	0.0	18.0	0.0
["""ENSG00000168591""" = 0.0], ["""ENSG00000084754""" = 1.0]	[Target]	0.0	0.0	32.0	0.0
["""ENSG00000168591""" = 0.0]	[Target]	0.0	0.0	131.0	0.0
["""ENSG00000243335""" = 0.0]	[Target]	0.0	0.0	127.0	0.0
["""ENSG00000084636""" = 0.0], ["""ENSG00000137825""" = 0.0], ["""ENSG00000136492""" = 0.0], ["""ENSG00000241186""" = 0.0], ["""ENSG00000131264""" = 0.0]	[Target]	0.0	0.0	50.0	0.0
["""ENSG00000131264""" = 0.0]	[Target]	0.0	0.0	173.0	0.0
["""ENSG00000197601""" = 0.0], ["""ENSG00000130038""" = 0.0], ["""ENSG00000188596""" = 0.0]	[Target]	0.0	0.0	86.0	0.0
["""ENSG00000197601""" = 0.0]	[Target]	0.0	0.0	130.0	0.0
["""ENSG00000146904""" = 0.0]	[Target]	0.0	0.0	127.0	0.0
["""ENSG00000136205""" = 0.0]	[Target]	0.0	0.0	133.0	0.0
["""ENSG00000244094""" = 1.0]	[Target]	0.0	0.0	44.0	0.0
["""ENSG00000026103""" = 0.0], ["""ENSG00000021488""" = 0.0], ["""ENSG00000147883""" = 1.0]	[Target]	0.0	0.0	28.0	0.0
["""ENSG00000021488""" = 0.0], ["""ENSG00000147883""" = 1.0]	[Target]	0.0	0.0	33.0	0.0
["""ENSG00000021488""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000153347""" = 1.0]	[Target]	0.0	0.0	48.0	0.0
["""ENSG00000183837""" = 0.0]	[Target]	0.0	0.0	137.0	0.0
["""ENSG00000080986""" = 1.0]	[Target]	0.0	0.0	40.0	0.0
["""ENSG00000143198""" = 1.0]	[Target]	0.0	0.0	40.0	0.0
["""ENSG00000124721""" = 0.0], ["""ENSG00000283992""" = 0.0]	[Target]	0.0	0.0	94.0	0.0
["""ENSG00000124721""" = 0.0]	[Target]	0.0	0.0	133.0	0.0
["""ENSG00000112599""" = 0.0], ["""ENSG00000179091""" = 0.0]	[Target]	0.0	0.0	95.0	0.0
["""ENSG00000112599""" = 0.0]	[Target]	0.0	0.0	134.0	0.0
["""ENSG00000149043""" = 0.0], ["""ENSG00000141179""" = 0.0], ["""ENSG00000187546""" = 1.0], ["""ENSG00000106153""" = 0.0], ["""ENSG00000129696""" = 0.0]	[Target]	0.0	0.0	26.0	0.0
["""ENSG00000106153""" = 0.0]	[Target]	0.0	0.0	135.0	0.0
["""ENSG00000265241""" = 0.0], ["""ENSG00000158270""" = 1.0], ["""ENSG00000144407""" = 0.0], ["""ENSG00000145949""" = 0.0]	[Target]	0.0	0.0	16.0	0.0
["""ENSG00000158270""" = 1.0], ["""ENSG00000144407""" = 0.0]	[Target]	0.0	0.0	32.0	0.0
["""ENSG00000158270""" = 1.0]	[Target]	0.0	0.0	42.0	0.0
["""ENSG00000172031""" = 1.0]	[Target]	0.0	0.0	44.0	0.0
["""ENSG00000181656""" = 0.0], ["""ENSG00000183891""" = 0.0], ["""ENSG00000170522""" = 0.0], ["""ENSG00000189376""" = 0.0]	[Target]	0.0	0.0	57.0	0.0
["""ENSG00000181656""" = 0.0], ["""ENSG00000170522""" = 0.0]	[Target]	0.0	0.0	98.0	0.0
["""ENSG00000170522""" = 0.0]	[Target]	0.0	0.0	136.0	0.0
