Description	Target	Measure	E11	E10	E01
["""ENSG00000149516""" = 0.0]	[Target]	0.0	0.0	133.0	0.0
["""ENSG00000143499""" = 1.0], ["""ENSG00000147065""" = 1.0]	[Target]	0.0	0.0	10.0	0.0
["""ENSG00000136144""" = 0.0], ["""ENSG00000145715""" = 1.0]	[Target]	0.0	0.0	17.0	0.0
["""ENSG00000227868""" = 0.0], ["""ENSG00000279767""" = 1.0]	[Target]	0.0	0.0	31.0	0.0
["""ENSG00000233954""" = 0.0], ["""ENSG00000145692""" = 1.0], ["""ENSG00000096093""" = 1.0]	[Target]	0.0	0.0	15.0	0.0
["""ENSG00000233954""" = 0.0], ["""ENSG00000096093""" = 1.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000185627""" = 1.0], ["""ENSG00000033050""" = 0.0]	[Target]	0.0	0.0	25.0	0.0
["""ENSG00000163482""" = 1.0], ["""ENSG00000204511""" = 0.0]	[Target]	0.0	0.0	28.0	0.0
["""ENSG00000115207""" = 1.0], ["""ENSG00000127399""" = 1.0]	[Target]	0.0	0.0	23.0	0.0
["""ENSG00000179151""" = 0.0], ["""ENSG00000155034""" = 1.0]	[Target]	0.0	0.0	23.0	0.0
["""ENSG00000071794""" = 0.0], ["""ENSG00000187758""" = 1.0]	[Target]	0.0	0.0	38.0	0.0
["""ENSG00000172551""" = 1.0], ["""ENSG00000067829""" = 0.0]	[Target]	0.0	0.0	35.0	0.0
["""ENSG00000116017""" = 1.0], ["""ENSG00000106211""" = 0.0]	[Target]	0.0	0.0	20.0	0.0
["""ENSG00000162365""" = 1.0], ["""ENSG00000054938""" = 0.0]	[Target]	0.0	0.0	37.0	0.0
["""ENSG00000179855""" = 1.0], ["""ENSG00000223573""" = 0.0], ["""ENSG00000037474""" = 0.0], ["""ENSG00000135346""" = 0.0]	[Target]	0.0	0.0	26.0	0.0
["""ENSG00000160321""" = 1.0], ["""ENSG00000138400""" = 0.0], ["""ENSG00000131669""" = 0.0], ["""ENSG00000214717""" = 0.0]	[Target]	0.0	0.0	22.0	0.0
