Description	Target	Measure	E11	E10	E01
["""ENSG00000112130""" = 0.0]	[Target]	0.0	0.0	134.0	0.0
["""ENSG00000184206""" = 0.0], ["""ENSG00000101198""" = 0.0]	[Target]	0.0	0.0	91.0	0.0
["""ENSG00000108469""" = 0.0], ["""ENSG00000198326""" = 1.0]	[Target]	0.0	0.0	31.0	0.0
["""ENSG00000136770""" = 0.0], ["""ENSG00000109063""" = 1.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000156858""" = 0.0], ["""ENSG00000078589""" = 1.0]	[Target]	0.0	0.0	32.0	0.0
["""ENSG00000144488""" = 0.0], ["""ENSG00000131446""" = 1.0]	[Target]	0.0	0.0	30.0	0.0
["""ENSG00000163606""" = 1.0], ["""ENSG00000164708""" = 1.0]	[Target]	0.0	0.0	17.0	0.0
["""ENSG00000171311""" = 0.0], ["""ENSG00000099899""" = 0.0]	[Target]	0.0	0.0	100.0	0.0
["""ENSG00000175699""" = 1.0], ["""ENSG00000031823""" = 0.0]	[Target]	0.0	0.0	12.0	0.0
["""ENSG00000134256""" = 0.0], ["""ENSG00000181903""" = 0.0], ["""ENSG00000051180""" = 0.0], ["""ENSG00000118276""" = 1.0], ["""ENSG00000171863""" = 0.0]	[Target]	0.0	0.0	26.0	0.0
["""ENSG00000051180""" = 0.0], ["""ENSG00000171863""" = 0.0]	[Target]	0.0	0.0	92.0	0.0
["""ENSG00000188738""" = 0.0], ["""ENSG00000214402""" = 1.0]	[Target]	0.0	0.0	33.0	0.0
["""ENSG00000143258""" = 0.0], ["""ENSG00000197360""" = 1.0], ["""ENSG00000149488""" = 0.0]	[Target]	0.0	0.0	28.0	0.0
["""ENSG00000100201""" = 0.0], ["""ENSG00000164877""" = 1.0]	[Target]	0.0	0.0	33.0	0.0
["""ENSG00000143799""" = 0.0], ["""ENSG00000100441""" = 1.0]	[Target]	0.0	0.0	34.0	0.0
["""ENSG00000248746""" = 0.0], ["""ENSG00000144026""" = 1.0]	[Target]	0.0	0.0	41.0	0.0
["""ENSG00000168005""" = 1.0], ["""ENSG00000165506""" = 0.0]	[Target]	0.0	0.0	27.0	0.0
["""ENSG00000145777""" = 1.0], ["""ENSG00000123728""" = 0.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000122707""" = 0.0], ["""ENSG00000224440""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000170417""" = 1.0], ["""ENSG00000138867""" = 1.0]	[Target]	0.0	0.0	14.0	0.0
["""ENSG00000259571""" = 1.0], ["""ENSG00000124171""" = 0.0]	[Target]	0.0	0.0	23.0	0.0
["""ENSG00000126005""" = 0.0], ["""ENSG00000067113""" = 0.0]	[Target]	0.0	0.0	111.0	0.0
["""ENSG00000172769""" = 0.0], ["""ENSG00000125676""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000116815""" = 0.0], ["""ENSG00000155495""" = 1.0]	[Target]	0.0	0.0	33.0	0.0
["""ENSG00000198909""" = 0.0], ["""ENSG00000141569""" = 1.0], ["""ENSG00000131941""" = 1.0]	[Target]	0.0	0.0	14.0	0.0
["""ENSG00000142949""" = 0.0], ["""ENSG00000176871""" = 0.0], ["""ENSG00000154102""" = 1.0], ["""ENSG00000108424""" = 0.0]	[Target]	0.0	0.0	17.0	0.0
["""ENSG00000142949""" = 0.0], ["""ENSG00000154102""" = 1.0]	[Target]	0.0	0.0	33.0	0.0
["""ENSG00000169764""" = 0.0], ["""ENSG00000109180""" = 0.0]	[Target]	0.0	0.0	95.0	0.0
["""ENSG00000258659""" = 0.0], ["""ENSG00000156599""" = 0.0], ["""ENSG00000273398""" = 1.0], ["""ENSG00000186977""" = 0.0], ["""ENSG00000164488""" = 0.0]	[Target]	0.0	0.0	13.0	0.0
["""ENSG00000258659""" = 0.0], ["""ENSG00000273398""" = 1.0]	[Target]	0.0	0.0	26.0	0.0
["""ENSG00000134897""" = 1.0], ["""ENSG00000146707""" = 1.0]	[Target]	0.0	0.0	14.0	0.0
["""ENSG00000204977""" = 0.0], ["""ENSG00000114923""" = 1.0]	[Target]	0.0	0.0	29.0	0.0
["""ENSG00000143632""" = 0.0], ["""ENSG00000224712""" = 0.0], ["""ENSG00000070413""" = 0.0], ["""ENSG00000163638""" = 0.0]	[Target]	0.0	0.0	54.0	0.0
["""ENSG00000224712""" = 0.0], ["""ENSG00000163638""" = 0.0]	[Target]	0.0	0.0	101.0	0.0
["""ENSG00000203786""" = 1.0], ["""ENSG00000177096""" = 0.0]	[Target]	0.0	0.0	18.0	0.0
["""ENSG00000273706""" = 0.0], ["""ENSG00000169750""" = 1.0], ["""ENSG00000144724""" = 0.0], ["""ENSG00000156469""" = 0.0]	[Target]	0.0	0.0	13.0	0.0
["""ENSG00000169750""" = 1.0], ["""ENSG00000144724""" = 0.0]	[Target]	0.0	0.0	40.0	0.0
["""ENSG00000158816""" = 1.0], ["""ENSG00000167531""" = 0.0], ["""ENSG00000169255""" = 0.0]	[Target]	0.0	0.0	23.0	0.0
["""ENSG00000152104""" = 0.0], ["""ENSG00000164077""" = 0.0]	[Target]	0.0	0.0	93.0	0.0
["""ENSG00000165588""" = 0.0], ["""ENSG00000187026""" = 0.0], ["""ENSG00000183665""" = 0.0], ["""ENSG00000169398""" = 0.0]	[Target]	0.0	0.0	95.0	0.0
["""ENSG00000099860""" = 1.0], ["""ENSG00000167774""" = 0.0]	[Target]	0.0	0.0	39.0	0.0
["""ENSG00000261794""" = 1.0], ["""ENSG00000145936""" = 1.0]	[Target]	0.0	0.0	19.0	0.0
["""ENSG00000167178""" = 1.0], ["""ENSG00000181938""" = 0.0]	[Target]	0.0	0.0	39.0	0.0
["""ENSG00000105605""" = 1.0], ["""ENSG00000184408""" = 0.0]	[Target]	0.0	0.0	22.0	0.0
["""ENSG00000181856""" = 0.0], ["""ENSG00000166862""" = 1.0]	[Target]	0.0	0.0	24.0	0.0
["""ENSG00000170242""" = 0.0], ["""ENSG00000166839""" = 0.0]	[Target]	0.0	0.0	101.0	0.0
["""ENSG00000243989""" = 0.0], ["""ENSG00000124570""" = 0.0]	[Target]	0.0	0.0	111.0	0.0
["""ENSG00000150667""" = 0.0], ["""ENSG00000174429""" = 1.0]	[Target]	0.0	0.0	41.0	0.0
["""ENSG00000177946""" = 1.0], ["""ENSG00000007255""" = 0.0], ["""ENSG00000104818""" = 1.0], ["""ENSG00000148356""" = 0.0]	[Target]	0.0	0.0	13.0	0.0
["""ENSG00000104818""" = 1.0], ["""ENSG00000148356""" = 0.0]	[Target]	0.0	0.0	30.0	0.0
