Description	Target	Measure	E11	E10	E01
["""ENSG00000128310""" = 0.0]	[Target]	0.0	0.0	138.0	0.0
["""ENSG00000168282""" = 1.0], ["""ENSG00000138386""" = 0.0], ["""ENSG00000130396""" = 0.0], ["""ENSG00000105971""" = 0.0]	[Target]	0.0	0.0	32.0	0.0
["""ENSG00000105971""" = 0.0]	[Target]	0.0	0.0	136.0	0.0
["""ENSG00000171720""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000077585""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000149575""" = 1.0]	[Target]	0.0	0.0	49.0	0.0
["""ENSG00000165629""" = 0.0], ["""ENSG00000135111""" = 0.0], ["""ENSG00000100632""" = 0.0], ["""ENSG00000236396""" = 0.0]	[Target]	0.0	0.0	71.0	0.0
["""ENSG00000167306""" = 1.0], ["""ENSG00000186723""" = 1.0]	[Target]	0.0	0.0	17.0	0.0
["""ENSG00000186723""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000079462""" = 1.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000160221""" = 1.0]	[Target]	0.0	0.0	40.0	0.0
["""ENSG00000047621""" = 1.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000136861""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000167207""" = 0.0], ["""ENSG00000183292""" = 0.0], ["""ENSG00000214717""" = 0.0]	[Target]	0.0	0.0	94.0	0.0
["""ENSG00000092036""" = 0.0], ["""ENSG00000064933""" = 1.0]	[Target]	0.0	0.0	33.0	0.0
["""ENSG00000155368""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000071859""" = 1.0]	[Target]	0.0	0.0	44.0	0.0
["""ENSG00000119185""" = 0.0], ["""ENSG00000186281""" = 1.0]	[Target]	0.0	0.0	36.0	0.0
["""ENSG00000075415""" = 1.0], ["""ENSG00000173482""" = 0.0]	[Target]	0.0	0.0	41.0	0.0
["""ENSG00000108474""" = 1.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000188674""" = 1.0]	[Target]	0.0	0.0	13.0	0.0
["""ENSG00000185926""" = 0.0], ["""ENSG00000126583""" = 1.0], ["""ENSG00000180370""" = 0.0], ["""ENSG00000170927""" = 1.0]	[Target]	0.0	0.0	15.0	0.0
["""ENSG00000170927""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000124942""" = 0.0], ["""ENSG00000054796""" = 0.0], ["""ENSG00000160808""" = 0.0], ["""ENSG00000197888""" = 1.0]	[Target]	0.0	0.0	33.0	0.0
["""ENSG00000243716""" = 0.0], ["""ENSG00000273155""" = 0.0], ["""ENSG00000149635""" = 0.0], ["""ENSG00000204965""" = 0.0], ["""ENSG00000106351""" = 0.0]	[Target]	0.0	0.0	50.0	0.0
["""ENSG00000140263""" = 0.0], ["""ENSG00000163751""" = 0.0], ["""ENSG00000050393""" = 0.0], ["""ENSG00000112742""" = 0.0]	[Target]	0.0	0.0	66.0	0.0
