Description	Target	Measure	E11	E10	E01
["""ENSG00000146477""" = 1.0]	[Target]	0.0	0.0	42.0	0.0
["""ENSG00000198131""" = 0.0]	[Target]	0.0	0.0	130.0	0.0
["""ENSG00000215853""" = 1.0], ["""ENSG00000110987""" = 0.0], ["""ENSG00000180035""" = 0.0], ["""ENSG00000241123""" = 0.0]	[Target]	0.0	0.0	20.0	0.0
["""ENSG00000215853""" = 1.0], ["""ENSG00000241123""" = 0.0]	[Target]	0.0	0.0	37.0	0.0
["""ENSG00000196502""" = 1.0], ["""ENSG00000169902""" = 0.0]	[Target]	0.0	0.0	28.0	0.0
["""ENSG00000169902""" = 0.0]	[Target]	0.0	0.0	130.0	0.0
["""ENSG00000151725""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000181744""" = 0.0], ["""ENSG00000182674""" = 0.0], ["""ENSG00000104408""" = 0.0]	[Target]	0.0	0.0	86.0	0.0
["""ENSG00000162076""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000117543""" = 0.0], ["""ENSG00000142082""" = 0.0], ["""ENSG00000133116""" = 1.0], ["""ENSG00000118985""" = 0.0]	[Target]	0.0	0.0	29.0	0.0
["""ENSG00000159322""" = 0.0], ["""ENSG00000115138""" = 0.0]	[Target]	0.0	0.0	95.0	0.0
["""ENSG00000168434""" = 0.0], ["""ENSG00000007129""" = 1.0], ["""ENSG00000132356""" = 0.0]	[Target]	0.0	0.0	29.0	0.0
["""ENSG00000196781""" = 1.0]	[Target]	0.0	0.0	44.0	0.0
["""ENSG00000150990""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000155363""" = 1.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000070761""" = 0.0], ["""ENSG00000102974""" = 0.0], ["""ENSG00000163914""" = 0.0], ["""ENSG00000196873""" = 0.0], ["""ENSG00000136888""" = 0.0]	[Target]	0.0	0.0	57.0	0.0
["""ENSG00000151353""" = 1.0]	[Target]	0.0	0.0	49.0	0.0
["""ENSG00000171657""" = 0.0]	[Target]	0.0	0.0	128.0	0.0
["""ENSG00000176396""" = 1.0]	[Target]	0.0	0.0	48.0	0.0
["""ENSG00000181031""" = 1.0]	[Target]	0.0	0.0	44.0	0.0
["""ENSG00000100697""" = 0.0], ["""ENSG00000055957""" = 1.0], ["""ENSG00000135299""" = 0.0], ["""ENSG00000167110""" = 0.0], ["""ENSG00000165376""" = 0.0]	[Target]	0.0	0.0	12.0	0.0
["""ENSG00000283516""" = 1.0]	[Target]	0.0	0.0	19.0	0.0
["""ENSG00000131788""" = 0.0], ["""ENSG00000261609""" = 0.0], ["""ENSG00000161920""" = 0.0], ["""ENSG00000213988""" = 0.0], ["""ENSG00000154639""" = 0.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000139436""" = 0.0], ["""ENSG00000004139""" = 0.0], ["""ENSG00000143977""" = 0.0]	[Target]	0.0	0.0	75.0	0.0
["""ENSG00000146233""" = 1.0], ["""ENSG00000104388""" = 0.0]	[Target]	0.0	0.0	44.0	0.0
["""ENSG00000151882""" = 0.0], ["""ENSG00000171481""" = 0.0]	[Target]	0.0	0.0	110.0	0.0
["""ENSG00000129315""" = 1.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000153060""" = 0.0], ["""ENSG00000178093""" = 0.0], ["""ENSG00000186487""" = 0.0], ["""ENSG00000130635""" = 0.0]	[Target]	0.0	0.0	59.0	0.0
["""ENSG00000143549""" = 1.0], ["""ENSG00000179165""" = 0.0], ["""ENSG00000136297""" = 0.0]	[Target]	0.0	0.0	32.0	0.0
["""ENSG00000095564""" = 0.0], ["""ENSG00000111186""" = 0.0], ["""ENSG00000140274""" = 0.0], ["""ENSG00000018280""" = 0.0]	[Target]	0.0	0.0	62.0	0.0
["""ENSG00000140274""" = 0.0]	[Target]	0.0	0.0	130.0	0.0
["""ENSG00000102606""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
