Description	Target	Measure	E11	E10	E01
["""ENSG00000121064""" = 0.0]	[Target]	0.0	0.0	128.0	0.0
["""ENSG00000158435""" = 1.0], ["""ENSG00000147684""" = 0.0]	[Target]	0.0	0.0	22.0	0.0
["""ENSG00000184007""" = 0.0], ["""ENSG00000197959""" = 1.0]	[Target]	0.0	0.0	35.0	0.0
["""ENSG00000134250""" = 1.0], ["""ENSG00000226372""" = 0.0]	[Target]	0.0	0.0	32.0	0.0
["""ENSG00000270181""" = 1.0], ["""ENSG00000151092""" = 0.0]	[Target]	0.0	0.0	23.0	0.0
["""ENSG00000076258""" = 0.0], ["""ENSG00000162819""" = 1.0]	[Target]	0.0	0.0	35.0	0.0
["""ENSG00000145354""" = 1.0], ["""ENSG00000005022""" = 0.0]	[Target]	0.0	0.0	27.0	0.0
["""ENSG00000110786""" = 0.0], ["""ENSG00000140990""" = 1.0]	[Target]	0.0	0.0	35.0	0.0
["""ENSG00000102468""" = 0.0], ["""ENSG00000120162""" = 1.0]	[Target]	0.0	0.0	21.0	0.0
["""ENSG00000197798""" = 0.0], ["""ENSG00000005194""" = 0.0], ["""ENSG00000040633""" = 0.0], ["""ENSG00000160948""" = 0.0], ["""ENSG00000131174""" = 0.0]	[Target]	0.0	0.0	66.0	0.0
["""ENSG00000136014""" = 0.0], ["""ENSG00000183576""" = 1.0]	[Target]	0.0	0.0	34.0	0.0
["""ENSG00000177302""" = 1.0], ["""ENSG00000141560""" = 1.0]	[Target]	0.0	0.0	26.0	0.0
["""ENSG00000126247""" = 0.0], ["""ENSG00000115211""" = 1.0]	[Target]	0.0	0.0	25.0	0.0
["""ENSG00000114503""" = 0.0], ["""ENSG00000133574""" = 0.0]	[Target]	0.0	0.0	90.0	0.0
["""ENSG00000018236""" = 0.0], ["""ENSG00000080031""" = 0.0], ["""ENSG00000178935""" = 1.0], ["""ENSG00000124249""" = 1.0]	[Target]	0.0	0.0	15.0	0.0
["""ENSG00000021852""" = 0.0], ["""ENSG00000168350""" = 0.0], ["""ENSG00000104687""" = 0.0], ["""ENSG00000269405""" = 0.0]	[Target]	0.0	0.0	76.0	0.0
["""ENSG00000117650""" = 1.0], ["""ENSG00000149532""" = 0.0]	[Target]	0.0	0.0	30.0	0.0
["""ENSG00000154146""" = 0.0], ["""ENSG00000083454""" = 1.0]	[Target]	0.0	0.0	30.0	0.0
["""ENSG00000204909""" = 1.0], ["""ENSG00000065491""" = 0.0]	[Target]	0.0	0.0	32.0	0.0
["""ENSG00000137500""" = 0.0], ["""ENSG00000089723""" = 1.0], ["""ENSG00000185862""" = 1.0]	[Target]	0.0	0.0	11.0	0.0
["""ENSG00000196126""" = 0.0], ["""ENSG00000189241""" = 1.0]	[Target]	0.0	0.0	40.0	0.0
["""ENSG00000157782""" = 0.0], ["""ENSG00000030582""" = 1.0], ["""ENSG00000231672""" = 0.0], ["""ENSG00000106603""" = 1.0]	[Target]	0.0	0.0	12.0	0.0
["""ENSG00000153107""" = 0.0], ["""ENSG00000113389""" = 1.0]	[Target]	0.0	0.0	31.0	0.0
["""ENSG00000105695""" = 0.0], ["""ENSG00000204387""" = 1.0]	[Target]	0.0	0.0	34.0	0.0
["""ENSG00000196793""" = 1.0], ["""ENSG00000008735""" = 0.0]	[Target]	0.0	0.0	25.0	0.0
["""ENSG00000136040""" = 0.0], ["""ENSG00000142534""" = 1.0], ["""ENSG00000187189""" = 0.0]	[Target]	0.0	0.0	30.0	0.0
["""ENSG00000116661""" = 1.0], ["""ENSG00000114841""" = 1.0]	[Target]	0.0	0.0	13.0	0.0
["""ENSG00000134539""" = 1.0], ["""ENSG00000114745""" = 1.0]	[Target]	0.0	0.0	12.0	0.0
["""ENSG00000135116""" = 1.0], ["""ENSG00000275004""" = 0.0], ["""ENSG00000172007""" = 0.0]	[Target]	0.0	0.0	15.0	0.0
["""ENSG00000128886""" = 0.0], ["""ENSG00000184277""" = 1.0]	[Target]	0.0	0.0	40.0	0.0
["""ENSG00000143674""" = 1.0], ["""ENSG00000095752""" = 1.0]	[Target]	0.0	0.0	12.0	0.0
["""ENSG00000141682""" = 0.0], ["""ENSG00000164334""" = 1.0]	[Target]	0.0	0.0	29.0	0.0
["""ENSG00000140465""" = 1.0], ["""ENSG00000184602""" = 1.0]	[Target]	0.0	0.0	11.0	0.0
["""ENSG00000186897""" = 1.0], ["""ENSG00000088320""" = 1.0]	[Target]	0.0	0.0	14.0	0.0
["""ENSG00000143199""" = 1.0], ["""ENSG00000139154""" = 1.0]	[Target]	0.0	0.0	16.0	0.0
