Description	Target	Measure	E11	E10	E01
["""ENSG00000179750""" = 0.0]	[Target]	0.0	0.0	131.0	0.0
["""ENSG00000276040""" = 1.0]	[Target]	0.0	0.0	32.0	0.0
["""ENSG00000074803""" = 0.0], ["""ENSG00000185339""" = 0.0], ["""ENSG00000198502""" = 0.0], ["""ENSG00000104228""" = 1.0]	[Target]	0.0	0.0	15.0	0.0
["""ENSG00000165457""" = 1.0], ["""ENSG00000135390""" = 0.0], ["""ENSG00000123576""" = 0.0]	[Target]	0.0	0.0	34.0	0.0
["""ENSG00000135486""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000112877""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000145757""" = 1.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000135205""" = 1.0]	[Target]	0.0	0.0	44.0	0.0
["""ENSG00000180043""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000122852""" = 0.0], ["""ENSG00000138669""" = 0.0]	[Target]	0.0	0.0	93.0	0.0
["""ENSG00000104823""" = 1.0]	[Target]	0.0	0.0	40.0	0.0
["""ENSG00000213967""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000166454""" = 0.0], ["""ENSG00000142544""" = 0.0], ["""ENSG00000128309""" = 1.0]	[Target]	0.0	0.0	23.0	0.0
["""ENSG00000023516""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000165171""" = 1.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000170790""" = 1.0]	[Target]	0.0	0.0	11.0	0.0
["""ENSG00000180329""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000169059""" = 1.0]	[Target]	0.0	0.0	44.0	0.0
["""ENSG00000041515""" = 0.0], ["""ENSG00000112531""" = 0.0], ["""ENSG00000081800""" = 1.0]	[Target]	0.0	0.0	26.0	0.0
["""ENSG00000155026""" = 1.0]	[Target]	0.0	0.0	44.0	0.0
["""ENSG00000177614""" = 1.0]	[Target]	0.0	0.0	41.0	0.0
["""ENSG00000187109""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000111249""" = 1.0], ["""ENSG00000141200""" = 0.0], ["""ENSG00000178586""" = 0.0], ["""ENSG00000205581""" = 0.0], ["""ENSG00000169976""" = 0.0]	[Target]	0.0	0.0	17.0	0.0
["""ENSG00000167394""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000026751""" = 0.0], ["""ENSG00000166689""" = 0.0], ["""ENSG00000221840""" = 0.0], ["""ENSG00000121807""" = 0.0], ["""ENSG00000147255""" = 1.0]	[Target]	0.0	0.0	19.0	0.0
["""ENSG00000170049""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000160075""" = 0.0], ["""ENSG00000136160""" = 0.0], ["""ENSG00000259164""" = 0.0], ["""ENSG00000122783""" = 0.0], ["""ENSG00000185963""" = 0.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000179119""" = 1.0]	[Target]	0.0	0.0	48.0	0.0
["""ENSG00000198894""" = 1.0]	[Target]	0.0	0.0	50.0	0.0
["""ENSG00000217236""" = 0.0], ["""ENSG00000185019""" = 1.0]	[Target]	0.0	0.0	38.0	0.0
["""ENSG00000166928""" = 1.0], ["""ENSG00000126368""" = 0.0], ["""ENSG00000124193""" = 0.0]	[Target]	0.0	0.0	28.0	0.0
["""ENSG00000170967""" = 0.0], ["""ENSG00000100083""" = 0.0], ["""ENSG00000114455""" = 0.0], ["""ENSG00000106080""" = 1.0]	[Target]	0.0	0.0	17.0	0.0
["""ENSG00000157911""" = 0.0], ["""ENSG00000166105""" = 0.0], ["""ENSG00000129214""" = 0.0], ["""ENSG00000213397""" = 1.0]	[Target]	0.0	0.0	17.0	0.0
["""ENSG00000250021""" = 0.0], ["""ENSG00000143870""" = 0.0], ["""ENSG00000204128""" = 0.0], ["""ENSG00000157600""" = 0.0]	[Target]	0.0	0.0	59.0	0.0
["""ENSG00000100918""" = 0.0], ["""ENSG00000154736""" = 0.0], ["""ENSG00000035499""" = 1.0]	[Target]	0.0	0.0	30.0	0.0
["""ENSG00000213741""" = 0.0], ["""ENSG00000277791""" = 0.0], ["""ENSG00000018280""" = 0.0], ["""ENSG00000165591""" = 0.0]	[Target]	0.0	0.0	56.0	0.0
["""ENSG00000255835""" = 0.0], ["""ENSG00000166289""" = 0.0], ["""ENSG00000173404""" = 0.0], ["""ENSG00000185053""" = 0.0], ["""ENSG00000248235""" = 0.0]	[Target]	0.0	0.0	35.0	0.0
["""ENSG00000279767""" = 0.0], ["""ENSG00000198028""" = 0.0], ["""ENSG00000112584""" = 1.0], ["""ENSG00000187796""" = 0.0]	[Target]	0.0	0.0	21.0	0.0
["""ENSG00000157916""" = 0.0], ["""ENSG00000109846""" = 0.0], ["""ENSG00000204956""" = 1.0]	[Target]	0.0	0.0	23.0	0.0
["""ENSG00000188868""" = 0.0], ["""ENSG00000115866""" = 0.0], ["""ENSG00000123485""" = 1.0]	[Target]	0.0	0.0	22.0	0.0
["""ENSG00000174684""" = 0.0], ["""ENSG00000130177""" = 0.0], ["""ENSG00000063245""" = 0.0]	[Target]	0.0	0.0	72.0	0.0
["""ENSG00000130511""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000110680""" = 1.0]	[Target]	0.0	0.0	48.0	0.0
["""ENSG00000275774""" = 0.0], ["""ENSG00000103426""" = 1.0], ["""ENSG00000157765""" = 0.0], ["""ENSG00000112541""" = 0.0], ["""ENSG00000176571""" = 0.0]	[Target]	0.0	0.0	14.0	0.0
["""ENSG00000124217""" = 0.0], ["""ENSG00000165025""" = 0.0], ["""ENSG00000185963""" = 1.0], ["""ENSG00000119333""" = 0.0]	[Target]	0.0	0.0	19.0	0.0
["""ENSG00000203737""" = 0.0], ["""ENSG00000185627""" = 1.0], ["""ENSG00000181761""" = 0.0], ["""ENSG00000167671""" = 1.0], ["""ENSG00000187189""" = 0.0]	[Target]	0.0	0.0	13.0	0.0
["""ENSG00000108018""" = 1.0]	[Target]	0.0	0.0	47.0	0.0
["""ENSG00000184752""" = 0.0], ["""ENSG00000277893""" = 0.0], ["""ENSG00000158402""" = 0.0], ["""ENSG00000253250""" = 0.0]	[Target]	0.0	0.0	51.0	0.0
["""ENSG00000136099""" = 1.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000161939""" = 1.0]	[Target]	0.0	0.0	48.0	0.0
