Description	Target	Measure	E11	E10	E01
["""ENSG00000181619""" = 0.0]	[Target]	0.0	0.0	128.0	0.0
["""ENSG00000136159""" = 1.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000148175""" = 1.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000129167""" = 1.0], ["""ENSG00000135439""" = 0.0], ["""ENSG00000275718""" = 0.0], ["""ENSG00000250479""" = 0.0]	[Target]	0.0	0.0	23.0	0.0
["""ENSG00000104341""" = 1.0]	[Target]	0.0	0.0	43.0	0.0
["""ENSG00000116525""" = 1.0]	[Target]	0.0	0.0	48.0	0.0
["""ENSG00000111796""" = 0.0], ["""ENSG00000104129""" = 0.0], ["""ENSG00000101447""" = 0.0], ["""ENSG00000186925""" = 0.0], ["""ENSG00000124275""" = 0.0]	[Target]	0.0	0.0	59.0	0.0
["""ENSG00000185955""" = 1.0]	[Target]	0.0	0.0	48.0	0.0
["""ENSG00000065665""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000140505""" = 1.0], ["""ENSG00000079691""" = 0.0], ["""ENSG00000197498""" = 0.0]	[Target]	0.0	0.0	30.0	0.0
["""ENSG00000048342""" = 1.0]	[Target]	0.0	0.0	44.0	0.0
["""ENSG00000131263""" = 1.0]	[Target]	0.0	0.0	44.0	0.0
["""ENSG00000160218""" = 0.0], ["""ENSG00000178175""" = 1.0]	[Target]	0.0	0.0	30.0	0.0
["""ENSG00000204991""" = 0.0], ["""ENSG00000179915""" = 0.0], ["""ENSG00000086061""" = 1.0]	[Target]	0.0	0.0	22.0	0.0
["""ENSG00000180425""" = 0.0], ["""ENSG00000223953""" = 0.0], ["""ENSG00000141946""" = 0.0], ["""ENSG00000160255""" = 0.0], ["""ENSG00000197061""" = 0.0]	[Target]	0.0	0.0	57.0	0.0
["""ENSG00000162496""" = 0.0], ["""ENSG00000170627""" = 1.0], ["""ENSG00000101057""" = 1.0]	[Target]	0.0	0.0	20.0	0.0
["""ENSG00000127152""" = 0.0], ["""ENSG00000176381""" = 0.0]	[Target]	0.0	0.0	96.0	0.0
["""ENSG00000137872""" = 0.0], ["""ENSG00000121577""" = 1.0]	[Target]	0.0	0.0	22.0	0.0
["""ENSG00000006788""" = 0.0], ["""ENSG00000081479""" = 0.0], ["""ENSG00000187699""" = 0.0], ["""ENSG00000164031""" = 0.0]	[Target]	0.0	0.0	61.0	0.0
["""ENSG00000258223""" = 1.0]	[Target]	0.0	0.0	10.0	0.0
["""ENSG00000186526""" = 1.0]	[Target]	0.0	0.0	49.0	0.0
["""ENSG00000182583""" = 1.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000196465""" = 0.0], ["""ENSG00000168661""" = 0.0], ["""ENSG00000283992""" = 0.0]	[Target]	0.0	0.0	72.0	0.0
["""ENSG00000179051""" = 0.0], ["""ENSG00000173465""" = 1.0], ["""ENSG00000080546""" = 0.0], ["""ENSG00000123908""" = 0.0]	[Target]	0.0	0.0	21.0	0.0
["""ENSG00000147889""" = 1.0]	[Target]	0.0	0.0	48.0	0.0
["""ENSG00000162813""" = 1.0]	[Target]	0.0	0.0	44.0	0.0
["""ENSG00000178096""" = 0.0], ["""ENSG00000004478""" = 0.0], ["""ENSG00000114942""" = 0.0], ["""ENSG00000099904""" = 0.0]	[Target]	0.0	0.0	53.0	0.0
["""ENSG00000186897""" = 0.0], ["""ENSG00000156427""" = 0.0], ["""ENSG00000124795""" = 0.0], ["""ENSG00000127083""" = 0.0]	[Target]	0.0	0.0	55.0	0.0
["""ENSG00000110536""" = 1.0], ["""ENSG00000124196""" = 0.0], ["""ENSG00000078674""" = 0.0]	[Target]	0.0	0.0	23.0	0.0
["""ENSG00000104635""" = 1.0]	[Target]	0.0	0.0	46.0	0.0
["""ENSG00000170214""" = 1.0]	[Target]	0.0	0.0	42.0	0.0
["""ENSG00000197901""" = 1.0], ["""ENSG00000170500""" = 0.0]	[Target]	0.0	0.0	11.0	0.0
["""ENSG00000177595""" = 0.0], ["""ENSG00000115425""" = 1.0], ["""ENSG00000147121""" = 0.0]	[Target]	0.0	0.0	30.0	0.0
["""ENSG00000273088""" = 0.0], ["""ENSG00000109436""" = 0.0], ["""ENSG00000112419""" = 1.0]	[Target]	0.0	0.0	33.0	0.0
["""ENSG00000131771""" = 1.0], ["""ENSG00000197233""" = 0.0]	[Target]	0.0	0.0	38.0	0.0
["""ENSG00000166747""" = 0.0], ["""ENSG00000240682""" = 0.0], ["""ENSG00000155016""" = 1.0], ["""ENSG00000214642""" = 0.0]	[Target]	0.0	0.0	29.0	0.0
["""ENSG00000140416""" = 1.0], ["""ENSG00000144218""" = 1.0]	[Target]	0.0	0.0	15.0	0.0
