Description	Target	Measure	E11	E10	E01
["""ENSG00000118363""" = 0.0]	[Target]	0.0	0.0	132.0	0.0
["""ENSG00000108654""" = 0.0], ["""ENSG00000115461""" = 0.0]	[Target]	0.0	0.0	96.0	0.0
["""ENSG00000148677""" = 0.0], ["""ENSG00000166851""" = 0.0]	[Target]	0.0	0.0	108.0	0.0
["""ENSG00000061794""" = 1.0], ["""ENSG00000185942""" = 1.0]	[Target]	0.0	0.0	13.0	0.0
["""ENSG00000140941""" = 1.0], ["""ENSG00000188710""" = 0.0]	[Target]	0.0	0.0	33.0	0.0
["""ENSG00000092200""" = 0.0], ["""ENSG00000126787""" = 0.0], ["""ENSG00000161267""" = 0.0]	[Target]	0.0	0.0	79.0	0.0
["""ENSG00000070366""" = 1.0], ["""ENSG00000178921""" = 1.0]	[Target]	0.0	0.0	24.0	0.0
["""ENSG00000035403""" = 0.0], ["""ENSG00000006534""" = 1.0], ["""ENSG00000205863""" = 0.0], ["""ENSG00000140937""" = 1.0], ["""ENSG00000115598""" = 0.0]	[Target]	0.0	0.0	11.0	0.0
["""ENSG00000146166""" = 1.0], ["""ENSG00000122133""" = 0.0]	[Target]	0.0	0.0	34.0	0.0
["""ENSG00000121454""" = 1.0], ["""ENSG00000256269""" = 1.0], ["""ENSG00000163743""" = 0.0]	[Target]	0.0	0.0	10.0	0.0
["""ENSG00000171914""" = 1.0], ["""ENSG00000165233""" = 0.0]	[Target]	0.0	0.0	39.0	0.0
["""ENSG00000222046""" = 0.0], ["""ENSG00000198211""" = 0.0], ["""ENSG00000104979""" = 0.0], ["""ENSG00000197021""" = 1.0]	[Target]	0.0	0.0	13.0	0.0
["""ENSG00000255641""" = 1.0], ["""ENSG00000120729""" = 1.0]	[Target]	0.0	0.0	12.0	0.0
["""ENSG00000153029""" = 0.0], ["""ENSG00000270033""" = 1.0]	[Target]	0.0	0.0	27.0	0.0
["""ENSG00000115548""" = 0.0], ["""ENSG00000136830""" = 0.0]	[Target]	0.0	0.0	97.0	0.0
["""ENSG00000032389""" = 1.0], ["""ENSG00000171448""" = 1.0]	[Target]	0.0	0.0	11.0	0.0
["""ENSG00000127328""" = 0.0], ["""ENSG00000168447""" = 0.0]	[Target]	0.0	0.0	94.0	0.0
["""ENSG00000103197""" = 1.0], ["""ENSG00000164061""" = 1.0]	[Target]	0.0	0.0	25.0	0.0
["""ENSG00000260092""" = 0.0], ["""ENSG00000196312""" = 0.0]	[Target]	0.0	0.0	105.0	0.0
["""ENSG00000184254""" = 0.0], ["""ENSG00000105063""" = 1.0]	[Target]	0.0	0.0	44.0	0.0
["""ENSG00000166501""" = 1.0], ["""ENSG00000102226""" = 1.0]	[Target]	0.0	0.0	10.0	0.0
["""ENSG00000104883""" = 1.0], ["""ENSG00000182492""" = 1.0]	[Target]	0.0	0.0	17.0	0.0
["""ENSG00000181773""" = 0.0], ["""ENSG00000016490""" = 0.0], ["""ENSG00000128609""" = 0.0]	[Target]	0.0	0.0	82.0	0.0
["""ENSG00000270099""" = 0.0], ["""ENSG00000144036""" = 1.0], ["""ENSG00000100380""" = 0.0], ["""ENSG00000104388""" = 0.0], ["""ENSG00000136997""" = 0.0]	[Target]	0.0	0.0	13.0	0.0
