Description	Target	Measure	E11	E10	E01
["""col_952""" = 1]	[Target]	0.0	0.0	1426.0	0.0
["""col_1531""" = 0], ["""col_1742""" = 4]	[Target]	0.0	0.0	269.0	0.0
["""col_1141""" = 1], ["""col_1241""" = 4]	[Target]	0.0	0.0	280.0	0.0
["""col_33""" = 0], ["""col_705""" = 3]	[Target]	0.0	0.0	289.0	0.0
["""col_145""" = 1], ["""col_1668""" = 2]	[Target]	0.0	0.0	272.0	0.0
["""col_58""" = 1], ["""col_658""" = 2]	[Target]	0.0	0.0	281.0	0.0
["""col_235""" = 4], ["""col_576""" = 0]	[Target]	0.0	0.0	284.0	0.0
["""col_1409""" = 2], ["""col_1822""" = 2]	[Target]	0.0	0.0	260.0	0.0
["""col_1042""" = 0], ["""col_1881""" = 0]	[Target]	0.0	0.0	316.0	0.0
["""col_131""" = 4], ["""col_644""" = 4]	[Target]	0.0	0.0	256.0	0.0
["""col_1561""" = 0], ["""col_1900""" = 3]	[Target]	0.0	0.0	259.0	0.0
["""col_311""" = 0], ["""col_1811""" = 0]	[Target]	0.0	0.0	270.0	0.0
["""col_701""" = 1], ["""col_1159""" = 2]	[Target]	0.0	0.0	292.0	0.0
["""col_949""" = 4], ["""col_1915""" = 1]	[Target]	0.0	0.0	290.0	0.0
["""col_528""" = 0], ["""col_771""" = 2]	[Target]	0.0	0.0	282.0	0.0
["""col_71""" = 4], ["""col_469""" = 0], ["""col_929""" = 2], ["""col_1815""" = 3]	[Target]	0.0	0.0	13.0	0.0
["""col_530""" = 4], ["""col_939""" = 2]	[Target]	0.0	0.0	309.0	0.0
["""col_1052""" = 1], ["""col_1518""" = 1]	[Target]	0.0	0.0	276.0	0.0
["""col_362""" = 3], ["""col_493""" = 4], ["""col_768""" = 4], ["""col_1337""" = 0]	[Target]	0.0	0.0	17.0	0.0
["""col_1919""" = 1], ["""col_1997""" = 3]	[Target]	0.0	0.0	294.0	0.0
["""col_16""" = 2], ["""col_188""" = 2]	[Target]	0.0	0.0	294.0	0.0
["""col_240""" = 3], ["""col_352""" = 3]	[Target]	0.0	0.0	287.0	0.0
["""col_1520""" = 1], ["""col_1742""" = 1]	[Target]	0.0	0.0	304.0	0.0
["""col_680""" = 1], ["""col_1527""" = 3]	[Target]	0.0	0.0	323.0	0.0
["""col_1146""" = 0], ["""col_1752""" = 4], ["""col_1835""" = 0], ["""col_1938""" = 2]	[Target]	0.0	0.0	10.0	0.0
["""col_63""" = 2], ["""col_82""" = 0], ["""col_682""" = 4], ["""col_1994""" = 0]	[Target]	0.0	0.0	14.0	0.0
["""col_1001""" = 4], ["""col_1803""" = 4]	[Target]	0.0	0.0	280.0	0.0
["""col_562""" = 0], ["""col_1017""" = 2]	[Target]	0.0	0.0	285.0	0.0
["""col_569""" = 0], ["""col_1908""" = 0]	[Target]	0.0	0.0	286.0	0.0
["""col_283""" = 2], ["""col_289""" = 1]	[Target]	0.0	0.0	282.0	0.0
["""col_354""" = 1], ["""col_879""" = 4]	[Target]	0.0	0.0	273.0	0.0
["""col_1399""" = 4], ["""col_1997""" = 1]	[Target]	0.0	0.0	284.0	0.0
["""col_703""" = 0], ["""col_1418""" = 4]	[Target]	0.0	0.0	287.0	0.0
["""col_852""" = 3], ["""col_1412""" = 1], ["""col_1822""" = 0]	[Target]	0.0	0.0	56.0	0.0
["""col_988""" = 1], ["""col_1452""" = 4]	[Target]	0.0	0.0	309.0	0.0
["""col_724""" = 4], ["""col_965""" = 2], ["""col_1177""" = 3], ["""col_1777""" = 3]	[Target]	0.0	0.0	19.0	0.0
["""col_122""" = 2], ["""col_1099""" = 3]	[Target]	0.0	0.0	288.0	0.0
["""col_547""" = 0], ["""col_909""" = 1]	[Target]	0.0	0.0	317.0	0.0
["""col_770""" = 3], ["""col_1315""" = 3]	[Target]	0.0	0.0	307.0	0.0
["""col_121""" = 2], ["""col_737""" = 0], ["""col_940""" = 3]	[Target]	0.0	0.0	56.0	0.0
["""col_759""" = 0], ["""col_1527""" = 4]	[Target]	0.0	0.0	253.0	0.0
["""col_291""" = 2], ["""col_1432""" = 3]	[Target]	0.0	0.0	273.0	0.0
["""col_1202""" = 4], ["""col_1749""" = 2]	[Target]	0.0	0.0	265.0	0.0
["""col_1357""" = 2], ["""col_1449""" = 4]	[Target]	0.0	0.0	311.0	0.0
["""col_1038""" = 2], ["""col_1969""" = 4]	[Target]	0.0	0.0	249.0	0.0
["""col_327""" = 2], ["""col_1422""" = 4]	[Target]	0.0	0.0	269.0	0.0
["""col_150""" = 3], ["""col_975""" = 1], ["""col_1280""" = 1]	[Target]	0.0	0.0	54.0	0.0
["""col_654""" = 0], ["""col_1479""" = 3]	[Target]	0.0	0.0	290.0	0.0
["""col_355""" = 0], ["""col_849""" = 4], ["""col_1243""" = 3]	[Target]	0.0	0.0	55.0	0.0
["""col_978""" = 3], ["""col_1539""" = 1]	[Target]	0.0	0.0	313.0	0.0
