Description	Target	Measure	E11	E10	E01
["""col_762""" = 4]	[Target]	0.0	0.0	1140.0	0.0
["""col_912""" = 3]	[Target]	0.0	0.0	1091.0	0.0
["""col_849""" = 1]	[Target]	0.0	0.0	1167.0	0.0
["""col_124""" = 0]	[Target]	0.0	0.0	1098.0	0.0
["""col_681""" = 4]	[Target]	0.0	0.0	1140.0	0.0
["""col_1068""" = 3], ["""col_1089""" = 2], ["""col_1148""" = 1]	[Target]	0.0	0.0	49.0	0.0
["""col_1068""" = 3]	[Target]	0.0	0.0	1179.0	0.0
["""col_1983""" = 2]	[Target]	0.0	0.0	1131.0	0.0
["""col_329""" = 3]	[Target]	0.0	0.0	1089.0	0.0
["""col_1494""" = 3]	[Target]	0.0	0.0	1088.0	0.0
["""col_430""" = 0]	[Target]	0.0	0.0	1155.0	0.0
["""col_436""" = 2]	[Target]	0.0	0.0	1101.0	0.0
["""col_519""" = 3]	[Target]	0.0	0.0	1089.0	0.0
["""col_370""" = 2]	[Target]	0.0	0.0	1156.0	0.0
["""col_1871""" = 2]	[Target]	0.0	0.0	1054.0	0.0
["""col_1243""" = 2]	[Target]	0.0	0.0	1133.0	0.0
["""col_1631""" = 3]	[Target]	0.0	0.0	1085.0	0.0
["""col_114""" = 0], ["""col_485""" = 3], ["""col_627""" = 1]	[Target]	0.0	0.0	46.0	0.0
["""col_114""" = 0]	[Target]	0.0	0.0	1131.0	0.0
["""col_783""" = 4]	[Target]	0.0	0.0	1162.0	0.0
["""col_858""" = 1], ["""col_1554""" = 2]	[Target]	0.0	0.0	227.0	0.0
["""col_1554""" = 2]	[Target]	0.0	0.0	1152.0	0.0
["""col_191""" = 2], ["""col_219""" = 2]	[Target]	0.0	0.0	219.0	0.0
["""col_191""" = 2]	[Target]	0.0	0.0	1113.0	0.0
["""col_1848""" = 2]	[Target]	0.0	0.0	1169.0	0.0
["""col_515""" = 0]	[Target]	0.0	0.0	1122.0	0.0
["""col_394""" = 1]	[Target]	0.0	0.0	1103.0	0.0
["""col_11""" = 0], ["""col_539""" = 1], ["""col_1004""" = 2]	[Target]	0.0	0.0	45.0	0.0
["""col_11""" = 0]	[Target]	0.0	0.0	1096.0	0.0
["""col_227""" = 4]	[Target]	0.0	0.0	1149.0	0.0
["""col_743""" = 4]	[Target]	0.0	0.0	1145.0	0.0
["""col_361""" = 4]	[Target]	0.0	0.0	1106.0	0.0
["""col_1637""" = 3]	[Target]	0.0	0.0	1142.0	0.0
["""col_689""" = 4]	[Target]	0.0	0.0	1145.0	0.0
["""col_119""" = 1]	[Target]	0.0	0.0	1129.0	0.0
["""col_1858""" = 3]	[Target]	0.0	0.0	1119.0	0.0
["""col_663""" = 1]	[Target]	0.0	0.0	1100.0	0.0
["""col_703""" = 0], ["""col_1107""" = 1], ["""col_1708""" = 2]	[Target]	0.0	0.0	47.0	0.0
["""col_703""" = 0]	[Target]	0.0	0.0	1065.0	0.0
["""col_1655""" = 2]	[Target]	0.0	0.0	1120.0	0.0
["""col_1241""" = 3]	[Target]	0.0	0.0	1123.0	0.0
["""col_769""" = 4], ["""col_1397""" = 2]	[Target]	0.0	0.0	210.0	0.0
["""col_1397""" = 2]	[Target]	0.0	0.0	1137.0	0.0
["""col_221""" = 1]	[Target]	0.0	0.0	1091.0	0.0
["""col_996""" = 3]	[Target]	0.0	0.0	1139.0	0.0
["""col_377""" = 4]	[Target]	0.0	0.0	1076.0	0.0
["""col_1706""" = 4]	[Target]	0.0	0.0	1112.0	0.0
["""col_917""" = 2]	[Target]	0.0	0.0	1133.0	0.0
["""col_386""" = 1], ["""col_1278""" = 0], ["""col_1912""" = 0]	[Target]	0.0	0.0	42.0	0.0
["""col_1912""" = 0]	[Target]	0.0	0.0	1130.0	0.0
