Description	Target	Measure	E11	E10	E01
["""col_1279""" = 3]	[Target]	0.0	0.0	1144.0	0.0
["""col_852""" = 4]	[Target]	0.0	0.0	1210.0	0.0
["""col_86""" = 2], ["""col_223""" = 4], ["""col_956""" = 1], ["""col_1286""" = 2]	[Target]	0.0	0.0	11.0	0.0
["""col_86""" = 2], ["""col_956""" = 1]	[Target]	0.0	0.0	222.0	0.0
["""col_956""" = 1]	[Target]	0.0	0.0	1135.0	0.0
["""col_679""" = 4]	[Target]	0.0	0.0	1122.0	0.0
["""col_1564""" = 1]	[Target]	0.0	0.0	1152.0	0.0
["""col_589""" = 0]	[Target]	0.0	0.0	1144.0	0.0
["""col_1976""" = 4]	[Target]	0.0	0.0	1210.0	0.0
["""col_1093""" = 3]	[Target]	0.0	0.0	1084.0	0.0
["""col_1996""" = 2]	[Target]	0.0	0.0	1106.0	0.0
["""col_1265""" = 4]	[Target]	0.0	0.0	1091.0	0.0
["""col_1013""" = 3]	[Target]	0.0	0.0	1133.0	0.0
["""col_713""" = 1]	[Target]	0.0	0.0	1098.0	0.0
["""col_31""" = 4], ["""col_36""" = 4], ["""col_546""" = 2], ["""col_987""" = 1]	[Target]	0.0	0.0	12.0	0.0
["""col_31""" = 4]	[Target]	0.0	0.0	1130.0	0.0
["""col_167""" = 0], ["""col_215""" = 1], ["""col_1383""" = 2]	[Target]	0.0	0.0	42.0	0.0
["""col_1383""" = 2]	[Target]	0.0	0.0	1075.0	0.0
["""col_1767""" = 2]	[Target]	0.0	0.0	1164.0	0.0
["""col_580""" = 3]	[Target]	0.0	0.0	1111.0	0.0
["""col_1685""" = 1]	[Target]	0.0	0.0	1118.0	0.0
["""col_783""" = 3], ["""col_1401""" = 1], ["""col_1566""" = 3], ["""col_1703""" = 3]	[Target]	0.0	0.0	12.0	0.0
["""col_783""" = 3]	[Target]	0.0	0.0	1112.0	0.0
["""col_1549""" = 3]	[Target]	0.0	0.0	1114.0	0.0
["""col_150""" = 1]	[Target]	0.0	0.0	1098.0	0.0
["""col_903""" = 4]	[Target]	0.0	0.0	1139.0	0.0
["""col_464""" = 0], ["""col_956""" = 4], ["""col_1402""" = 0], ["""col_1664""" = 2]	[Target]	0.0	0.0	11.0	0.0
["""col_1664""" = 2]	[Target]	0.0	0.0	1102.0	0.0
["""col_1143""" = 3]	[Target]	0.0	0.0	1087.0	0.0
["""col_995""" = 0]	[Target]	0.0	0.0	1136.0	0.0
["""col_650""" = 4]	[Target]	0.0	0.0	1112.0	0.0
["""col_611""" = 1]	[Target]	0.0	0.0	1116.0	0.0
["""col_1932""" = 2]	[Target]	0.0	0.0	1067.0	0.0
["""col_967""" = 0]	[Target]	0.0	0.0	1091.0	0.0
["""col_58""" = 1], ["""col_1437""" = 0], ["""col_1927""" = 3]	[Target]	0.0	0.0	50.0	0.0
["""col_58""" = 1]	[Target]	0.0	0.0	1140.0	0.0
["""col_1624""" = 0]	[Target]	0.0	0.0	1085.0	0.0
["""col_469""" = 0]	[Target]	0.0	0.0	1089.0	0.0
["""col_380""" = 0]	[Target]	0.0	0.0	1088.0	0.0
["""col_1933""" = 2]	[Target]	0.0	0.0	1125.0	0.0
["""col_276""" = 4]	[Target]	0.0	0.0	1133.0	0.0
["""col_181""" = 3]	[Target]	0.0	0.0	1100.0	0.0
["""col_1445""" = 4]	[Target]	0.0	0.0	1103.0	0.0
["""col_43""" = 4]	[Target]	0.0	0.0	1106.0	0.0
["""col_75""" = 1], ["""col_308""" = 1], ["""col_1976""" = 3]	[Target]	0.0	0.0	53.0	0.0
["""col_1976""" = 3]	[Target]	0.0	0.0	1112.0	0.0
["""col_172""" = 2]	[Target]	0.0	0.0	1076.0	0.0
["""col_1544""" = 4]	[Target]	0.0	0.0	1115.0	0.0
["""col_1948""" = 4]	[Target]	0.0	0.0	1053.0	0.0
["""col_716""" = 2]	[Target]	0.0	0.0	1123.0	0.0
