Description	Target	Measure	E11	E10	E01
["""col_399""" = 0]	[Target]	0.0	0.0	1094.0	0.0
["""col_140""" = 2], ["""col_696""" = 0]	[Target]	0.0	0.0	203.0	0.0
["""col_140""" = 2]	[Target]	0.0	0.0	1099.0	0.0
["""col_1650""" = 4]	[Target]	0.0	0.0	1146.0	0.0
["""col_1002""" = 1], ["""col_1080""" = 2], ["""col_1842""" = 1]	[Target]	0.0	0.0	48.0	0.0
["""col_1842""" = 1]	[Target]	0.0	0.0	1133.0	0.0
["""col_1779""" = 3]	[Target]	0.0	0.0	1150.0	0.0
["""col_822""" = 2]	[Target]	0.0	0.0	1061.0	0.0
["""col_665""" = 2], ["""col_1536""" = 1], ["""col_1537""" = 0]	[Target]	0.0	0.0	42.0	0.0
["""col_665""" = 2]	[Target]	0.0	0.0	1149.0	0.0
["""col_607""" = 1], ["""col_1366""" = 2]	[Target]	0.0	0.0	223.0	0.0
["""col_607""" = 1]	[Target]	0.0	0.0	1120.0	0.0
["""col_1959""" = 2]	[Target]	0.0	0.0	1121.0	0.0
["""col_1445""" = 0]	[Target]	0.0	0.0	1150.0	0.0
["""col_236""" = 1], ["""col_516""" = 3], ["""col_1012""" = 4]	[Target]	0.0	0.0	52.0	0.0
["""col_236""" = 1], ["""col_516""" = 3]	[Target]	0.0	0.0	260.0	0.0
["""col_516""" = 3]	[Target]	0.0	0.0	1154.0	0.0
["""col_628""" = 0], ["""col_887""" = 2], ["""col_1467""" = 0]	[Target]	0.0	0.0	39.0	0.0
["""col_628""" = 0]	[Target]	0.0	0.0	1121.0	0.0
["""col_35""" = 1], ["""col_1187""" = 0], ["""col_1456""" = 3]	[Target]	0.0	0.0	45.0	0.0
["""col_1187""" = 0], ["""col_1456""" = 3]	[Target]	0.0	0.0	232.0	0.0
["""col_1456""" = 3]	[Target]	0.0	0.0	1126.0	0.0
["""col_853""" = 1]	[Target]	0.0	0.0	1155.0	0.0
["""col_112""" = 0], ["""col_731""" = 4], ["""col_943""" = 3], ["""col_1530""" = 3]	[Target]	0.0	0.0	15.0	0.0
["""col_943""" = 3]	[Target]	0.0	0.0	1154.0	0.0
["""col_1523""" = 1]	[Target]	0.0	0.0	1070.0	0.0
["""col_1934""" = 4]	[Target]	0.0	0.0	1089.0	0.0
["""col_641""" = 4]	[Target]	0.0	0.0	1144.0	0.0
["""col_1877""" = 4]	[Target]	0.0	0.0	1113.0	0.0
["""col_271""" = 3]	[Target]	0.0	0.0	1090.0	0.0
["""col_1841""" = 4]	[Target]	0.0	0.0	1087.0	0.0
["""col_136""" = 3], ["""col_373""" = 0], ["""col_1150""" = 0], ["""col_1800""" = 3]	[Target]	0.0	0.0	10.0	0.0
["""col_1800""" = 3]	[Target]	0.0	0.0	1142.0	0.0
["""col_881""" = 3]	[Target]	0.0	0.0	1112.0	0.0
["""col_1533""" = 0]	[Target]	0.0	0.0	1115.0	0.0
["""col_174""" = 1]	[Target]	0.0	0.0	1107.0	0.0
["""col_1027""" = 4]	[Target]	0.0	0.0	1102.0	0.0
["""col_618""" = 1]	[Target]	0.0	0.0	1119.0	0.0
["""col_1248""" = 0], ["""col_1390""" = 3]	[Target]	0.0	0.0	231.0	0.0
["""col_1248""" = 0]	[Target]	0.0	0.0	1147.0	0.0
["""col_194""" = 0], ["""col_499""" = 2], ["""col_806""" = 0], ["""col_824""" = 2]	[Target]	0.0	0.0	10.0	0.0
["""col_824""" = 2]	[Target]	0.0	0.0	1103.0	0.0
["""col_1748""" = 3]	[Target]	0.0	0.0	1129.0	0.0
["""col_500""" = 0]	[Target]	0.0	0.0	1117.0	0.0
["""col_1364""" = 1]	[Target]	0.0	0.0	1120.0	0.0
["""col_1547""" = 3]	[Target]	0.0	0.0	1143.0	0.0
["""col_404""" = 0]	[Target]	0.0	0.0	1077.0	0.0
["""col_397""" = 1]	[Target]	0.0	0.0	1164.0	0.0
["""col_561""" = 1]	[Target]	0.0	0.0	1111.0	0.0
["""col_60""" = 4]	[Target]	0.0	0.0	1101.0	0.0
