Description	Target	Measure	E11	E10	E01
["""col_1935""" = 1]	[Target]	0.0	0.0	1092.0	0.0
["""col_1695""" = 0]	[Target]	0.0	0.0	1114.0	0.0
["""col_479""" = 3]	[Target]	0.0	0.0	1086.0	0.0
["""col_487""" = 1]	[Target]	0.0	0.0	1164.0	0.0
["""col_1530""" = 4]	[Target]	0.0	0.0	1106.0	0.0
["""col_474""" = 2]	[Target]	0.0	0.0	1163.0	0.0
["""col_161""" = 4]	[Target]	0.0	0.0	1130.0	0.0
["""col_185""" = 0], ["""col_407""" = 0]	[Target]	0.0	0.0	257.0	0.0
["""col_185""" = 0]	[Target]	0.0	0.0	1160.0	0.0
["""col_1090""" = 4]	[Target]	0.0	0.0	1116.0	0.0
["""col_441""" = 0]	[Target]	0.0	0.0	1146.0	0.0
["""col_227""" = 3]	[Target]	0.0	0.0	1147.0	0.0
["""col_934""" = 1]	[Target]	0.0	0.0	1124.0	0.0
["""col_708""" = 1]	[Target]	0.0	0.0	1131.0	0.0
["""col_136""" = 4]	[Target]	0.0	0.0	1125.0	0.0
["""col_291""" = 0]	[Target]	0.0	0.0	1145.0	0.0
["""col_982""" = 3]	[Target]	0.0	0.0	1082.0	0.0
["""col_1948""" = 2]	[Target]	0.0	0.0	1113.0	0.0
["""col_156""" = 2], ["""col_344""" = 3], ["""col_502""" = 3], ["""col_1414""" = 1]	[Target]	0.0	0.0	11.0	0.0
["""col_502""" = 3]	[Target]	0.0	0.0	1100.0	0.0
["""col_820""" = 0], ["""col_983""" = 2]	[Target]	0.0	0.0	202.0	0.0
["""col_983""" = 2]	[Target]	0.0	0.0	1121.0	0.0
["""col_86""" = 3]	[Target]	0.0	0.0	1090.0	0.0
["""col_527""" = 2], ["""col_1237""" = 2]	[Target]	0.0	0.0	247.0	0.0
["""col_1237""" = 2]	[Target]	0.0	0.0	1149.0	0.0
["""col_917""" = 1]	[Target]	0.0	0.0	1135.0	0.0
["""col_503""" = 4]	[Target]	0.0	0.0	1094.0	0.0
["""col_787""" = 0]	[Target]	0.0	0.0	1069.0	0.0
["""col_854""" = 0]	[Target]	0.0	0.0	1078.0	0.0
["""col_1452""" = 2]	[Target]	0.0	0.0	1101.0	0.0
["""col_1091""" = 0]	[Target]	0.0	0.0	1102.0	0.0
["""col_1803""" = 2]	[Target]	0.0	0.0	1157.0	0.0
["""col_17""" = 0], ["""col_964""" = 3], ["""col_1262""" = 3]	[Target]	0.0	0.0	40.0	0.0
["""col_1262""" = 3]	[Target]	0.0	0.0	1112.0	0.0
["""col_984""" = 2]	[Target]	0.0	0.0	1102.0	0.0
["""col_760""" = 4]	[Target]	0.0	0.0	1171.0	0.0
["""col_89""" = 2], ["""col_601""" = 4]	[Target]	0.0	0.0	198.0	0.0
["""col_89""" = 2]	[Target]	0.0	0.0	1144.0	0.0
["""col_1454""" = 1], ["""col_1959""" = 3]	[Target]	0.0	0.0	237.0	0.0
["""col_1454""" = 1]	[Target]	0.0	0.0	1131.0	0.0
["""col_1047""" = 4]	[Target]	0.0	0.0	1134.0	0.0
["""col_639""" = 2]	[Target]	0.0	0.0	1088.0	0.0
["""col_1945""" = 0]	[Target]	0.0	0.0	1109.0	0.0
["""col_451""" = 2]	[Target]	0.0	0.0	1126.0	0.0
["""col_641""" = 2]	[Target]	0.0	0.0	1134.0	0.0
["""col_75""" = 3]	[Target]	0.0	0.0	1125.0	0.0
["""col_693""" = 0]	[Target]	0.0	0.0	1135.0	0.0
["""col_486""" = 1]	[Target]	0.0	0.0	1090.0	0.0
["""col_385""" = 2]	[Target]	0.0	0.0	1143.0	0.0
["""col_1816""" = 3]	[Target]	0.0	0.0	1124.0	0.0
