Description	Target	Measure	E11	E10	E01
["""col_544""" = 4]	[Target]	0.0	0.0	1153.0	0.0
["""col_286""" = 3]	[Target]	0.0	0.0	1171.0	0.0
["""col_431""" = 4]	[Target]	0.0	0.0	1132.0	0.0
["""col_1714""" = 3]	[Target]	0.0	0.0	1092.0	0.0
["""col_942""" = 4]	[Target]	0.0	0.0	1177.0	0.0
["""col_414""" = 3]	[Target]	0.0	0.0	1108.0	0.0
["""col_464""" = 2], ["""col_1247""" = 2]	[Target]	0.0	0.0	238.0	0.0
["""col_464""" = 2]	[Target]	0.0	0.0	1118.0	0.0
["""col_731""" = 3]	[Target]	0.0	0.0	1122.0	0.0
["""col_1192""" = 2]	[Target]	0.0	0.0	1121.0	0.0
["""col_384""" = 2]	[Target]	0.0	0.0	1121.0	0.0
["""col_1877""" = 2]	[Target]	0.0	0.0	1193.0	0.0
["""col_21""" = 2]	[Target]	0.0	0.0	1110.0	0.0
["""col_1519""" = 4]	[Target]	0.0	0.0	1146.0	0.0
["""col_955""" = 2]	[Target]	0.0	0.0	1103.0	0.0
["""col_603""" = 4], ["""col_890""" = 2], ["""col_1245""" = 2], ["""col_1894""" = 0]	[Target]	0.0	0.0	10.0	0.0
["""col_1245""" = 2]	[Target]	0.0	0.0	1141.0	0.0
["""col_1148""" = 3]	[Target]	0.0	0.0	1132.0	0.0
["""col_124""" = 2], ["""col_811""" = 2], ["""col_1720""" = 1], ["""col_1738""" = 2]	[Target]	0.0	0.0	15.0	0.0
["""col_811""" = 2], ["""col_1720""" = 1], ["""col_1738""" = 2]	[Target]	0.0	0.0	49.0	0.0
["""col_1738""" = 2]	[Target]	0.0	0.0	1108.0	0.0
["""col_15""" = 0]	[Target]	0.0	0.0	1142.0	0.0
["""col_1404""" = 1], ["""col_1583""" = 1]	[Target]	0.0	0.0	210.0	0.0
["""col_1404""" = 1]	[Target]	0.0	0.0	1120.0	0.0
["""col_509""" = 2]	[Target]	0.0	0.0	1191.0	0.0
["""col_1937""" = 4]	[Target]	0.0	0.0	1153.0	0.0
["""col_1292""" = 4]	[Target]	0.0	0.0	1113.0	0.0
["""col_318""" = 3], ["""col_436""" = 1], ["""col_804""" = 4], ["""col_1801""" = 3]	[Target]	0.0	0.0	13.0	0.0
["""col_804""" = 4]	[Target]	0.0	0.0	1137.0	0.0
["""col_1793""" = 0]	[Target]	0.0	0.0	1109.0	0.0
["""col_1138""" = 3]	[Target]	0.0	0.0	1135.0	0.0
["""col_1235""" = 0]	[Target]	0.0	0.0	1121.0	0.0
["""col_1560""" = 1]	[Target]	0.0	0.0	1189.0	0.0
["""col_166""" = 0]	[Target]	0.0	0.0	1109.0	0.0
["""col_388""" = 0]	[Target]	0.0	0.0	1135.0	0.0
["""col_796""" = 0]	[Target]	0.0	0.0	1191.0	0.0
["""col_268""" = 2], ["""col_475""" = 4], ["""col_1335""" = 3]	[Target]	0.0	0.0	40.0	0.0
["""col_1335""" = 3]	[Target]	0.0	0.0	1101.0	0.0
["""col_1104""" = 2]	[Target]	0.0	0.0	1092.0	0.0
["""col_159""" = 1]	[Target]	0.0	0.0	1195.0	0.0
["""col_818""" = 3]	[Target]	0.0	0.0	1113.0	0.0
["""col_1191""" = 4], ["""col_1837""" = 3], ["""col_1906""" = 1]	[Target]	0.0	0.0	29.0	0.0
["""col_1837""" = 3]	[Target]	0.0	0.0	1086.0	0.0
["""col_215""" = 1], ["""col_1665""" = 2], ["""col_1701""" = 2], ["""col_1791""" = 3]	[Target]	0.0	0.0	14.0	0.0
["""col_1701""" = 2]	[Target]	0.0	0.0	1153.0	0.0
["""col_1795""" = 1]	[Target]	0.0	0.0	1082.0	0.0
["""col_535""" = 0], ["""col_896""" = 2]	[Target]	0.0	0.0	243.0	0.0
["""col_896""" = 2]	[Target]	0.0	0.0	1076.0	0.0
["""col_433""" = 1], ["""col_1288""" = 3], ["""col_1838""" = 4]	[Target]	0.0	0.0	49.0	0.0
["""col_1288""" = 3], ["""col_1838""" = 4]	[Target]	0.0	0.0	223.0	0.0
