Description	Target	Measure	E11	E10	E01
["""col_500""" = 2]	[Target]	0.0	0.0	1130.0	0.0
["""col_134""" = 2]	[Target]	0.0	0.0	1166.0	0.0
["""col_664""" = 0]	[Target]	0.0	0.0	1137.0	0.0
["""col_1615""" = 4], ["""col_1788""" = 1]	[Target]	0.0	0.0	224.0	0.0
["""col_1615""" = 4]	[Target]	0.0	0.0	1161.0	0.0
["""col_1395""" = 1]	[Target]	0.0	0.0	1116.0	0.0
["""col_402""" = 4], ["""col_1043""" = 0]	[Target]	0.0	0.0	245.0	0.0
["""col_402""" = 4]	[Target]	0.0	0.0	1172.0	0.0
["""col_74""" = 4]	[Target]	0.0	0.0	1061.0	0.0
["""col_1481""" = 4]	[Target]	0.0	0.0	1110.0	0.0
["""col_1172""" = 2], ["""col_1372""" = 3]	[Target]	0.0	0.0	223.0	0.0
["""col_1172""" = 2]	[Target]	0.0	0.0	1119.0	0.0
["""col_178""" = 3]	[Target]	0.0	0.0	1107.0	0.0
["""col_624""" = 2], ["""col_1076""" = 4], ["""col_1823""" = 3]	[Target]	0.0	0.0	36.0	0.0
["""col_1076""" = 4]	[Target]	0.0	0.0	1097.0	0.0
["""col_1550""" = 0]	[Target]	0.0	0.0	1124.0	0.0
["""col_1103""" = 2]	[Target]	0.0	0.0	1196.0	0.0
["""col_371""" = 1]	[Target]	0.0	0.0	1125.0	0.0
["""col_219""" = 0]	[Target]	0.0	0.0	1052.0	0.0
["""col_1878""" = 0]	[Target]	0.0	0.0	1046.0	0.0
["""col_548""" = 0]	[Target]	0.0	0.0	1139.0	0.0
["""col_512""" = 0]	[Target]	0.0	0.0	1062.0	0.0
["""col_292""" = 3], ["""col_385""" = 2]	[Target]	0.0	0.0	222.0	0.0
["""col_385""" = 2]	[Target]	0.0	0.0	1143.0	0.0
["""col_857""" = 4]	[Target]	0.0	0.0	1124.0	0.0
["""col_99""" = 2]	[Target]	0.0	0.0	1051.0	0.0
["""col_532""" = 4]	[Target]	0.0	0.0	1127.0	0.0
["""Attribute 3""" = 0], ["""col_295""" = 4], ["""col_1542""" = 2], ["""col_1715""" = 1]	[Target]	0.0	0.0	35.0	0.0
["""col_295""" = 4]	[Target]	0.0	0.0	1109.0	0.0
["""col_1700""" = 2]	[Target]	0.0	0.0	1108.0	0.0
["""col_1081""" = 2]	[Target]	0.0	0.0	1124.0	0.0
["""col_765""" = 4], ["""col_965""" = 2], ["""col_1448""" = 1]	[Target]	0.0	0.0	47.0	0.0
["""col_965""" = 2]	[Target]	0.0	0.0	1127.0	0.0
["""col_375""" = 1], ["""col_1157""" = 1], ["""col_1618""" = 0]	[Target]	0.0	0.0	43.0	0.0
["""col_375""" = 1]	[Target]	0.0	0.0	1121.0	0.0
["""col_788""" = 0], ["""col_840""" = 1]	[Target]	0.0	0.0	199.0	0.0
["""col_788""" = 0]	[Target]	0.0	0.0	1104.0	0.0
["""col_44""" = 3], ["""col_100""" = 3], ["""col_906""" = 3], ["""col_1055""" = 4]	[Target]	0.0	0.0	13.0	0.0
["""col_906""" = 3]	[Target]	0.0	0.0	1096.0	0.0
["""col_403""" = 2], ["""col_1062""" = 1]	[Target]	0.0	0.0	233.0	0.0
["""col_1062""" = 1]	[Target]	0.0	0.0	1109.0	0.0
["""col_1548""" = 3]	[Target]	0.0	0.0	1127.0	0.0
["""col_1684""" = 0]	[Target]	0.0	0.0	1107.0	0.0
["""col_981""" = 3]	[Target]	0.0	0.0	1115.0	0.0
["""col_605""" = 1]	[Target]	0.0	0.0	1117.0	0.0
["""col_847""" = 2]	[Target]	0.0	0.0	1133.0	0.0
["""col_171""" = 4], ["""col_523""" = 3], ["""col_553""" = 4], ["""col_1105""" = 1]	[Target]	0.0	0.0	16.0	0.0
["""col_523""" = 3]	[Target]	0.0	0.0	1118.0	0.0
["""col_1192""" = 4]	[Target]	0.0	0.0	1125.0	0.0
["""col_1069""" = 3]	[Target]	0.0	0.0	1174.0	0.0
