Description	Target	Measure	E11	E10	E01
["""col_1407""" = 3]	[Target]	0.0	0.0	1103.0	0.0
["""col_209""" = 0]	[Target]	0.0	0.0	1069.0	0.0
["""col_771""" = 4], ["""col_1465""" = 0], ["""col_1697""" = 4]	[Target]	0.0	0.0	48.0	0.0
["""col_771""" = 4]	[Target]	0.0	0.0	1155.0	0.0
["""col_207""" = 2]	[Target]	0.0	0.0	1091.0	0.0
["""col_732""" = 3]	[Target]	0.0	0.0	1120.0	0.0
["""col_350""" = 3]	[Target]	0.0	0.0	1102.0	0.0
["""col_1611""" = 3]	[Target]	0.0	0.0	1113.0	0.0
["""col_321""" = 1]	[Target]	0.0	0.0	1135.0	0.0
["""col_1598""" = 0]	[Target]	0.0	0.0	1156.0	0.0
["""col_939""" = 3]	[Target]	0.0	0.0	1083.0	0.0
["""col_1053""" = 2]	[Target]	0.0	0.0	1155.0	0.0
["""col_658""" = 4], ["""col_732""" = 0], ["""col_1471""" = 3]	[Target]	0.0	0.0	40.0	0.0
["""col_732""" = 0]	[Target]	0.0	0.0	1170.0	0.0
["""col_1320""" = 0]	[Target]	0.0	0.0	1168.0	0.0
["""col_1544""" = 3], ["""col_1692""" = 1]	[Target]	0.0	0.0	208.0	0.0
["""col_1544""" = 3]	[Target]	0.0	0.0	1124.0	0.0
["""col_1143""" = 0]	[Target]	0.0	0.0	1188.0	0.0
["""col_1942""" = 4]	[Target]	0.0	0.0	1109.0	0.0
["""col_403""" = 2], ["""col_1056""" = 0], ["""col_1379""" = 4], ["""col_1642""" = 2]	[Target]	0.0	0.0	10.0	0.0
["""col_1056""" = 0]	[Target]	0.0	0.0	1147.0	0.0
["""col_1973""" = 0]	[Target]	0.0	0.0	1093.0	0.0
["""col_1387""" = 1]	[Target]	0.0	0.0	1134.0	0.0
["""col_187""" = 0], ["""col_236""" = 1], ["""col_1105""" = 1], ["""col_1133""" = 4]	[Target]	0.0	0.0	11.0	0.0
["""col_236""" = 1]	[Target]	0.0	0.0	1135.0	0.0
["""col_499""" = 4]	[Target]	0.0	0.0	1075.0	0.0
["""col_1671""" = 1]	[Target]	0.0	0.0	1082.0	0.0
["""col_1577""" = 1]	[Target]	0.0	0.0	1137.0	0.0
["""col_1909""" = 1]	[Target]	0.0	0.0	1129.0	0.0
["""Attribute 5""" = 0], ["""col_1273""" = 1], ["""col_1628""" = 0], ["""col_1700""" = 1]	[Target]	0.0	0.0	31.0	0.0
["""Attribute 5""" = 0], ["""col_1628""" = 0], ["""col_1700""" = 1]	[Target]	0.0	0.0	159.0	0.0
["""col_1628""" = 0]	[Target]	0.0	0.0	1122.0	0.0
["""col_1720""" = 0]	[Target]	0.0	0.0	1130.0	0.0
["""col_48""" = 0], ["""col_1221""" = 1], ["""col_1889""" = 4]	[Target]	0.0	0.0	51.0	0.0
["""col_1889""" = 4]	[Target]	0.0	0.0	1096.0	0.0
["""col_1125""" = 4]	[Target]	0.0	0.0	1128.0	0.0
["""col_456""" = 3]	[Target]	0.0	0.0	1144.0	0.0
["""col_946""" = 1]	[Target]	0.0	0.0	1166.0	0.0
["""col_77""" = 2]	[Target]	0.0	0.0	1102.0	0.0
["""col_459""" = 4], ["""col_1554""" = 2], ["""col_1966""" = 4]	[Target]	0.0	0.0	54.0	0.0
["""col_459""" = 4]	[Target]	0.0	0.0	1130.0	0.0
["""col_1135""" = 3], ["""col_1775""" = 4], ["""col_1817""" = 1]	[Target]	0.0	0.0	50.0	0.0
["""col_1135""" = 3]	[Target]	0.0	0.0	1132.0	0.0
["""col_1102""" = 1]	[Target]	0.0	0.0	1105.0	0.0
["""col_584""" = 0], ["""col_1084""" = 3], ["""col_1290""" = 1]	[Target]	0.0	0.0	57.0	0.0
["""col_1084""" = 3]	[Target]	0.0	0.0	1111.0	0.0
["""col_833""" = 2], ["""col_887""" = 4], ["""col_944""" = 3], ["""col_1050""" = 1]	[Target]	0.0	0.0	17.0	0.0
["""col_1050""" = 1]	[Target]	0.0	0.0	1138.0	0.0
["""col_354""" = 1]	[Target]	0.0	0.0	1126.0	0.0
["""col_111""" = 1]	[Target]	0.0	0.0	1123.0	0.0
