Description	Target	Measure	E11	E10	E01
["""col_846""" = 4]	[Target]	0.0	0.0	1094.0	0.0
["""col_508""" = 0]	[Target]	0.0	0.0	1170.0	0.0
["""col_456""" = 3]	[Target]	0.0	0.0	1144.0	0.0
["""col_579""" = 2]	[Target]	0.0	0.0	1053.0	0.0
["""col_72""" = 2], ["""col_1663""" = 0], ["""col_1777""" = 0]	[Target]	0.0	0.0	40.0	0.0
["""col_1663""" = 0], ["""col_1777""" = 0]	[Target]	0.0	0.0	203.0	0.0
["""col_1777""" = 0]	[Target]	0.0	0.0	1133.0	0.0
["""col_1080""" = 2]	[Target]	0.0	0.0	1077.0	0.0
["""col_990""" = 3]	[Target]	0.0	0.0	1179.0	0.0
["""col_428""" = 4]	[Target]	0.0	0.0	1142.0	0.0
["""col_1832""" = 3]	[Target]	0.0	0.0	1151.0	0.0
["""col_1413""" = 0]	[Target]	0.0	0.0	1168.0	0.0
["""col_115""" = 2]	[Target]	0.0	0.0	1101.0	0.0
["""col_924""" = 4]	[Target]	0.0	0.0	1121.0	0.0
["""col_547""" = 3]	[Target]	0.0	0.0	1083.0	0.0
["""col_67""" = 1]	[Target]	0.0	0.0	1111.0	0.0
["""col_866""" = 0], ["""col_1475""" = 4]	[Target]	0.0	0.0	224.0	0.0
["""col_866""" = 0]	[Target]	0.0	0.0	1137.0	0.0
["""col_1661""" = 3]	[Target]	0.0	0.0	1137.0	0.0
["""col_1464""" = 1]	[Target]	0.0	0.0	1135.0	0.0
["""col_411""" = 4], ["""col_600""" = 4], ["""col_1496""" = 1]	[Target]	0.0	0.0	59.0	0.0
["""col_1496""" = 1]	[Target]	0.0	0.0	1092.0	0.0
["""col_574""" = 1]	[Target]	0.0	0.0	1146.0	0.0
["""col_1243""" = 2]	[Target]	0.0	0.0	1133.0	0.0
["""col_1343""" = 0]	[Target]	0.0	0.0	1106.0	0.0
["""col_301""" = 2]	[Target]	0.0	0.0	1084.0	0.0
["""col_671""" = 2]	[Target]	0.0	0.0	1100.0	0.0
["""col_860""" = 0]	[Target]	0.0	0.0	1107.0	0.0
["""col_1914""" = 3]	[Target]	0.0	0.0	1110.0	0.0
["""col_178""" = 4]	[Target]	0.0	0.0	1159.0	0.0
["""col_1004""" = 0]	[Target]	0.0	0.0	1091.0	0.0
["""col_1602""" = 3]	[Target]	0.0	0.0	1149.0	0.0
["""col_719""" = 4], ["""col_1873""" = 2]	[Target]	0.0	0.0	223.0	0.0
["""col_1873""" = 2]	[Target]	0.0	0.0	1145.0	0.0
["""col_156""" = 0]	[Target]	0.0	0.0	1099.0	0.0
["""col_1183""" = 4]	[Target]	0.0	0.0	1161.0	0.0
["""col_531""" = 4]	[Target]	0.0	0.0	1090.0	0.0
["""col_545""" = 3], ["""col_1541""" = 4], ["""col_1803""" = 2], ["""col_1805""" = 4]	[Target]	0.0	0.0	10.0	0.0
["""col_1805""" = 4]	[Target]	0.0	0.0	1104.0	0.0
["""col_608""" = 2], ["""col_758""" = 0], ["""col_1033""" = 3], ["""col_1440""" = 1]	[Target]	0.0	0.0	10.0	0.0
["""col_1440""" = 1]	[Target]	0.0	0.0	1113.0	0.0
["""col_1536""" = 4]	[Target]	0.0	0.0	1123.0	0.0
["""col_1509""" = 0]	[Target]	0.0	0.0	1103.0	0.0
["""col_589""" = 0]	[Target]	0.0	0.0	1144.0	0.0
["""col_48""" = 0], ["""col_762""" = 2], ["""col_1422""" = 2], ["""col_1654""" = 1]	[Target]	0.0	0.0	14.0	0.0
["""col_1654""" = 1]	[Target]	0.0	0.0	1085.0	0.0
["""col_1516""" = 4]	[Target]	0.0	0.0	1083.0	0.0
["""col_9""" = 1], ["""col_1591""" = 3], ["""col_1971""" = 3]	[Target]	0.0	0.0	45.0	0.0
["""col_9""" = 1]	[Target]	0.0	0.0	1117.0	0.0
["""col_1538""" = 2]	[Target]	0.0	0.0	1125.0	0.0
