Description	Target	Measure	E11	E10	E01
["""col_1726""" = 0]	[Target]	0.0	0.0	1077.0	0.0
["""col_470""" = 2], ["""col_1181""" = 0]	[Target]	0.0	0.0	200.0	0.0
["""col_836""" = 2], ["""col_1667""" = 2]	[Target]	0.0	0.0	236.0	0.0
["""col_797""" = 0], ["""col_1119""" = 1]	[Target]	0.0	0.0	223.0	0.0
["""col_762""" = 2], ["""col_1449""" = 0]	[Target]	0.0	0.0	233.0	0.0
["""col_1551""" = 0], ["""col_1576""" = 3]	[Target]	0.0	0.0	230.0	0.0
["""col_645""" = 4], ["""col_1945""" = 2]	[Target]	0.0	0.0	232.0	0.0
["""col_213""" = 0], ["""col_310""" = 1], ["""col_1322""" = 1]	[Target]	0.0	0.0	48.0	0.0
["""col_1530""" = 4], ["""col_1621""" = 0]	[Target]	0.0	0.0	233.0	0.0
["""col_501""" = 2], ["""col_1223""" = 2]	[Target]	0.0	0.0	228.0	0.0
["""col_247""" = 0], ["""col_754""" = 2]	[Target]	0.0	0.0	238.0	0.0
["""col_902""" = 4], ["""col_1520""" = 0]	[Target]	0.0	0.0	188.0	0.0
["""col_558""" = 4], ["""col_560""" = 1]	[Target]	0.0	0.0	245.0	0.0
["""col_743""" = 2], ["""col_990""" = 2]	[Target]	0.0	0.0	225.0	0.0
["""col_100""" = 2], ["""col_1706""" = 4]	[Target]	0.0	0.0	240.0	0.0
["""col_893""" = 2], ["""col_1773""" = 2]	[Target]	0.0	0.0	245.0	0.0
["""col_453""" = 4], ["""col_535""" = 0]	[Target]	0.0	0.0	230.0	0.0
["""col_105""" = 0], ["""col_579""" = 4]	[Target]	0.0	0.0	237.0	0.0
["""col_738""" = 0], ["""col_892""" = 0]	[Target]	0.0	0.0	218.0	0.0
["""col_545""" = 0], ["""col_819""" = 4]	[Target]	0.0	0.0	216.0	0.0
["""col_457""" = 3], ["""col_996""" = 2]	[Target]	0.0	0.0	210.0	0.0
["""col_241""" = 0], ["""col_851""" = 3]	[Target]	0.0	0.0	207.0	0.0
["""col_331""" = 3], ["""col_1953""" = 3]	[Target]	0.0	0.0	203.0	0.0
["""col_258""" = 0], ["""col_597""" = 3]	[Target]	0.0	0.0	224.0	0.0
["""col_412""" = 3], ["""col_597""" = 4]	[Target]	0.0	0.0	241.0	0.0
["""col_631""" = 0], ["""col_1645""" = 0]	[Target]	0.0	0.0	267.0	0.0
["""col_159""" = 3], ["""col_1109""" = 0]	[Target]	0.0	0.0	233.0	0.0
["""col_1829""" = 2], ["""col_1911""" = 4]	[Target]	0.0	0.0	261.0	0.0
["""col_579""" = 2], ["""col_890""" = 4]	[Target]	0.0	0.0	210.0	0.0
["""col_244""" = 0], ["""col_709""" = 1], ["""col_745""" = 3], ["""col_1743""" = 2]	[Target]	0.0	0.0	13.0	0.0
["""col_594""" = 4], ["""col_1943""" = 4]	[Target]	0.0	0.0	244.0	0.0
["""col_211""" = 0], ["""col_667""" = 0]	[Target]	0.0	0.0	228.0	0.0
["""col_1043""" = 1], ["""col_1278""" = 0]	[Target]	0.0	0.0	209.0	0.0
["""col_199""" = 0], ["""col_1888""" = 2]	[Target]	0.0	0.0	237.0	0.0
["""col_114""" = 2], ["""col_306""" = 0]	[Target]	0.0	0.0	235.0	0.0
["""col_338""" = 1], ["""col_1803""" = 0]	[Target]	0.0	0.0	203.0	0.0
["""col_23""" = 0], ["""col_695""" = 1]	[Target]	0.0	0.0	216.0	0.0
["""col_927""" = 4], ["""col_1521""" = 2]	[Target]	0.0	0.0	215.0	0.0
["""col_608""" = 4], ["""col_1700""" = 1]	[Target]	0.0	0.0	231.0	0.0
["""col_28""" = 1], ["""col_919""" = 4]	[Target]	0.0	0.0	213.0	0.0
["""col_743""" = 0], ["""col_1395""" = 0]	[Target]	0.0	0.0	203.0	0.0
["""col_881""" = 0], ["""col_1082""" = 1]	[Target]	0.0	0.0	240.0	0.0
["""col_1016""" = 3], ["""col_1266""" = 3]	[Target]	0.0	0.0	218.0	0.0
["""col_178""" = 3], ["""col_1154""" = 4]	[Target]	0.0	0.0	225.0	0.0
["""col_1410""" = 4], ["""col_1945""" = 1]	[Target]	0.0	0.0	247.0	0.0
["""col_543""" = 3], ["""col_801""" = 1]	[Target]	0.0	0.0	211.0	0.0
["""col_389""" = 4], ["""col_399""" = 4]	[Target]	0.0	0.0	206.0	0.0
["""col_94""" = 4], ["""col_1714""" = 0]	[Target]	0.0	0.0	238.0	0.0
["""col_218""" = 3], ["""col_1395""" = 1]	[Target]	0.0	0.0	243.0	0.0
["""col_1212""" = 1], ["""col_1688""" = 4]	[Target]	0.0	0.0	221.0	0.0
