Description	Target	Measure	E11	E10	E01
["""col_1011""" = 0]	[Target]	0.0	0.0	1136.0	0.0
["""col_846""" = 4], ["""col_1484""" = 4], ["""col_1825""" = 0]	[Target]	0.0	0.0	46.0	0.0
["""col_699""" = 1]	[Target]	0.0	0.0	1110.0	0.0
["""col_1366""" = 2]	[Target]	0.0	0.0	1112.0	0.0
["""col_924""" = 2]	[Target]	0.0	0.0	1160.0	0.0
["""col_835""" = 1]	[Target]	0.0	0.0	1124.0	0.0
["""col_309""" = 2]	[Target]	0.0	0.0	1152.0	0.0
["""col_1101""" = 3]	[Target]	0.0	0.0	1178.0	0.0
["""col_1403""" = 4]	[Target]	0.0	0.0	1140.0	0.0
["""col_9""" = 1], ["""col_108""" = 1], ["""col_874""" = 4], ["""col_1532""" = 2]	[Target]	0.0	0.0	10.0	0.0
["""col_1847""" = 4]	[Target]	0.0	0.0	1069.0	0.0
["""col_1879""" = 1]	[Target]	0.0	0.0	1090.0	0.0
["""col_533""" = 0], ["""col_792""" = 0], ["""col_1407""" = 3]	[Target]	0.0	0.0	46.0	0.0
["""col_144""" = 3]	[Target]	0.0	0.0	1105.0	0.0
["""col_320""" = 4]	[Target]	0.0	0.0	1131.0	0.0
["""col_1893""" = 0]	[Target]	0.0	0.0	1115.0	0.0
["""col_754""" = 0], ["""col_897""" = 4], ["""col_962""" = 2]	[Target]	0.0	0.0	50.0	0.0
["""col_882""" = 1]	[Target]	0.0	0.0	1097.0	0.0
["""col_1568""" = 2]	[Target]	0.0	0.0	1109.0	0.0
["""col_1823""" = 3]	[Target]	0.0	0.0	1073.0	0.0
["""col_212""" = 4]	[Target]	0.0	0.0	1134.0	0.0
["""col_1096""" = 2], ["""col_1573""" = 0], ["""col_1578""" = 3]	[Target]	0.0	0.0	42.0	0.0
["""col_281""" = 2]	[Target]	0.0	0.0	1135.0	0.0
["""col_170""" = 4], ["""col_390""" = 3], ["""col_776""" = 3]	[Target]	0.0	0.0	48.0	0.0
["""col_1512""" = 3]	[Target]	0.0	0.0	1088.0	0.0
["""col_594""" = 3], ["""col_798""" = 0]	[Target]	0.0	0.0	229.0	0.0
["""col_1740""" = 4]	[Target]	0.0	0.0	1108.0	0.0
["""col_1038""" = 4]	[Target]	0.0	0.0	1116.0	0.0
["""col_129""" = 1], ["""col_378""" = 4], ["""col_1425""" = 4]	[Target]	0.0	0.0	46.0	0.0
["""col_1304""" = 4]	[Target]	0.0	0.0	1103.0	0.0
["""col_371""" = 1], ["""col_1478""" = 0]	[Target]	0.0	0.0	236.0	0.0
["""col_295""" = 1], ["""col_326""" = 3], ["""col_1032""" = 2], ["""col_1825""" = 3]	[Target]	0.0	0.0	11.0	0.0
["""col_823""" = 1]	[Target]	0.0	0.0	1081.0	0.0
["""col_1747""" = 4]	[Target]	0.0	0.0	1091.0	0.0
["""col_1065""" = 0]	[Target]	0.0	0.0	1181.0	0.0
["""col_870""" = 2]	[Target]	0.0	0.0	1099.0	0.0
["""col_1781""" = 0]	[Target]	0.0	0.0	1109.0	0.0
["""col_1540""" = 2]	[Target]	0.0	0.0	1114.0	0.0
["""col_1456""" = 2]	[Target]	0.0	0.0	1080.0	0.0
["""col_1454""" = 1]	[Target]	0.0	0.0	1131.0	0.0
["""col_1668""" = 0]	[Target]	0.0	0.0	1106.0	0.0
["""col_427""" = 2], ["""col_1325""" = 1], ["""col_1814""" = 4]	[Target]	0.0	0.0	50.0	0.0
["""col_406""" = 1]	[Target]	0.0	0.0	1100.0	0.0
["""col_1691""" = 0]	[Target]	0.0	0.0	1118.0	0.0
["""col_526""" = 2]	[Target]	0.0	0.0	1167.0	0.0
["""col_1260""" = 1]	[Target]	0.0	0.0	1084.0	0.0
["""col_600""" = 2], ["""col_1440""" = 3]	[Target]	0.0	0.0	236.0	0.0
["""col_40""" = 1]	[Target]	0.0	0.0	1151.0	0.0
["""col_881""" = 3]	[Target]	0.0	0.0	1112.0	0.0
["""col_743""" = 4]	[Target]	0.0	0.0	1145.0	0.0
