Description	Target	Measure	E11	E10	E01
["""col_1344""" = 0]	[Target]	0.0	0.0	1172.0	0.0
["""col_527""" = 1]	[Target]	0.0	0.0	1124.0	0.0
["""col_407""" = 2]	[Target]	0.0	0.0	1114.0	0.0
["""col_77""" = 3]	[Target]	0.0	0.0	1109.0	0.0
["""col_343""" = 4], ["""col_685""" = 2]	[Target]	0.0	0.0	211.0	0.0
["""col_151""" = 1]	[Target]	0.0	0.0	1146.0	0.0
["""col_1943""" = 2]	[Target]	0.0	0.0	1122.0	0.0
["""col_1080""" = 0]	[Target]	0.0	0.0	1149.0	0.0
["""col_1875""" = 4]	[Target]	0.0	0.0	1104.0	0.0
["""col_593""" = 2]	[Target]	0.0	0.0	1131.0	0.0
["""col_304""" = 0]	[Target]	0.0	0.0	1072.0	0.0
["""col_1733""" = 4]	[Target]	0.0	0.0	1116.0	0.0
["""col_1502""" = 3]	[Target]	0.0	0.0	1098.0	0.0
["""col_287""" = 4], ["""col_913""" = 2]	[Target]	0.0	0.0	230.0	0.0
["""col_1114""" = 2]	[Target]	0.0	0.0	1113.0	0.0
["""col_216""" = 2], ["""col_1787""" = 0]	[Target]	0.0	0.0	227.0	0.0
["""col_1192""" = 0]	[Target]	0.0	0.0	1085.0	0.0
["""col_1667""" = 3]	[Target]	0.0	0.0	1114.0	0.0
["""col_59""" = 0]	[Target]	0.0	0.0	1100.0	0.0
["""col_208""" = 3], ["""col_363""" = 0], ["""col_1973""" = 3]	[Target]	0.0	0.0	40.0	0.0
["""col_763""" = 4]	[Target]	0.0	0.0	1116.0	0.0
["""col_1052""" = 0]	[Target]	0.0	0.0	1123.0	0.0
["""col_1289""" = 1], ["""col_1732""" = 2]	[Target]	0.0	0.0	230.0	0.0
["""col_1108""" = 4]	[Target]	0.0	0.0	1089.0	0.0
["""col_941""" = 4]	[Target]	0.0	0.0	1122.0	0.0
["""col_157""" = 0]	[Target]	0.0	0.0	1101.0	0.0
["""col_1929""" = 2]	[Target]	0.0	0.0	1123.0	0.0
["""col_892""" = 2]	[Target]	0.0	0.0	1121.0	0.0
["""col_423""" = 1], ["""col_1034""" = 4], ["""col_1466""" = 0], ["""col_1653""" = 1]	[Target]	0.0	0.0	14.0	0.0
["""col_279""" = 0]	[Target]	0.0	0.0	1095.0	0.0
["""col_726""" = 1], ["""col_818""" = 0], ["""col_1877""" = 4]	[Target]	0.0	0.0	49.0	0.0
["""col_1357""" = 2]	[Target]	0.0	0.0	1166.0	0.0
["""col_1416""" = 3]	[Target]	0.0	0.0	1152.0	0.0
["""col_1212""" = 3], ["""col_1553""" = 0]	[Target]	0.0	0.0	221.0	0.0
["""col_334""" = 3]	[Target]	0.0	0.0	1150.0	0.0
["""col_384""" = 1]	[Target]	0.0	0.0	1097.0	0.0
["""col_432""" = 2]	[Target]	0.0	0.0	1115.0	0.0
["""col_1401""" = 0]	[Target]	0.0	0.0	1140.0	0.0
["""col_1034""" = 1]	[Target]	0.0	0.0	1103.0	0.0
["""col_1829""" = 2]	[Target]	0.0	0.0	1159.0	0.0
["""col_1586""" = 0], ["""col_1672""" = 4]	[Target]	0.0	0.0	235.0	0.0
["""col_1451""" = 3]	[Target]	0.0	0.0	1171.0	0.0
["""col_1459""" = 3]	[Target]	0.0	0.0	1158.0	0.0
["""col_629""" = 0]	[Target]	0.0	0.0	1124.0	0.0
["""col_942""" = 0], ["""col_1551""" = 4], ["""col_1834""" = 4]	[Target]	0.0	0.0	37.0	0.0
["""col_29""" = 4], ["""col_104""" = 3], ["""col_1350""" = 1]	[Target]	0.0	0.0	33.0	0.0
["""col_445""" = 2], ["""col_585""" = 2], ["""col_930""" = 4], ["""col_1766""" = 3]	[Target]	0.0	0.0	10.0	0.0
["""col_1842""" = 4]	[Target]	0.0	0.0	1130.0	0.0
["""col_1709""" = 2]	[Target]	0.0	0.0	1138.0	0.0
["""col_932""" = 2]	[Target]	0.0	0.0	1095.0	0.0
