Description	Target	Measure	E11	E10	E01
["""col_1063""" = 1]	[Target]	0.0	0.0	1093.0	0.0
["""col_1476""" = 3]	[Target]	0.0	0.0	1129.0	0.0
["""col_1466""" = 2]	[Target]	0.0	0.0	1121.0	0.0
["""col_1220""" = 0], ["""col_1359""" = 0], ["""col_1366""" = 1]	[Target]	0.0	0.0	51.0	0.0
["""col_997""" = 3]	[Target]	0.0	0.0	1139.0	0.0
["""Attribute 5""" = 0], ["""col_608""" = 3], ["""col_1739""" = 4], ["""col_1745""" = 3]	[Target]	0.0	0.0	43.0	0.0
["""col_445""" = 0]	[Target]	0.0	0.0	1085.0	0.0
["""col_1764""" = 0]	[Target]	0.0	0.0	1132.0	0.0
["""col_699""" = 0]	[Target]	0.0	0.0	1170.0	0.0
["""col_464""" = 0]	[Target]	0.0	0.0	1143.0	0.0
["""col_451""" = 1]	[Target]	0.0	0.0	1119.0	0.0
["""col_1816""" = 4]	[Target]	0.0	0.0	1094.0	0.0
["""col_1604""" = 1]	[Target]	0.0	0.0	1137.0	0.0
["""col_824""" = 3]	[Target]	0.0	0.0	1137.0	0.0
["""col_920""" = 0]	[Target]	0.0	0.0	1152.0	0.0
["""col_1434""" = 2]	[Target]	0.0	0.0	1137.0	0.0
["""col_797""" = 3], ["""col_1031""" = 4], ["""col_1086""" = 3]	[Target]	0.0	0.0	41.0	0.0
["""col_1191""" = 3]	[Target]	0.0	0.0	1126.0	0.0
["""col_143""" = 0], ["""col_1755""" = 4], ["""col_1973""" = 3]	[Target]	0.0	0.0	45.0	0.0
["""col_952""" = 0], ["""col_1420""" = 2]	[Target]	0.0	0.0	240.0	0.0
["""col_801""" = 0]	[Target]	0.0	0.0	1130.0	0.0
["""col_1302""" = 4]	[Target]	0.0	0.0	1079.0	0.0
["""col_1749""" = 1]	[Target]	0.0	0.0	1109.0	0.0
["""col_1501""" = 3]	[Target]	0.0	0.0	1133.0	0.0
["""col_26""" = 4]	[Target]	0.0	0.0	1109.0	0.0
["""col_1262""" = 2]	[Target]	0.0	0.0	1093.0	0.0
["""col_1235""" = 0]	[Target]	0.0	0.0	1121.0	0.0
["""col_547""" = 4]	[Target]	0.0	0.0	1091.0	0.0
["""col_376""" = 0]	[Target]	0.0	0.0	1128.0	0.0
["""col_1479""" = 4]	[Target]	0.0	0.0	1131.0	0.0
["""col_738""" = 4]	[Target]	0.0	0.0	1151.0	0.0
["""col_67""" = 4], ["""col_1486""" = 1], ["""col_1843""" = 4]	[Target]	0.0	0.0	46.0	0.0
["""col_1688""" = 1]	[Target]	0.0	0.0	1136.0	0.0
["""col_926""" = 0]	[Target]	0.0	0.0	1158.0	0.0
["""col_29""" = 0]	[Target]	0.0	0.0	1112.0	0.0
["""col_478""" = 2]	[Target]	0.0	0.0	1100.0	0.0
["""col_1942""" = 1]	[Target]	0.0	0.0	1085.0	0.0
["""col_1141""" = 4]	[Target]	0.0	0.0	1090.0	0.0
["""col_895""" = 2]	[Target]	0.0	0.0	1134.0	0.0
["""col_168""" = 4]	[Target]	0.0	0.0	1165.0	0.0
["""col_715""" = 0]	[Target]	0.0	0.0	1118.0	0.0
["""col_253""" = 4]	[Target]	0.0	0.0	1125.0	0.0
["""col_905""" = 4]	[Target]	0.0	0.0	1091.0	0.0
["""col_1260""" = 4]	[Target]	0.0	0.0	1142.0	0.0
["""col_523""" = 0], ["""col_1749""" = 2], ["""col_1963""" = 2]	[Target]	0.0	0.0	41.0	0.0
["""col_1560""" = 4]	[Target]	0.0	0.0	1093.0	0.0
["""col_1054""" = 4]	[Target]	0.0	0.0	1135.0	0.0
["""col_1847""" = 2]	[Target]	0.0	0.0	1102.0	0.0
["""Attribute 4""" = 0], ["""col_467""" = 0], ["""col_879""" = 3], ["""col_1387""" = 4]	[Target]	0.0	0.0	26.0	0.0
["""col_430""" = 1], ["""col_1629""" = 2], ["""col_1705""" = 3]	[Target]	0.0	0.0	49.0	0.0
