Description	Target	Measure	E11	E10	E01
["""col_1573""" = 4]	[Target]	0.0	0.0	1435.0	0.0
["""col_314""" = 0], ["""col_1405""" = 4]	[Target]	0.0	0.0	274.0	0.0
["""col_329""" = 3], ["""col_1869""" = 3]	[Target]	0.0	0.0	279.0	0.0
["""col_1338""" = 2], ["""col_1614""" = 3]	[Target]	0.0	0.0	246.0	0.0
["""col_1512""" = 1], ["""col_1677""" = 0], ["""col_1849""" = 3]	[Target]	0.0	0.0	46.0	0.0
["""col_1512""" = 1], ["""col_1849""" = 3]	[Target]	0.0	0.0	259.0	0.0
["""col_438""" = 3], ["""col_1825""" = 2]	[Target]	0.0	0.0	262.0	0.0
["""col_774""" = 4], ["""col_1723""" = 2]	[Target]	0.0	0.0	238.0	0.0
["""col_245""" = 3], ["""col_327""" = 1]	[Target]	0.0	0.0	300.0	0.0
["""col_1100""" = 0], ["""col_1967""" = 1]	[Target]	0.0	0.0	272.0	0.0
["""col_48""" = 4], ["""col_53""" = 0]	[Target]	0.0	0.0	293.0	0.0
["""col_371""" = 3], ["""col_1159""" = 2]	[Target]	0.0	0.0	257.0	0.0
["""col_325""" = 2], ["""col_1248""" = 4]	[Target]	0.0	0.0	290.0	0.0
["""col_1177""" = 1], ["""col_1332""" = 1]	[Target]	0.0	0.0	293.0	0.0
["""col_58""" = 3], ["""col_860""" = 2]	[Target]	0.0	0.0	312.0	0.0
["""col_274""" = 0], ["""col_916""" = 3], ["""col_1916""" = 4]	[Target]	0.0	0.0	58.0	0.0
["""col_274""" = 0], ["""col_916""" = 3]	[Target]	0.0	0.0	286.0	0.0
["""col_140""" = 1], ["""col_1639""" = 2]	[Target]	0.0	0.0	254.0	0.0
["""col_280""" = 0], ["""col_1728""" = 4]	[Target]	0.0	0.0	275.0	0.0
["""col_210""" = 0], ["""col_319""" = 2]	[Target]	0.0	0.0	287.0	0.0
["""col_162""" = 1], ["""col_1833""" = 2]	[Target]	0.0	0.0	305.0	0.0
["""col_1052""" = 0], ["""col_1887""" = 4]	[Target]	0.0	0.0	294.0	0.0
["""col_594""" = 4], ["""col_689""" = 0], ["""col_725""" = 2], ["""col_1273""" = 3]	[Target]	0.0	0.0	16.0	0.0
["""col_725""" = 2], ["""col_1273""" = 3]	[Target]	0.0	0.0	263.0	0.0
["""col_1206""" = 2], ["""col_1947""" = 3]	[Target]	0.0	0.0	265.0	0.0
["""col_83""" = 3], ["""col_1622""" = 4]	[Target]	0.0	0.0	283.0	0.0
["""col_43""" = 3], ["""col_61""" = 1]	[Target]	0.0	0.0	272.0	0.0
["""col_363""" = 1], ["""col_1977""" = 1]	[Target]	0.0	0.0	275.0	0.0
["""col_448""" = 0], ["""col_461""" = 0], ["""col_813""" = 4]	[Target]	0.0	0.0	52.0	0.0
["""col_448""" = 0], ["""col_461""" = 0]	[Target]	0.0	0.0	270.0	0.0
["""col_77""" = 3], ["""col_1942""" = 1]	[Target]	0.0	0.0	295.0	0.0
["""col_256""" = 4], ["""col_1935""" = 0]	[Target]	0.0	0.0	279.0	0.0
["""col_575""" = 4], ["""col_1456""" = 0]	[Target]	0.0	0.0	263.0	0.0
["""col_1""" = 3], ["""col_608""" = 1]	[Target]	0.0	0.0	307.0	0.0
["""col_441""" = 2], ["""col_1403""" = 2]	[Target]	0.0	0.0	292.0	0.0
["""col_1145""" = 2], ["""col_1543""" = 1]	[Target]	0.0	0.0	277.0	0.0
["""col_322""" = 4], ["""col_1633""" = 1]	[Target]	0.0	0.0	270.0	0.0
["""col_895""" = 0], ["""col_933""" = 1], ["""col_1075""" = 3], ["""col_1418""" = 0]	[Target]	0.0	0.0	13.0	0.0
["""col_895""" = 0], ["""col_933""" = 1]	[Target]	0.0	0.0	302.0	0.0
["""col_1173""" = 3], ["""col_1704""" = 2]	[Target]	0.0	0.0	285.0	0.0
["""col_75""" = 0], ["""col_919""" = 4]	[Target]	0.0	0.0	290.0	0.0
["""col_439""" = 0], ["""col_912""" = 4]	[Target]	0.0	0.0	290.0	0.0
["""col_16""" = 3], ["""col_29""" = 0]	[Target]	0.0	0.0	301.0	0.0
["""col_25""" = 0], ["""col_150""" = 0], ["""col_426""" = 3]	[Target]	0.0	0.0	61.0	0.0
["""col_150""" = 0], ["""col_426""" = 3]	[Target]	0.0	0.0	289.0	0.0
["""col_206""" = 0], ["""col_1341""" = 0], ["""col_1970""" = 2]	[Target]	0.0	0.0	54.0	0.0
["""col_1341""" = 0], ["""col_1970""" = 2]	[Target]	0.0	0.0	259.0	0.0
["""col_794""" = 1], ["""col_1768""" = 3]	[Target]	0.0	0.0	285.0	0.0
["""col_133""" = 0], ["""col_598""" = 0]	[Target]	0.0	0.0	261.0	0.0
["""col_580""" = 0], ["""col_1863""" = 4]	[Target]	0.0	0.0	316.0	0.0
