Description	Target	Measure	E11	E10	E01
["""col_1423""" = 4]	[Target]	0.0	0.0	1150.0	0.0
["""col_1302""" = 3]	[Target]	0.0	0.0	1164.0	0.0
["""col_1100""" = 0]	[Target]	0.0	0.0	1138.0	0.0
["""col_1433""" = 1]	[Target]	0.0	0.0	1083.0	0.0
["""col_958""" = 1]	[Target]	0.0	0.0	1114.0	0.0
["""col_26""" = 3]	[Target]	0.0	0.0	1119.0	0.0
["""col_776""" = 2]	[Target]	0.0	0.0	1102.0	0.0
["""col_1909""" = 3]	[Target]	0.0	0.0	1122.0	0.0
["""col_193""" = 3]	[Target]	0.0	0.0	1098.0	0.0
["""col_54""" = 1]	[Target]	0.0	0.0	1120.0	0.0
["""col_1981""" = 2]	[Target]	0.0	0.0	1134.0	0.0
["""col_548""" = 1]	[Target]	0.0	0.0	1096.0	0.0
["""col_452""" = 4], ["""col_1823""" = 1]	[Target]	0.0	0.0	224.0	0.0
["""col_1823""" = 1]	[Target]	0.0	0.0	1150.0	0.0
["""col_1062""" = 2]	[Target]	0.0	0.0	1070.0	0.0
["""col_1110""" = 2]	[Target]	0.0	0.0	1110.0	0.0
["""col_71""" = 1]	[Target]	0.0	0.0	1072.0	0.0
["""col_1245""" = 0]	[Target]	0.0	0.0	1141.0	0.0
["""col_696""" = 3]	[Target]	0.0	0.0	1105.0	0.0
["""col_34""" = 4], ["""col_1941""" = 2]	[Target]	0.0	0.0	205.0	0.0
["""col_34""" = 4]	[Target]	0.0	0.0	1051.0	0.0
["""col_822""" = 3]	[Target]	0.0	0.0	1131.0	0.0
["""col_415""" = 1]	[Target]	0.0	0.0	1108.0	0.0
["""col_1357""" = 2]	[Target]	0.0	0.0	1110.0	0.0
["""col_1504""" = 0]	[Target]	0.0	0.0	1140.0	0.0
["""col_49""" = 1]	[Target]	0.0	0.0	1119.0	0.0
["""col_1132""" = 0]	[Target]	0.0	0.0	1105.0	0.0
["""col_332""" = 4]	[Target]	0.0	0.0	1162.0	0.0
["""col_1052""" = 3]	[Target]	0.0	0.0	1107.0	0.0
["""col_1676""" = 0]	[Target]	0.0	0.0	1148.0	0.0
["""col_753""" = 1], ["""col_1140""" = 4]	[Target]	0.0	0.0	253.0	0.0
["""col_753""" = 1]	[Target]	0.0	0.0	1151.0	0.0
["""col_288""" = 0], ["""col_320""" = 3], ["""col_516""" = 1], ["""col_1742""" = 2]	[Target]	0.0	0.0	11.0	0.0
["""col_288""" = 0], ["""col_516""" = 1], ["""col_1742""" = 2]	[Target]	0.0	0.0	49.0	0.0
["""col_288""" = 0]	[Target]	0.0	0.0	1116.0	0.0
["""col_660""" = 3]	[Target]	0.0	0.0	1122.0	0.0
["""col_705""" = 2]	[Target]	0.0	0.0	1146.0	0.0
["""col_376""" = 4], ["""col_722""" = 3]	[Target]	0.0	0.0	209.0	0.0
["""col_722""" = 3]	[Target]	0.0	0.0	1061.0	0.0
["""col_1293""" = 1]	[Target]	0.0	0.0	1091.0	0.0
["""col_452""" = 1]	[Target]	0.0	0.0	1126.0	0.0
["""col_218""" = 1]	[Target]	0.0	0.0	1101.0	0.0
["""col_204""" = 0], ["""col_286""" = 0], ["""col_1085""" = 0]	[Target]	0.0	0.0	49.0	0.0
["""col_204""" = 0]	[Target]	0.0	0.0	1124.0	0.0
["""col_1923""" = 1]	[Target]	0.0	0.0	1152.0	0.0
["""col_1025""" = 2]	[Target]	0.0	0.0	1167.0	0.0
["""col_1958""" = 3]	[Target]	0.0	0.0	1131.0	0.0
["""col_868""" = 3]	[Target]	0.0	0.0	1108.0	0.0
["""col_400""" = 3]	[Target]	0.0	0.0	1086.0	0.0
["""col_562""" = 1], ["""col_1302""" = 1], ["""col_1340""" = 2]	[Target]	0.0	0.0	43.0	0.0
