Description	Target	Measure	E11	E10	E01
["""col_1723""" = 1]	[Target]	0.0	0.0	1147.0	0.0
["""col_838""" = 2], ["""col_1673""" = 2]	[Target]	0.0	0.0	211.0	0.0
["""col_1607""" = 0], ["""col_1795""" = 2]	[Target]	0.0	0.0	220.0	0.0
["""Attribute 2""" = 1], ["""col_1178""" = 1]	[Target]	0.0	0.0	312.0	0.0
["""col_906""" = 4], ["""col_907""" = 2]	[Target]	0.0	0.0	207.0	0.0
["""col_989""" = 3], ["""col_1289""" = 0]	[Target]	0.0	0.0	210.0	0.0
["""col_633""" = 2], ["""col_869""" = 0]	[Target]	0.0	0.0	235.0	0.0
["""Attribute 2""" = 0], ["""col_156""" = 1], ["""col_1944""" = 0], ["""col_1955""" = 3]	[Target]	0.0	0.0	36.0	0.0
["""Attribute 2""" = 0], ["""col_1955""" = 3]	[Target]	0.0	0.0	808.0	0.0
["""col_56""" = 0], ["""col_1499""" = 3]	[Target]	0.0	0.0	210.0	0.0
["""col_825""" = 4], ["""col_1449""" = 0], ["""col_1547""" = 1]	[Target]	0.0	0.0	44.0	0.0
["""col_1449""" = 0], ["""col_1547""" = 1]	[Target]	0.0	0.0	229.0	0.0
["""col_57""" = 1], ["""col_864""" = 2], ["""col_1337""" = 2], ["""col_1883""" = 0]	[Target]	0.0	0.0	10.0	0.0
["""col_1337""" = 2], ["""col_1883""" = 0]	[Target]	0.0	0.0	199.0	0.0
["""col_1383""" = 4], ["""col_1905""" = 4]	[Target]	0.0	0.0	242.0	0.0
["""col_120""" = 1], ["""col_1548""" = 2]	[Target]	0.0	0.0	236.0	0.0
["""col_615""" = 1], ["""col_868""" = 4], ["""col_1136""" = 0], ["""col_1733""" = 2]	[Target]	0.0	0.0	10.0	0.0
["""col_868""" = 4], ["""col_1733""" = 2]	[Target]	0.0	0.0	214.0	0.0
["""col_273""" = 3], ["""col_579""" = 1], ["""col_1261""" = 2]	[Target]	0.0	0.0	40.0	0.0
["""col_273""" = 3], ["""col_1261""" = 2]	[Target]	0.0	0.0	211.0	0.0
["""col_443""" = 1], ["""col_765""" = 0], ["""col_1470""" = 1]	[Target]	0.0	0.0	40.0	0.0
["""col_765""" = 0], ["""col_1470""" = 1]	[Target]	0.0	0.0	222.0	0.0
["""col_552""" = 3], ["""col_1969""" = 0]	[Target]	0.0	0.0	213.0	0.0
["""col_737""" = 4], ["""col_1079""" = 4]	[Target]	0.0	0.0	216.0	0.0
["""col_1424""" = 2], ["""col_1979""" = 4]	[Target]	0.0	0.0	218.0	0.0
["""col_131""" = 0], ["""col_1648""" = 2]	[Target]	0.0	0.0	200.0	0.0
["""col_678""" = 0], ["""col_1393""" = 4]	[Target]	0.0	0.0	213.0	0.0
["""col_406""" = 2], ["""col_1598""" = 0]	[Target]	0.0	0.0	200.0	0.0
["""col_44""" = 1], ["""col_1892""" = 2]	[Target]	0.0	0.0	240.0	0.0
["""Attribute 4""" = 0], ["""col_1307""" = 4]	[Target]	0.0	0.0	830.0	0.0
["""col_37""" = 0], ["""col_1010""" = 3]	[Target]	0.0	0.0	208.0	0.0
["""col_43""" = 4], ["""col_1681""" = 3]	[Target]	0.0	0.0	222.0	0.0
["""col_1074""" = 0], ["""col_1532""" = 4]	[Target]	0.0	0.0	217.0	0.0
["""col_685""" = 4], ["""col_1134""" = 3], ["""col_1332""" = 2], ["""col_1785""" = 3]	[Target]	0.0	0.0	10.0	0.0
["""col_1134""" = 3], ["""col_1785""" = 3]	[Target]	0.0	0.0	221.0	0.0
["""col_1921""" = 3], ["""col_1956""" = 2]	[Target]	0.0	0.0	234.0	0.0
["""col_909""" = 4], ["""col_1294""" = 3]	[Target]	0.0	0.0	246.0	0.0
["""col_171""" = 4], ["""col_1245""" = 4]	[Target]	0.0	0.0	238.0	0.0
["""col_226""" = 0], ["""col_725""" = 1]	[Target]	0.0	0.0	259.0	0.0
["""col_575""" = 4], ["""col_1963""" = 3]	[Target]	0.0	0.0	224.0	0.0
["""col_1617""" = 3], ["""col_1963""" = 4]	[Target]	0.0	0.0	235.0	0.0
["""col_136""" = 1], ["""col_415""" = 4]	[Target]	0.0	0.0	232.0	0.0
["""col_1430""" = 0], ["""col_1635""" = 2]	[Target]	0.0	0.0	191.0	0.0
["""col_621""" = 4], ["""col_1722""" = 1]	[Target]	0.0	0.0	222.0	0.0
["""col_520""" = 1], ["""col_873""" = 1]	[Target]	0.0	0.0	225.0	0.0
["""col_216""" = 4], ["""col_1790""" = 0]	[Target]	0.0	0.0	194.0	0.0
["""col_1858""" = 1], ["""col_1920""" = 4]	[Target]	0.0	0.0	228.0	0.0
["""col_511""" = 0], ["""col_603""" = 2], ["""col_1196""" = 4], ["""col_1539""" = 1]	[Target]	0.0	0.0	11.0	0.0
["""col_603""" = 2], ["""col_1539""" = 1]	[Target]	0.0	0.0	230.0	0.0
["""col_576""" = 2], ["""col_1214""" = 0]	[Target]	0.0	0.0	230.0	0.0
