Description	Target	Measure	E11	E10	E01
["""col_482""" = 0]	[Target]	0.0	0.0	1055.0	0.0
["""col_634""" = 1]	[Target]	0.0	0.0	1113.0	0.0
["""col_1588""" = 0]	[Target]	0.0	0.0	1163.0	0.0
["""col_555""" = 3]	[Target]	0.0	0.0	1121.0	0.0
["""col_345""" = 1], ["""col_529""" = 4], ["""col_1306""" = 3]	[Target]	0.0	0.0	51.0	0.0
["""col_345""" = 1]	[Target]	0.0	0.0	1128.0	0.0
["""col_419""" = 4]	[Target]	0.0	0.0	1166.0	0.0
["""col_1030""" = 3]	[Target]	0.0	0.0	1086.0	0.0
["""col_1131""" = 2]	[Target]	0.0	0.0	1114.0	0.0
["""col_82""" = 2], ["""col_239""" = 1], ["""col_566""" = 4], ["""col_982""" = 2]	[Target]	0.0	0.0	13.0	0.0
["""col_82""" = 2], ["""col_566""" = 4], ["""col_982""" = 2]	[Target]	0.0	0.0	43.0	0.0
["""col_982""" = 2]	[Target]	0.0	0.0	1117.0	0.0
["""col_1229""" = 3]	[Target]	0.0	0.0	1167.0	0.0
["""col_602""" = 0]	[Target]	0.0	0.0	1117.0	0.0
["""col_229""" = 0]	[Target]	0.0	0.0	1092.0	0.0
["""col_187""" = 4]	[Target]	0.0	0.0	1100.0	0.0
["""col_549""" = 3]	[Target]	0.0	0.0	1130.0	0.0
["""col_846""" = 4]	[Target]	0.0	0.0	1112.0	0.0
["""col_671""" = 2], ["""col_1111""" = 3]	[Target]	0.0	0.0	224.0	0.0
["""col_1111""" = 3]	[Target]	0.0	0.0	1180.0	0.0
["""col_907""" = 0], ["""col_973""" = 0]	[Target]	0.0	0.0	240.0	0.0
["""col_973""" = 0]	[Target]	0.0	0.0	1125.0	0.0
["""col_626""" = 0]	[Target]	0.0	0.0	1087.0	0.0
["""col_367""" = 0], ["""col_845""" = 3], ["""col_1289""" = 0]	[Target]	0.0	0.0	41.0	0.0
["""col_845""" = 3], ["""col_1289""" = 0]	[Target]	0.0	0.0	233.0	0.0
["""col_1289""" = 0]	[Target]	0.0	0.0	1134.0	0.0
["""col_467""" = 0], ["""col_1206""" = 3], ["""col_1530""" = 1]	[Target]	0.0	0.0	41.0	0.0
["""col_1530""" = 1]	[Target]	0.0	0.0	1147.0	0.0
["""col_455""" = 1]	[Target]	0.0	0.0	1097.0	0.0
["""col_1252""" = 0]	[Target]	0.0	0.0	1112.0	0.0
["""col_1989""" = 1]	[Target]	0.0	0.0	1089.0	0.0
["""col_73""" = 4]	[Target]	0.0	0.0	1151.0	0.0
["""col_1220""" = 3]	[Target]	0.0	0.0	1145.0	0.0
["""col_147""" = 0], ["""col_1879""" = 3], ["""col_1963""" = 4]	[Target]	0.0	0.0	42.0	0.0
["""col_147""" = 0]	[Target]	0.0	0.0	1109.0	0.0
["""col_1330""" = 2]	[Target]	0.0	0.0	1123.0	0.0
["""col_694""" = 2], ["""col_1943""" = 4]	[Target]	0.0	0.0	224.0	0.0
["""col_1943""" = 4]	[Target]	0.0	0.0	1086.0	0.0
["""col_93""" = 4]	[Target]	0.0	0.0	1125.0	0.0
["""col_891""" = 4]	[Target]	0.0	0.0	1082.0	0.0
["""col_395""" = 0], ["""col_1282""" = 3], ["""col_1644""" = 4]	[Target]	0.0	0.0	39.0	0.0
["""col_1644""" = 4]	[Target]	0.0	0.0	1045.0	0.0
["""col_773""" = 2]	[Target]	0.0	0.0	1105.0	0.0
["""col_449""" = 0], ["""col_472""" = 4], ["""col_475""" = 0], ["""col_919""" = 2]	[Target]	0.0	0.0	10.0	0.0
["""col_472""" = 4]	[Target]	0.0	0.0	1144.0	0.0
["""col_1007""" = 3]	[Target]	0.0	0.0	1114.0	0.0
["""col_183""" = 2], ["""col_798""" = 1], ["""col_1266""" = 2], ["""col_1801""" = 1]	[Target]	0.0	0.0	10.0	0.0
["""col_1266""" = 2]	[Target]	0.0	0.0	1105.0	0.0
["""col_1727""" = 2]	[Target]	0.0	0.0	1077.0	0.0
["""col_536""" = 4]	[Target]	0.0	0.0	1121.0	0.0
