Description	Target	Measure	E11	E10	E01
["""col_500""" = 0]	[Target]	0.0	0.0	1142.0	0.0
["""col_79""" = 0], ["""col_148""" = 0], ["""col_1179""" = 1]	[Target]	0.0	0.0	43.0	0.0
["""col_148""" = 0]	[Target]	0.0	0.0	1094.0	0.0
["""col_1221""" = 2], ["""col_1313""" = 0], ["""col_1536""" = 3], ["""col_1933""" = 2]	[Target]	0.0	0.0	13.0	0.0
["""col_1313""" = 0]	[Target]	0.0	0.0	1141.0	0.0
["""col_748""" = 1]	[Target]	0.0	0.0	1133.0	0.0
["""col_548""" = 1]	[Target]	0.0	0.0	1096.0	0.0
["""col_1992""" = 4]	[Target]	0.0	0.0	1207.0	0.0
["""col_1398""" = 4]	[Target]	0.0	0.0	1118.0	0.0
["""col_1899""" = 2]	[Target]	0.0	0.0	1167.0	0.0
["""col_484""" = 2]	[Target]	0.0	0.0	1164.0	0.0
["""col_203""" = 3]	[Target]	0.0	0.0	1085.0	0.0
["""col_357""" = 1]	[Target]	0.0	0.0	1133.0	0.0
["""col_1210""" = 3]	[Target]	0.0	0.0	1155.0	0.0
["""col_795""" = 3], ["""col_1780""" = 4], ["""col_1839""" = 4], ["""col_1876""" = 0]	[Target]	0.0	0.0	15.0	0.0
["""col_795""" = 3]	[Target]	0.0	0.0	1141.0	0.0
["""col_623""" = 0], ["""col_750""" = 3], ["""col_1372""" = 4], ["""col_1476""" = 4]	[Target]	0.0	0.0	11.0	0.0
["""col_1372""" = 4]	[Target]	0.0	0.0	1122.0	0.0
["""col_497""" = 3]	[Target]	0.0	0.0	1116.0	0.0
["""col_1107""" = 3], ["""col_1755""" = 3], ["""col_1983""" = 4]	[Target]	0.0	0.0	42.0	0.0
["""col_1755""" = 3]	[Target]	0.0	0.0	1133.0	0.0
["""col_1892""" = 4]	[Target]	0.0	0.0	1066.0	0.0
["""col_160""" = 3]	[Target]	0.0	0.0	1157.0	0.0
["""col_410""" = 1]	[Target]	0.0	0.0	1148.0	0.0
["""col_641""" = 2], ["""col_1537""" = 0], ["""col_1652""" = 2]	[Target]	0.0	0.0	62.0	0.0
["""col_641""" = 2]	[Target]	0.0	0.0	1116.0	0.0
["""col_1211""" = 0]	[Target]	0.0	0.0	1091.0	0.0
["""col_1534""" = 4]	[Target]	0.0	0.0	1147.0	0.0
["""col_1690""" = 2]	[Target]	0.0	0.0	1187.0	0.0
["""col_378""" = 1]	[Target]	0.0	0.0	1137.0	0.0
["""col_1373""" = 3]	[Target]	0.0	0.0	1142.0	0.0
["""col_703""" = 3]	[Target]	0.0	0.0	1160.0	0.0
["""col_657""" = 0], ["""col_1159""" = 4], ["""col_1877""" = 3]	[Target]	0.0	0.0	67.0	0.0
["""col_657""" = 0], ["""col_1159""" = 4]	[Target]	0.0	0.0	244.0	0.0
["""col_1159""" = 4]	[Target]	0.0	0.0	1106.0	0.0
["""col_388""" = 2]	[Target]	0.0	0.0	1128.0	0.0
["""col_1504""" = 2]	[Target]	0.0	0.0	1095.0	0.0
["""col_1526""" = 3]	[Target]	0.0	0.0	1079.0	0.0
["""col_52""" = 4], ["""col_1989""" = 2], ["""col_2000""" = 2]	[Target]	0.0	0.0	53.0	0.0
["""col_52""" = 4]	[Target]	0.0	0.0	1107.0	0.0
["""col_508""" = 4]	[Target]	0.0	0.0	1116.0	0.0
["""col_1530""" = 0]	[Target]	0.0	0.0	1120.0	0.0
["""col_1378""" = 3]	[Target]	0.0	0.0	1111.0	0.0
["""col_158""" = 2], ["""col_625""" = 0], ["""col_1453""" = 2]	[Target]	0.0	0.0	41.0	0.0
["""col_1453""" = 2]	[Target]	0.0	0.0	1080.0	0.0
["""col_369""" = 4]	[Target]	0.0	0.0	1058.0	0.0
["""col_709""" = 2], ["""col_918""" = 0], ["""col_1165""" = 3]	[Target]	0.0	0.0	45.0	0.0
["""col_709""" = 2]	[Target]	0.0	0.0	1143.0	0.0
["""col_132""" = 3]	[Target]	0.0	0.0	1178.0	0.0
["""col_417""" = 2], ["""col_423""" = 3], ["""col_493""" = 2], ["""col_1595""" = 4]	[Target]	0.0	0.0	10.0	0.0
