Description	Target	Measure	E11	E10	E01
["""col_1763""" = 1]	[Target]	0.0	0.0	1109.0	0.0
["""col_568""" = 4], ["""col_606""" = 1]	[Target]	0.0	0.0	231.0	0.0
["""col_970""" = 0], ["""col_1928""" = 2]	[Target]	0.0	0.0	219.0	0.0
["""col_181""" = 2], ["""col_570""" = 1]	[Target]	0.0	0.0	233.0	0.0
["""col_299""" = 0], ["""col_630""" = 2]	[Target]	0.0	0.0	218.0	0.0
["""col_1652""" = 2], ["""col_1665""" = 4]	[Target]	0.0	0.0	198.0	0.0
["""col_946""" = 3], ["""col_1222""" = 1]	[Target]	0.0	0.0	221.0	0.0
["""col_556""" = 2], ["""col_1759""" = 0]	[Target]	0.0	0.0	240.0	0.0
["""col_404""" = 3], ["""col_1553""" = 1], ["""col_1853""" = 3]	[Target]	0.0	0.0	52.0	0.0
["""col_404""" = 3], ["""col_1553""" = 1]	[Target]	0.0	0.0	229.0	0.0
["""col_354""" = 0], ["""col_1642""" = 3]	[Target]	0.0	0.0	238.0	0.0
["""col_344""" = 1], ["""col_1699""" = 4]	[Target]	0.0	0.0	252.0	0.0
["""col_1333""" = 4], ["""col_1977""" = 1]	[Target]	0.0	0.0	240.0	0.0
["""col_575""" = 1], ["""col_1266""" = 4]	[Target]	0.0	0.0	225.0	0.0
["""col_1171""" = 4], ["""col_1614""" = 0]	[Target]	0.0	0.0	203.0	0.0
["""col_732""" = 3], ["""col_1562""" = 0]	[Target]	0.0	0.0	233.0	0.0
["""col_410""" = 3], ["""col_829""" = 4], ["""col_1813""" = 1]	[Target]	0.0	0.0	35.0	0.0
["""col_410""" = 3], ["""col_829""" = 4]	[Target]	0.0	0.0	198.0	0.0
["""col_1707""" = 0], ["""col_1808""" = 3]	[Target]	0.0	0.0	231.0	0.0
["""col_473""" = 1], ["""col_525""" = 0], ["""col_1159""" = 3], ["""col_1219""" = 4]	[Target]	0.0	0.0	15.0	0.0
["""col_473""" = 1], ["""col_1219""" = 4]	[Target]	0.0	0.0	223.0	0.0
["""col_205""" = 4], ["""col_1799""" = 0]	[Target]	0.0	0.0	210.0	0.0
["""col_208""" = 1], ["""col_1176""" = 1]	[Target]	0.0	0.0	210.0	0.0
["""col_1624""" = 2], ["""col_1744""" = 0]	[Target]	0.0	0.0	210.0	0.0
["""col_669""" = 4], ["""col_818""" = 3]	[Target]	0.0	0.0	221.0	0.0
["""col_1272""" = 0], ["""col_1887""" = 4]	[Target]	0.0	0.0	226.0	0.0
["""col_199""" = 3], ["""col_844""" = 0]	[Target]	0.0	0.0	215.0	0.0
["""col_1031""" = 3], ["""col_1084""" = 3], ["""col_1340""" = 3], ["""col_1580""" = 2]	[Target]	0.0	0.0	11.0	0.0
["""col_1031""" = 3], ["""col_1084""" = 3]	[Target]	0.0	0.0	235.0	0.0
["""col_349""" = 3], ["""col_863""" = 4]	[Target]	0.0	0.0	244.0	0.0
["""col_923""" = 2], ["""col_1377""" = 2]	[Target]	0.0	0.0	225.0	0.0
["""col_27""" = 0], ["""col_380""" = 3]	[Target]	0.0	0.0	236.0	0.0
["""col_354""" = 3], ["""col_1639""" = 4]	[Target]	0.0	0.0	219.0	0.0
["""col_968""" = 4], ["""col_979""" = 4]	[Target]	0.0	0.0	240.0	0.0
["""col_117""" = 3], ["""col_1384""" = 2]	[Target]	0.0	0.0	206.0	0.0
["""col_83""" = 0], ["""col_238""" = 0]	[Target]	0.0	0.0	231.0	0.0
["""col_3""" = 2], ["""col_740""" = 3]	[Target]	0.0	0.0	218.0	0.0
["""col_966""" = 1], ["""col_1307""" = 3]	[Target]	0.0	0.0	210.0	0.0
["""col_1283""" = 2], ["""col_1739""" = 2]	[Target]	0.0	0.0	257.0	0.0
["""col_132""" = 3], ["""col_324""" = 2], ["""col_410""" = 0], ["""col_1152""" = 4]	[Target]	0.0	0.0	10.0	0.0
["""col_410""" = 0], ["""col_1152""" = 4]	[Target]	0.0	0.0	239.0	0.0
["""col_975""" = 0], ["""col_1481""" = 1]	[Target]	0.0	0.0	233.0	0.0
["""col_282""" = 3], ["""col_1648""" = 2]	[Target]	0.0	0.0	226.0	0.0
["""col_404""" = 0], ["""col_1934""" = 0]	[Target]	0.0	0.0	207.0	0.0
["""col_282""" = 2], ["""col_808""" = 2], ["""col_1502""" = 0]	[Target]	0.0	0.0	47.0	0.0
["""col_282""" = 2], ["""col_1502""" = 0]	[Target]	0.0	0.0	249.0	0.0
["""col_6""" = 3], ["""col_250""" = 0]	[Target]	0.0	0.0	220.0	0.0
["""col_163""" = 2], ["""col_1161""" = 2]	[Target]	0.0	0.0	210.0	0.0
["""col_390""" = 0], ["""col_457""" = 4]	[Target]	0.0	0.0	207.0	0.0
["""col_1398""" = 0], ["""col_1678""" = 4]	[Target]	0.0	0.0	194.0	0.0
