Description	Target	Measure	E11	E10	E01
["""col_329""" = 4]	[Target]	0.0	0.0	1119.0	0.0
["""col_1674""" = 2]	[Target]	0.0	0.0	1110.0	0.0
["""col_724""" = 1]	[Target]	0.0	0.0	1151.0	0.0
["""col_931""" = 1]	[Target]	0.0	0.0	1064.0	0.0
["""col_815""" = 0]	[Target]	0.0	0.0	1073.0	0.0
["""col_1432""" = 4]	[Target]	0.0	0.0	1139.0	0.0
["""col_1756""" = 4]	[Target]	0.0	0.0	1160.0	0.0
["""col_1861""" = 0]	[Target]	0.0	0.0	1178.0	0.0
["""col_732""" = 3], ["""col_965""" = 2], ["""col_1781""" = 2]	[Target]	0.0	0.0	46.0	0.0
["""col_732""" = 3]	[Target]	0.0	0.0	1151.0	0.0
["""col_1687""" = 4]	[Target]	0.0	0.0	1091.0	0.0
["""col_138""" = 4], ["""col_933""" = 0]	[Target]	0.0	0.0	207.0	0.0
["""col_138""" = 4]	[Target]	0.0	0.0	1122.0	0.0
["""col_1679""" = 4]	[Target]	0.0	0.0	1107.0	0.0
["""col_1366""" = 2]	[Target]	0.0	0.0	1092.0	0.0
["""col_626""" = 1], ["""col_1370""" = 1]	[Target]	0.0	0.0	229.0	0.0
["""col_1370""" = 1]	[Target]	0.0	0.0	1114.0	0.0
["""col_320""" = 4]	[Target]	0.0	0.0	1094.0	0.0
["""col_552""" = 2]	[Target]	0.0	0.0	1152.0	0.0
["""col_1734""" = 2]	[Target]	0.0	0.0	1148.0	0.0
["""col_1317""" = 4]	[Target]	0.0	0.0	1104.0	0.0
["""col_250""" = 4], ["""col_787""" = 1], ["""col_1391""" = 4]	[Target]	0.0	0.0	48.0	0.0
["""col_1391""" = 4]	[Target]	0.0	0.0	1097.0	0.0
["""col_615""" = 1]	[Target]	0.0	0.0	1141.0	0.0
["""col_1574""" = 3], ["""col_1591""" = 1], ["""col_1976""" = 1]	[Target]	0.0	0.0	51.0	0.0
["""col_1591""" = 1]	[Target]	0.0	0.0	1127.0	0.0
["""col_1331""" = 1]	[Target]	0.0	0.0	1092.0	0.0
["""col_1555""" = 4]	[Target]	0.0	0.0	1142.0	0.0
["""col_1954""" = 1]	[Target]	0.0	0.0	1137.0	0.0
["""col_955""" = 0]	[Target]	0.0	0.0	1089.0	0.0
["""col_1155""" = 2], ["""col_1522""" = 3]	[Target]	0.0	0.0	241.0	0.0
["""col_1522""" = 3]	[Target]	0.0	0.0	1174.0	0.0
["""col_939""" = 1]	[Target]	0.0	0.0	1103.0	0.0
["""col_1881""" = 0]	[Target]	0.0	0.0	1136.0	0.0
["""col_619""" = 1], ["""col_699""" = 0]	[Target]	0.0	0.0	223.0	0.0
["""col_699""" = 0]	[Target]	0.0	0.0	1095.0	0.0
["""col_6""" = 3], ["""col_732""" = 2], ["""col_1463""" = 0]	[Target]	0.0	0.0	40.0	0.0
["""col_1463""" = 0]	[Target]	0.0	0.0	1109.0	0.0
["""col_687""" = 3]	[Target]	0.0	0.0	1090.0	0.0
["""col_410""" = 0]	[Target]	0.0	0.0	1149.0	0.0
["""col_1151""" = 4]	[Target]	0.0	0.0	1096.0	0.0
["""col_1009""" = 0]	[Target]	0.0	0.0	1138.0	0.0
["""col_1156""" = 1], ["""col_1399""" = 1], ["""col_1852""" = 1]	[Target]	0.0	0.0	52.0	0.0
["""col_1399""" = 1]	[Target]	0.0	0.0	1067.0	0.0
["""col_1321""" = 3]	[Target]	0.0	0.0	1108.0	0.0
["""col_352""" = 2]	[Target]	0.0	0.0	1138.0	0.0
["""col_1555""" = 0]	[Target]	0.0	0.0	1104.0	0.0
["""col_1873""" = 0]	[Target]	0.0	0.0	1108.0	0.0
["""col_1365""" = 3]	[Target]	0.0	0.0	1118.0	0.0
["""col_616""" = 3], ["""col_690""" = 0]	[Target]	0.0	0.0	221.0	0.0
