Description	Target	Measure	E11	E10	E01
["""col_89""" = 2]	[Target]	0.0	0.0	1169.0	0.0
["""col_271""" = 3], ["""col_1439""" = 2]	[Target]	0.0	0.0	207.0	0.0
["""col_1439""" = 2]	[Target]	0.0	0.0	1130.0	0.0
["""col_173""" = 0]	[Target]	0.0	0.0	1182.0	0.0
["""col_1731""" = 1]	[Target]	0.0	0.0	1104.0	0.0
["""col_376""" = 0]	[Target]	0.0	0.0	1183.0	0.0
["""col_276""" = 2]	[Target]	0.0	0.0	1089.0	0.0
["""col_478""" = 1], ["""col_790""" = 4]	[Target]	0.0	0.0	240.0	0.0
["""col_790""" = 4]	[Target]	0.0	0.0	1143.0	0.0
["""col_312""" = 1]	[Target]	0.0	0.0	1129.0	0.0
["""col_349""" = 1]	[Target]	0.0	0.0	1106.0	0.0
["""col_1565""" = 2]	[Target]	0.0	0.0	1160.0	0.0
["""col_1489""" = 3]	[Target]	0.0	0.0	1105.0	0.0
["""col_887""" = 1], ["""col_1435""" = 4], ["""col_1828""" = 3]	[Target]	0.0	0.0	50.0	0.0
["""col_887""" = 1], ["""col_1435""" = 4]	[Target]	0.0	0.0	243.0	0.0
["""col_1435""" = 4]	[Target]	0.0	0.0	1156.0	0.0
["""col_762""" = 2]	[Target]	0.0	0.0	1074.0	0.0
["""col_1026""" = 3]	[Target]	0.0	0.0	1095.0	0.0
["""col_122""" = 4], ["""col_864""" = 1]	[Target]	0.0	0.0	239.0	0.0
["""col_122""" = 4]	[Target]	0.0	0.0	1186.0	0.0
["""col_1359""" = 3]	[Target]	0.0	0.0	1078.0	0.0
["""col_1143""" = 2]	[Target]	0.0	0.0	1121.0	0.0
["""col_123""" = 3], ["""col_1266""" = 1]	[Target]	0.0	0.0	243.0	0.0
["""col_123""" = 3]	[Target]	0.0	0.0	1099.0	0.0
["""col_1476""" = 2]	[Target]	0.0	0.0	1102.0	0.0
["""col_969""" = 4], ["""col_1917""" = 4]	[Target]	0.0	0.0	224.0	0.0
["""col_969""" = 4]	[Target]	0.0	0.0	1121.0	0.0
["""col_277""" = 0]	[Target]	0.0	0.0	1108.0	0.0
["""col_885""" = 1]	[Target]	0.0	0.0	1139.0	0.0
["""col_1381""" = 1]	[Target]	0.0	0.0	1039.0	0.0
["""col_167""" = 2], ["""col_435""" = 3], ["""col_573""" = 0], ["""col_1828""" = 1]	[Target]	0.0	0.0	10.0	0.0
["""col_573""" = 0]	[Target]	0.0	0.0	1117.0	0.0
["""col_579""" = 0]	[Target]	0.0	0.0	1088.0	0.0
["""col_1903""" = 3]	[Target]	0.0	0.0	1171.0	0.0
["""col_272""" = 3]	[Target]	0.0	0.0	1124.0	0.0
["""col_1517""" = 4]	[Target]	0.0	0.0	1049.0	0.0
["""col_1043""" = 0]	[Target]	0.0	0.0	1149.0	0.0
["""col_488""" = 4]	[Target]	0.0	0.0	1146.0	0.0
["""col_412""" = 3]	[Target]	0.0	0.0	1159.0	0.0
["""col_1048""" = 3], ["""col_1656""" = 2], ["""col_1947""" = 3]	[Target]	0.0	0.0	38.0	0.0
["""col_1048""" = 3]	[Target]	0.0	0.0	1145.0	0.0
["""col_1957""" = 0]	[Target]	0.0	0.0	1092.0	0.0
["""col_152""" = 0], ["""col_975""" = 2], ["""col_1903""" = 0]	[Target]	0.0	0.0	43.0	0.0
["""col_975""" = 2]	[Target]	0.0	0.0	1132.0	0.0
["""col_388""" = 4]	[Target]	0.0	0.0	1111.0	0.0
["""col_1797""" = 0]	[Target]	0.0	0.0	1156.0	0.0
["""col_555""" = 2]	[Target]	0.0	0.0	1095.0	0.0
["""col_1486""" = 0]	[Target]	0.0	0.0	1135.0	0.0
["""col_1850""" = 2]	[Target]	0.0	0.0	1128.0	0.0
["""col_1008""" = 0], ["""col_1161""" = 4], ["""col_1248""" = 2], ["""col_1268""" = 2]	[Target]	0.0	0.0	10.0	0.0
