Description	Target	Measure	E11	E10	E01
["""col_1550""" = 4]	[Target]	0.0	0.0	1154.0	0.0
["""col_390""" = 4], ["""col_934""" = 3], ["""col_1611""" = 3], ["""col_1980""" = 4]	[Target]	0.0	0.0	12.0	0.0
["""col_390""" = 4], ["""col_1611""" = 3]	[Target]	0.0	0.0	225.0	0.0
["""col_527""" = 4], ["""col_1205""" = 2], ["""col_1890""" = 3]	[Target]	0.0	0.0	52.0	0.0
["""col_527""" = 4], ["""col_1205""" = 2]	[Target]	0.0	0.0	243.0	0.0
["""col_129""" = 0], ["""col_362""" = 2]	[Target]	0.0	0.0	222.0	0.0
["""col_2""" = 2], ["""col_23""" = 3], ["""col_1444""" = 4], ["""col_1844""" = 0]	[Target]	0.0	0.0	12.0	0.0
["""col_2""" = 2], ["""col_1844""" = 0]	[Target]	0.0	0.0	253.0	0.0
["""col_386""" = 3], ["""col_1964""" = 3]	[Target]	0.0	0.0	229.0	0.0
["""col_700""" = 4], ["""col_1556""" = 3]	[Target]	0.0	0.0	222.0	0.0
["""col_429""" = 3], ["""col_1837""" = 2]	[Target]	0.0	0.0	220.0	0.0
["""col_692""" = 4], ["""col_1096""" = 1], ["""col_1818""" = 2], ["""col_1881""" = 2]	[Target]	0.0	0.0	14.0	0.0
["""col_1818""" = 2], ["""col_1881""" = 2]	[Target]	0.0	0.0	205.0	0.0
["""col_415""" = 1], ["""col_1035""" = 1]	[Target]	0.0	0.0	228.0	0.0
["""Attribute 2""" = 0], ["""col_86""" = 2], ["""col_1473""" = 3]	[Target]	0.0	0.0	168.0	0.0
["""col_86""" = 2], ["""col_1473""" = 3]	[Target]	0.0	0.0	238.0	0.0
["""col_1537""" = 1], ["""col_1697""" = 2]	[Target]	0.0	0.0	232.0	0.0
["""col_1155""" = 2], ["""col_1914""" = 4]	[Target]	0.0	0.0	243.0	0.0
["""col_1365""" = 4], ["""col_1445""" = 3]	[Target]	0.0	0.0	247.0	0.0
["""col_480""" = 0], ["""col_714""" = 4]	[Target]	0.0	0.0	208.0	0.0
["""col_338""" = 4], ["""col_1828""" = 3]	[Target]	0.0	0.0	239.0	0.0
["""col_1492""" = 4], ["""col_1664""" = 2]	[Target]	0.0	0.0	208.0	0.0
["""col_210""" = 2], ["""col_1692""" = 4]	[Target]	0.0	0.0	236.0	0.0
["""col_285""" = 2], ["""col_556""" = 4]	[Target]	0.0	0.0	239.0	0.0
["""col_1462""" = 1], ["""col_1935""" = 0]	[Target]	0.0	0.0	219.0	0.0
["""col_260""" = 4], ["""col_1567""" = 2]	[Target]	0.0	0.0	201.0	0.0
["""col_90""" = 2], ["""col_546""" = 4], ["""col_1158""" = 1]	[Target]	0.0	0.0	35.0	0.0
["""col_546""" = 4], ["""col_1158""" = 1]	[Target]	0.0	0.0	197.0	0.0
["""col_245""" = 4], ["""col_432""" = 1]	[Target]	0.0	0.0	231.0	0.0
["""col_924""" = 0], ["""col_1977""" = 3]	[Target]	0.0	0.0	217.0	0.0
["""col_407""" = 1], ["""col_997""" = 2]	[Target]	0.0	0.0	241.0	0.0
["""col_1766""" = 3], ["""col_1922""" = 2]	[Target]	0.0	0.0	231.0	0.0
["""col_204""" = 4], ["""col_973""" = 2]	[Target]	0.0	0.0	212.0	0.0
["""col_1087""" = 3], ["""col_1820""" = 0]	[Target]	0.0	0.0	226.0	0.0
["""col_839""" = 1], ["""col_996""" = 1]	[Target]	0.0	0.0	253.0	0.0
["""col_1452""" = 3], ["""col_1773""" = 2]	[Target]	0.0	0.0	214.0	0.0
["""col_1397""" = 3], ["""col_1660""" = 0]	[Target]	0.0	0.0	217.0	0.0
["""col_135""" = 2], ["""col_862""" = 4]	[Target]	0.0	0.0	213.0	0.0
["""col_436""" = 2], ["""col_700""" = 1]	[Target]	0.0	0.0	215.0	0.0
["""col_435""" = 4], ["""col_487""" = 1], ["""col_657""" = 1]	[Target]	0.0	0.0	53.0	0.0
["""col_435""" = 4], ["""col_657""" = 1]	[Target]	0.0	0.0	224.0	0.0
["""col_1221""" = 4], ["""col_1286""" = 3]	[Target]	0.0	0.0	228.0	0.0
["""col_467""" = 0], ["""col_1440""" = 4]	[Target]	0.0	0.0	228.0	0.0
["""col_824""" = 3], ["""col_1721""" = 3]	[Target]	0.0	0.0	221.0	0.0
["""col_5""" = 1], ["""col_1729""" = 2]	[Target]	0.0	0.0	209.0	0.0
["""col_9""" = 3], ["""col_1516""" = 2]	[Target]	0.0	0.0	249.0	0.0
["""col_608""" = 0], ["""col_882""" = 0]	[Target]	0.0	0.0	222.0	0.0
["""col_12""" = 4], ["""col_115""" = 1], ["""col_299""" = 2], ["""col_1378""" = 0]	[Target]	0.0	0.0	11.0	0.0
["""col_12""" = 4], ["""col_115""" = 1], ["""col_1378""" = 0]	[Target]	0.0	0.0	38.0	0.0
["""col_115""" = 1], ["""col_1378""" = 0]	[Target]	0.0	0.0	234.0	0.0
