Description	Target	Measure	E11	E10	E01
["""col_337""" = 4]	[Target]	0.0	0.0	1120.0	0.0
["""col_144""" = 4], ["""col_1118""" = 2]	[Target]	0.0	0.0	230.0	0.0
["""col_1115""" = 4], ["""col_1973""" = 2]	[Target]	0.0	0.0	227.0	0.0
["""col_272""" = 4], ["""col_1327""" = 4], ["""col_1511""" = 4]	[Target]	0.0	0.0	46.0	0.0
["""col_21""" = 1], ["""col_1713""" = 2]	[Target]	0.0	0.0	215.0	0.0
["""col_51""" = 1], ["""col_459""" = 0]	[Target]	0.0	0.0	223.0	0.0
["""col_255""" = 1], ["""col_560""" = 0]	[Target]	0.0	0.0	206.0	0.0
["""col_1322""" = 1], ["""col_1848""" = 1]	[Target]	0.0	0.0	236.0	0.0
["""col_1247""" = 3], ["""col_1370""" = 3]	[Target]	0.0	0.0	214.0	0.0
["""col_380""" = 1], ["""col_815""" = 3]	[Target]	0.0	0.0	235.0	0.0
["""col_100""" = 4], ["""col_676""" = 4]	[Target]	0.0	0.0	214.0	0.0
["""col_886""" = 2], ["""col_1205""" = 4]	[Target]	0.0	0.0	220.0	0.0
["""col_1398""" = 2], ["""col_1521""" = 4]	[Target]	0.0	0.0	217.0	0.0
["""col_1141""" = 2], ["""col_1849""" = 0]	[Target]	0.0	0.0	231.0	0.0
["""col_1313""" = 4], ["""col_1717""" = 0]	[Target]	0.0	0.0	225.0	0.0
["""col_617""" = 0], ["""col_1343""" = 3]	[Target]	0.0	0.0	206.0	0.0
["""col_715""" = 4], ["""col_783""" = 0]	[Target]	0.0	0.0	210.0	0.0
["""col_46""" = 1], ["""col_1439""" = 4]	[Target]	0.0	0.0	190.0	0.0
["""col_1746""" = 3], ["""col_1963""" = 3]	[Target]	0.0	0.0	228.0	0.0
["""col_465""" = 3], ["""col_1656""" = 2]	[Target]	0.0	0.0	214.0	0.0
["""col_520""" = 1], ["""col_536""" = 4]	[Target]	0.0	0.0	219.0	0.0
["""col_140""" = 2], ["""col_532""" = 0]	[Target]	0.0	0.0	205.0	0.0
["""col_317""" = 0], ["""col_1865""" = 3]	[Target]	0.0	0.0	219.0	0.0
["""col_806""" = 1], ["""col_1612""" = 3]	[Target]	0.0	0.0	202.0	0.0
["""col_485""" = 4], ["""col_1150""" = 4], ["""col_1507""" = 3]	[Target]	0.0	0.0	43.0	0.0
["""col_641""" = 3], ["""col_1076""" = 3]	[Target]	0.0	0.0	244.0	0.0
["""col_1395""" = 4], ["""col_1722""" = 1], ["""col_1924""" = 2]	[Target]	0.0	0.0	44.0	0.0
["""col_75""" = 1], ["""col_1544""" = 4]	[Target]	0.0	0.0	241.0	0.0
["""col_211""" = 1], ["""col_1055""" = 0]	[Target]	0.0	0.0	202.0	0.0
["""col_285""" = 2], ["""col_1884""" = 0]	[Target]	0.0	0.0	249.0	0.0
["""col_278""" = 3], ["""col_1884""" = 4]	[Target]	0.0	0.0	211.0	0.0
["""col_38""" = 1], ["""col_1308""" = 0]	[Target]	0.0	0.0	232.0	0.0
["""col_74""" = 3], ["""col_615""" = 0]	[Target]	0.0	0.0	256.0	0.0
["""col_388""" = 2], ["""col_1472""" = 0]	[Target]	0.0	0.0	209.0	0.0
["""col_1015""" = 3], ["""col_1107""" = 4]	[Target]	0.0	0.0	227.0	0.0
["""col_182""" = 2], ["""col_745""" = 3]	[Target]	0.0	0.0	204.0	0.0
["""col_934""" = 0], ["""col_1811""" = 3]	[Target]	0.0	0.0	231.0	0.0
["""col_1184""" = 4], ["""col_1972""" = 0]	[Target]	0.0	0.0	202.0	0.0
["""col_1203""" = 0], ["""col_1636""" = 2]	[Target]	0.0	0.0	229.0	0.0
["""col_366""" = 0], ["""col_1962""" = 4]	[Target]	0.0	0.0	225.0	0.0
["""col_1080""" = 4], ["""col_1632""" = 1]	[Target]	0.0	0.0	225.0	0.0
["""col_1215""" = 4], ["""col_1905""" = 2]	[Target]	0.0	0.0	223.0	0.0
["""col_43""" = 4], ["""col_1819""" = 2]	[Target]	0.0	0.0	238.0	0.0
["""col_1210""" = 1], ["""col_1322""" = 0]	[Target]	0.0	0.0	226.0	0.0
["""col_40""" = 4], ["""col_805""" = 3], ["""col_1462""" = 0]	[Target]	0.0	0.0	44.0	0.0
["""col_108""" = 1], ["""col_425""" = 4]	[Target]	0.0	0.0	207.0	0.0
["""col_567""" = 2], ["""col_1883""" = 1]	[Target]	0.0	0.0	215.0	0.0
["""col_508""" = 1], ["""col_682""" = 0]	[Target]	0.0	0.0	247.0	0.0
["""col_129""" = 2], ["""col_1050""" = 0]	[Target]	0.0	0.0	198.0	0.0
["""col_268""" = 0], ["""col_292""" = 4], ["""col_738""" = 1]	[Target]	0.0	0.0	47.0	0.0
