Description	Target	Measure	E11	E10	E01
["""col_1250""" = 0]	[Target]	0.0	0.0	1137.0	0.0
["""col_830""" = 1], ["""col_1777""" = 0]	[Target]	0.0	0.0	232.0	0.0
["""col_361""" = 4], ["""col_1405""" = 2]	[Target]	0.0	0.0	214.0	0.0
["""col_1212""" = 3], ["""col_1880""" = 0]	[Target]	0.0	0.0	226.0	0.0
["""col_755""" = 0], ["""col_1545""" = 1]	[Target]	0.0	0.0	224.0	0.0
["""col_261""" = 3], ["""col_411""" = 3]	[Target]	0.0	0.0	249.0	0.0
["""col_1622""" = 4], ["""col_1939""" = 2]	[Target]	0.0	0.0	223.0	0.0
["""col_386""" = 0], ["""col_458""" = 2], ["""col_1568""" = 2]	[Target]	0.0	0.0	51.0	0.0
["""col_701""" = 2], ["""col_1257""" = 3]	[Target]	0.0	0.0	217.0	0.0
["""col_59""" = 0], ["""col_360""" = 1]	[Target]	0.0	0.0	212.0	0.0
["""col_89""" = 1], ["""col_409""" = 4], ["""col_1266""" = 4]	[Target]	0.0	0.0	39.0	0.0
["""col_850""" = 4], ["""col_1166""" = 4], ["""col_1532""" = 0]	[Target]	0.0	0.0	43.0	0.0
["""col_1765""" = 3], ["""col_1817""" = 4]	[Target]	0.0	0.0	197.0	0.0
["""col_1353""" = 4], ["""col_1773""" = 2]	[Target]	0.0	0.0	220.0	0.0
["""col_479""" = 0], ["""col_1276""" = 3]	[Target]	0.0	0.0	223.0	0.0
["""col_114""" = 4], ["""col_320""" = 1]	[Target]	0.0	0.0	223.0	0.0
["""col_1680""" = 0], ["""col_1983""" = 3]	[Target]	0.0	0.0	212.0	0.0
["""col_208""" = 4], ["""col_1975""" = 0]	[Target]	0.0	0.0	227.0	0.0
["""col_387""" = 4], ["""col_1074""" = 3]	[Target]	0.0	0.0	211.0	0.0
["""col_487""" = 3], ["""col_1786""" = 2]	[Target]	0.0	0.0	209.0	0.0
["""col_648""" = 4], ["""col_1226""" = 1]	[Target]	0.0	0.0	197.0	0.0
["""col_214""" = 1], ["""col_1363""" = 4]	[Target]	0.0	0.0	202.0	0.0
["""col_1265""" = 0], ["""col_1623""" = 1]	[Target]	0.0	0.0	220.0	0.0
["""col_1598""" = 0], ["""col_1787""" = 0]	[Target]	0.0	0.0	233.0	0.0
["""col_12""" = 1], ["""col_95""" = 4]	[Target]	0.0	0.0	195.0	0.0
["""col_973""" = 2], ["""col_1096""" = 1]	[Target]	0.0	0.0	227.0	0.0
["""col_354""" = 3], ["""col_1043""" = 0]	[Target]	0.0	0.0	233.0	0.0
["""col_333""" = 2], ["""col_1043""" = 2]	[Target]	0.0	0.0	211.0	0.0
["""col_5""" = 1], ["""col_1408""" = 3], ["""col_1676""" = 3]	[Target]	0.0	0.0	50.0	0.0
["""col_117""" = 3], ["""col_1422""" = 3]	[Target]	0.0	0.0	193.0	0.0
["""col_1101""" = 3], ["""col_1142""" = 0]	[Target]	0.0	0.0	201.0	0.0
["""col_175""" = 3], ["""col_1851""" = 0]	[Target]	0.0	0.0	219.0	0.0
["""col_1197""" = 1], ["""col_1764""" = 1]	[Target]	0.0	0.0	203.0	0.0
["""col_680""" = 2], ["""col_1012""" = 3]	[Target]	0.0	0.0	233.0	0.0
["""col_419""" = 4], ["""col_1810""" = 0]	[Target]	0.0	0.0	219.0	0.0
["""col_861""" = 3], ["""col_1546""" = 0]	[Target]	0.0	0.0	204.0	0.0
["""col_210""" = 2], ["""col_882""" = 2]	[Target]	0.0	0.0	234.0	0.0
["""col_1633""" = 0], ["""col_1727""" = 1]	[Target]	0.0	0.0	229.0	0.0
["""col_521""" = 1], ["""col_825""" = 3]	[Target]	0.0	0.0	224.0	0.0
["""col_1613""" = 2], ["""col_1764""" = 4]	[Target]	0.0	0.0	197.0	0.0
["""col_1177""" = 3], ["""col_1403""" = 4]	[Target]	0.0	0.0	227.0	0.0
["""col_280""" = 0], ["""col_1183""" = 0]	[Target]	0.0	0.0	226.0	0.0
["""col_209""" = 2], ["""col_1399""" = 0]	[Target]	0.0	0.0	251.0	0.0
["""col_1018""" = 4], ["""col_1264""" = 1], ["""col_1621""" = 3]	[Target]	0.0	0.0	38.0	0.0
["""col_750""" = 2], ["""col_1078""" = 0]	[Target]	0.0	0.0	207.0	0.0
["""col_72""" = 0], ["""col_324""" = 1], ["""col_1014""" = 2], ["""col_1291""" = 0]	[Target]	0.0	0.0	17.0	0.0
["""col_999""" = 4], ["""col_1751""" = 3]	[Target]	0.0	0.0	227.0	0.0
["""col_178""" = 4], ["""col_388""" = 1]	[Target]	0.0	0.0	230.0	0.0
["""col_788""" = 2], ["""col_1546""" = 2]	[Target]	0.0	0.0	233.0	0.0
["""col_504""" = 3], ["""col_1182""" = 4]	[Target]	0.0	0.0	217.0	0.0
