Description	Target	Measure	E11	E10	E01
["""col_1973""" = 0]	[Target]	0.0	0.0	1140.0	0.0
["""col_863""" = 2], ["""col_1308""" = 0]	[Target]	0.0	0.0	229.0	0.0
["""col_442""" = 0], ["""col_1378""" = 3]	[Target]	0.0	0.0	233.0	0.0
["""col_1243""" = 0], ["""col_1924""" = 4]	[Target]	0.0	0.0	215.0	0.0
["""col_201""" = 4], ["""col_1898""" = 2]	[Target]	0.0	0.0	232.0	0.0
["""col_310""" = 1], ["""col_364""" = 4]	[Target]	0.0	0.0	216.0	0.0
["""col_419""" = 4], ["""col_1866""" = 3]	[Target]	0.0	0.0	242.0	0.0
["""col_742""" = 0], ["""col_1209""" = 1]	[Target]	0.0	0.0	231.0	0.0
["""col_1306""" = 4], ["""col_1759""" = 2]	[Target]	0.0	0.0	248.0	0.0
["""col_66""" = 0], ["""col_783""" = 0], ["""col_1396""" = 2]	[Target]	0.0	0.0	37.0	0.0
["""col_1290""" = 3], ["""col_1866""" = 1]	[Target]	0.0	0.0	236.0	0.0
["""col_1416""" = 3], ["""col_1798""" = 3]	[Target]	0.0	0.0	206.0	0.0
["""col_524""" = 3], ["""col_614""" = 3]	[Target]	0.0	0.0	206.0	0.0
["""col_563""" = 0], ["""col_788""" = 3], ["""col_1633""" = 3]	[Target]	0.0	0.0	54.0	0.0
["""col_88""" = 0], ["""col_407""" = 0]	[Target]	0.0	0.0	219.0	0.0
["""col_243""" = 1], ["""col_704""" = 0]	[Target]	0.0	0.0	211.0	0.0
["""col_1361""" = 0], ["""col_1730""" = 3]	[Target]	0.0	0.0	220.0	0.0
["""col_52""" = 2], ["""col_383""" = 3]	[Target]	0.0	0.0	229.0	0.0
["""col_260""" = 4], ["""col_1917""" = 1]	[Target]	0.0	0.0	207.0	0.0
["""col_901""" = 3], ["""col_1951""" = 3]	[Target]	0.0	0.0	197.0	0.0
["""col_152""" = 4], ["""col_801""" = 0], ["""col_1023""" = 0]	[Target]	0.0	0.0	51.0	0.0
["""col_265""" = 1], ["""col_1967""" = 0]	[Target]	0.0	0.0	227.0	0.0
["""col_703""" = 2], ["""col_1488""" = 2]	[Target]	0.0	0.0	222.0	0.0
["""col_1074""" = 1], ["""col_1855""" = 2]	[Target]	0.0	0.0	234.0	0.0
["""col_758""" = 1], ["""col_1168""" = 1]	[Target]	0.0	0.0	233.0	0.0
["""col_1336""" = 0], ["""col_1450""" = 2], ["""col_1533""" = 2], ["""col_1596""" = 1]	[Target]	0.0	0.0	10.0	0.0
["""col_253""" = 4], ["""col_448""" = 3]	[Target]	0.0	0.0	232.0	0.0
["""col_1516""" = 4], ["""col_1908""" = 2]	[Target]	0.0	0.0	225.0	0.0
["""col_571""" = 0], ["""col_836""" = 1], ["""col_891""" = 1]	[Target]	0.0	0.0	45.0	0.0
["""col_445""" = 0], ["""col_498""" = 1]	[Target]	0.0	0.0	201.0	0.0
["""col_808""" = 3], ["""col_1309""" = 0]	[Target]	0.0	0.0	235.0	0.0
["""col_83""" = 3], ["""col_627""" = 3]	[Target]	0.0	0.0	254.0	0.0
["""col_681""" = 2], ["""col_1742""" = 3], ["""col_1941""" = 0]	[Target]	0.0	0.0	42.0	0.0
["""col_748""" = 2], ["""col_1351""" = 0]	[Target]	0.0	0.0	245.0	0.0
["""col_709""" = 4], ["""col_1212""" = 1]	[Target]	0.0	0.0	203.0	0.0
["""col_4""" = 2], ["""col_471""" = 0], ["""col_1205""" = 4]	[Target]	0.0	0.0	50.0	0.0
["""col_97""" = 4], ["""col_267""" = 0], ["""col_776""" = 4]	[Target]	0.0	0.0	38.0	0.0
["""col_708""" = 1], ["""col_1449""" = 0]	[Target]	0.0	0.0	240.0	0.0
["""col_57""" = 2], ["""col_1919""" = 2]	[Target]	0.0	0.0	225.0	0.0
["""col_996""" = 3], ["""col_1607""" = 1]	[Target]	0.0	0.0	235.0	0.0
["""col_285""" = 4], ["""col_1394""" = 0]	[Target]	0.0	0.0	215.0	0.0
["""col_732""" = 2], ["""col_975""" = 1]	[Target]	0.0	0.0	237.0	0.0
["""col_1494""" = 4], ["""col_1691""" = 3]	[Target]	0.0	0.0	235.0	0.0
["""col_365""" = 1], ["""col_1813""" = 0]	[Target]	0.0	0.0	230.0	0.0
["""col_935""" = 1], ["""col_1912""" = 3]	[Target]	0.0	0.0	243.0	0.0
["""col_707""" = 1], ["""col_1682""" = 4]	[Target]	0.0	0.0	228.0	0.0
["""col_249""" = 4], ["""col_1762""" = 1]	[Target]	0.0	0.0	234.0	0.0
["""col_1205""" = 1], ["""col_1521""" = 4]	[Target]	0.0	0.0	224.0	0.0
["""col_448""" = 1], ["""col_1822""" = 4]	[Target]	0.0	0.0	221.0	0.0
["""col_847""" = 0], ["""col_1636""" = 3]	[Target]	0.0	0.0	207.0	0.0
