Description	Target	Measure	E11	E10	E01
["""col_1845""" = 1]	[Target]	0.0	0.0	1107.0	0.0
["""col_726""" = 3], ["""col_1307""" = 3]	[Target]	0.0	0.0	212.0	0.0
["""col_994""" = 2], ["""col_1738""" = 2]	[Target]	0.0	0.0	217.0	0.0
["""col_208""" = 0], ["""col_1049""" = 4]	[Target]	0.0	0.0	234.0	0.0
["""col_583""" = 4], ["""col_1279""" = 3]	[Target]	0.0	0.0	225.0	0.0
["""col_716""" = 1], ["""col_1721""" = 4]	[Target]	0.0	0.0	226.0	0.0
["""col_579""" = 4], ["""col_826""" = 2], ["""col_1227""" = 3], ["""col_1434""" = 3]	[Target]	0.0	0.0	13.0	0.0
["""col_24""" = 0], ["""col_1016""" = 3]	[Target]	0.0	0.0	231.0	0.0
["""col_892""" = 4], ["""col_1555""" = 3]	[Target]	0.0	0.0	252.0	0.0
["""col_630""" = 1], ["""col_648""" = 1]	[Target]	0.0	0.0	233.0	0.0
["""col_742""" = 1], ["""col_1743""" = 0]	[Target]	0.0	0.0	236.0	0.0
["""col_152""" = 0], ["""col_1142""" = 4]	[Target]	0.0	0.0	201.0	0.0
["""col_372""" = 3], ["""col_1439""" = 1]	[Target]	0.0	0.0	216.0	0.0
["""col_1169""" = 1], ["""col_1583""" = 0]	[Target]	0.0	0.0	215.0	0.0
["""col_966""" = 3], ["""col_1716""" = 3]	[Target]	0.0	0.0	231.0	0.0
["""col_576""" = 3], ["""col_1345""" = 1]	[Target]	0.0	0.0	239.0	0.0
["""col_692""" = 2], ["""col_739""" = 1]	[Target]	0.0	0.0	223.0	0.0
["""col_727""" = 4], ["""col_1248""" = 2]	[Target]	0.0	0.0	226.0	0.0
["""col_504""" = 3], ["""col_829""" = 4], ["""col_1490""" = 0]	[Target]	0.0	0.0	37.0	0.0
["""col_614""" = 2], ["""col_1095""" = 0], ["""col_1346""" = 4], ["""col_1751""" = 0]	[Target]	0.0	0.0	14.0	0.0
["""col_404""" = 3], ["""col_697""" = 1]	[Target]	0.0	0.0	233.0	0.0
["""col_251""" = 4], ["""col_1470""" = 1]	[Target]	0.0	0.0	214.0	0.0
["""col_755""" = 1], ["""col_1252""" = 1]	[Target]	0.0	0.0	235.0	0.0
["""col_1588""" = 1], ["""col_1674""" = 3]	[Target]	0.0	0.0	288.0	0.0
["""col_278""" = 2], ["""col_288""" = 3]	[Target]	0.0	0.0	220.0	0.0
["""col_735""" = 1], ["""col_1183""" = 0], ["""col_1926""" = 3]	[Target]	0.0	0.0	44.0	0.0
["""col_1038""" = 2], ["""col_1648""" = 1], ["""col_1671""" = 0]	[Target]	0.0	0.0	38.0	0.0
["""col_370""" = 4], ["""col_1048""" = 3]	[Target]	0.0	0.0	219.0	0.0
["""col_741""" = 4], ["""col_1713""" = 4], ["""col_1933""" = 4]	[Target]	0.0	0.0	39.0	0.0
["""col_1439""" = 0], ["""col_1945""" = 4]	[Target]	0.0	0.0	233.0	0.0
["""col_1297""" = 3], ["""col_1498""" = 1]	[Target]	0.0	0.0	211.0	0.0
["""col_983""" = 4], ["""col_1747""" = 1]	[Target]	0.0	0.0	201.0	0.0
["""col_1146""" = 1], ["""col_1447""" = 1]	[Target]	0.0	0.0	203.0	0.0
["""col_912""" = 4], ["""col_956""" = 4]	[Target]	0.0	0.0	251.0	0.0
["""col_341""" = 0], ["""col_1647""" = 0]	[Target]	0.0	0.0	219.0	0.0
["""col_898""" = 4], ["""col_1913""" = 1]	[Target]	0.0	0.0	226.0	0.0
["""col_743""" = 1], ["""col_1004""" = 1], ["""col_1607""" = 2]	[Target]	0.0	0.0	29.0	0.0
["""col_214""" = 0], ["""col_770""" = 3]	[Target]	0.0	0.0	238.0	0.0
["""col_640""" = 3], ["""col_1016""" = 1], ["""col_1535""" = 1]	[Target]	0.0	0.0	42.0	0.0
["""col_30""" = 3], ["""col_1539""" = 3]	[Target]	0.0	0.0	222.0	0.0
["""col_827""" = 3], ["""col_1006""" = 2]	[Target]	0.0	0.0	242.0	0.0
["""col_553""" = 4], ["""col_630""" = 2], ["""col_1354""" = 0]	[Target]	0.0	0.0	45.0	0.0
["""col_24""" = 3], ["""col_1406""" = 0]	[Target]	0.0	0.0	202.0	0.0
["""col_268""" = 4], ["""col_1451""" = 2], ["""col_1459""" = 3]	[Target]	0.0	0.0	41.0	0.0
["""col_9""" = 4], ["""col_1121""" = 0]	[Target]	0.0	0.0	240.0	0.0
["""col_143""" = 2], ["""col_1587""" = 3]	[Target]	0.0	0.0	241.0	0.0
["""col_518""" = 1], ["""col_1706""" = 4]	[Target]	0.0	0.0	252.0	0.0
["""col_861""" = 4], ["""col_1683""" = 4]	[Target]	0.0	0.0	225.0	0.0
["""col_340""" = 1], ["""col_1059""" = 2]	[Target]	0.0	0.0	204.0	0.0
["""col_1189""" = 3], ["""col_1974""" = 1]	[Target]	0.0	0.0	228.0	0.0
