Label 	 Pattern 	 Pattern_num 	 P(class|pattern) 	 Supp in class 	 Supp in data 
0	['ENSG00000169991', 'ENSG00000154027', 'ENSG00000122406', 'ENSG00000253831', 'ENSG00000143858', 'ENSG00000166405', 'ENSG00000019485', 'ENSG00000151364', 'ENSG00000135519', 'ENSG00000139597', 'ENSG00000136111', 'ENSG00000168970', 'ENSG00000258461', 'ENSG00000092529', 'ENSG00000166762', 'ENSG00000103852', 'ENSG00000006210', 'ENSG00000186847', 'ENSG00000173805', 'ENSG00000108840', 'ENSG00000154265', 'ENSG00000176533', 'ENSG00000105227', 'ENSG00000196337', 'ENSG00000283663', 'ENSG00000198885', 'ENSG00000153246', 'ENSG00000099889', 'ENSG00000161180', 'ENSG00000100129', 'ENSG00000128159', 'ENSG00000179796', 'ENSG00000013293', 'ENSG00000169435', 'ENSG00000154553', 'ENSG00000170549', 'ENSG00000127743', 'ENSG00000172201', 'ENSG00000171462', 'ENSG00000122644', 'ENSG00000197576', 'ENSG00000157168', 'ENSG00000135063', 'ENSG00000136848', 'ENSG00000077264']	[246, 808, 882, 1368, 1693, 2971, 3142, 3680, 4407, 5152, 5285, 6142, 6151, 6152, 6175, 6579, 7147, 8075, 8080, 8157, 8434, 8998, 9751, 10024, 10026, 10868, 11133, 12429, 12461, 12647, 12798, 12941, 13732, 14208, 14614, 14657, 15290, 15600, 16019, 16629, 16686, 17639, 18346, 18605, 19439]	100.0	3.4091	1.6949
0	['ENSG00000126091', 'ENSG00000158887', 'ENSG00000143171', 'ENSG00000143196', 'ENSG00000188783', 'ENSG00000123243', 'ENSG00000152465', 'ENSG00000026025', 'ENSG00000042286', 'ENSG00000120049', 'ENSG00000165868', 'ENSG00000133800', 'ENSG00000221968', 'ENSG00000186642', 'ENSG00000170276', 'ENSG00000019144', 'ENSG00000076706', 'ENSG00000166250', 'ENSG00000154133', 'ENSG00000221932', 'ENSG00000110799', 'ENSG00000135447', 'ENSG00000135437', 'ENSG00000076555', 'ENSG00000257767', 'ENSG00000111275', 'ENSG00000176438', 'ENSG00000184601', 'ENSG00000182636', 'ENSG00000092445', 'ENSG00000166947', 'ENSG00000171914', 'ENSG00000159387', 'ENSG00000087237', 'ENSG00000065325', 'ENSG00000271447', 'ENSG00000131480', 'ENSG00000161649', 'ENSG00000167434', 'ENSG00000108622', 'ENSG00000167676', 'ENSG00000167772', 'ENSG00000131943', 'ENSG00000130876', 'ENSG00000245848', 'ENSG00000126251', 'ENSG00000004776', 'ENSG00000024422', 'ENSG00000105609', 'ENSG00000186453', 'ENSG00000116016', 'ENSG00000259916', 'ENSG00000171227', 'ENSG00000179921', 'ENSG00000135917', 'ENSG00000171596', 'ENSG00000186458', 'ENSG00000158445', 'ENSG00000124253', 'ENSG00000170262', 'ENSG00000132170', 'ENSG00000131386', 'ENSG00000010319', 'ENSG00000144908', 'ENSG00000074416', 'ENSG00000168917', 'ENSG00000163710', 'ENSG00000187758', 'ENSG00000133401', 'ENSG00000145708', 'ENSG00000172901', 'ENSG00000157510', 'ENSG00000211445', 'ENSG00000198624', 'ENSG00000164330', 'ENSG00000153162', 'ENSG00000168477', 'ENSG00000135604', 'ENSG00000153303', 'ENSG00000135218', 'ENSG00000091704', 'ENSG00000175445', 'ENSG00000164929', 'ENSG00000122729', 'ENSG00000235387', 'ENSG00000169692', 'ENSG00000158571', 'ENSG00000022267', 'ENSG00000129680', 'ENSG00000102181']	[593, 1462, 1490, 1517, 1708, 2070, 2106, 2115, 2317, 2567, 2654, 2994, 3352, 3620, 3828, 3901, 3924, 3947, 3983, 3984, 4087, 4527, 4552, 4860, 4894, 4895, 5919, 5984, 6027, 6137, 6163, 6292, 7112, 7139, 7690, 7915, 8126, 8149, 8355, 8397, 9055, 9163, 9546, 9565, 9566, 9600, 9622, 9966, 10207, 10464, 10613, 10847, 11006, 11406, 11484, 11507, 11618, 12018, 12064, 12238, 12882, 12916, 13219, 13499, 13515, 13580, 13621, 14330, 14710, 14898, 15016, 15287, 15315, 15318, 15358, 15549, 15835, 16426, 16529, 16925, 17243, 17546, 17913, 18214, 18290, 18818, 19197, 19564, 19565, 19618]	100.0	11.3636	5.6497
0	['ENSG00000143858', 'ENSG00000153820', 'ENSG00000119900']	[1693, 11487, 16131]	100.0	25.0	12.4294
0	['ENSG00000166405', 'ENSG00000258461']	[2971, 6151]	96.97	36.3636	18.6441
0	['ENSG00000133800']	[2994]	100.0	51.1364	25.4237
0	['ENSG00000133800', 'ENSG00000130876', 'ENSG00000091704']	[2994, 9565, 17243]	100.0	27.2727	13.5593
0	['ENSG00000180332', 'ENSG00000013293']	[5208, 13732]	100.0	38.6364	19.209
0	['ENSG00000169435']	[14208]	85.42	46.5909	27.1186
1	['ENSG00000116237']	[84]	86.05	41.573	24.2938
1	['ENSG00000007968']	[305]	97.73	48.3146	24.8588
