Label 	 Pattern 	 Pattern_num 	 P(class|pattern) 	 Supp in class 	 Supp in data 
Adj normal	['ENSG00000162413', 'ENSG00000172318', 'ENSG00000003756']	[95, 11159, 13162]	100.0	22.5225	11.2613
Adj normal	['ENSG00000131686', 'ENSG00000160049', 'ENSG00000065526', 'ENSG00000159176', 'ENSG00000196878', 'ENSG00000148498', 'ENSG00000198105', 'ENSG00000185737', 'ENSG00000269891', 'ENSG00000166833', 'ENSG00000170209', 'ENSG00000135436', 'ENSG00000100814', 'ENSG00000165799', 'ENSG00000138606', 'ENSG00000179335', 'ENSG00000140511', 'ENSG00000141101', 'ENSG00000103091', 'ENSG00000141258', 'ENSG00000105227', 'ENSG00000119787', 'ENSG00000071051', 'ENSG00000172318', 'ENSG00000185019', 'ENSG00000159200', 'ENSG00000100353', 'ENSG00000128346', 'ENSG00000003756', 'ENSG00000181744', 'ENSG00000180346', 'ENSG00000164169', 'ENSG00000198948', 'ENSG00000173320', 'ENSG00000127743', 'ENSG00000172201', 'ENSG00000171462', 'ENSG00000213214', 'ENSG00000034239', 'ENSG00000165071', 'ENSG00000198467', 'ENSG00000165186', 'ENSG00000268104']	[109, 129, 210, 1679, 1774, 2180, 2188, 2403, 2501, 3061, 3846, 4409, 5415, 5442, 6199, 6407, 6525, 7277, 7324, 7493, 9751, 10575, 10937, 11159, 11673, 12270, 12615, 12649, 13162, 13626, 14309, 14490, 14568, 14598, 15290, 15600, 16019, 17354, 17707, 17998, 18277, 19001, 19456]	100.0	2.7027	1.3514
Adj normal	['ENSG00000065526', 'ENSG00000198105', 'ENSG00000188234', 'ENSG00000177853', 'ENSG00000269891', 'ENSG00000135436', 'ENSG00000061987', 'ENSG00000279765', 'ENSG00000177200', 'ENSG00000135976', 'ENSG00000172318', 'ENSG00000077092', 'ENSG00000188086', 'ENSG00000038219', 'ENSG00000180346', 'ENSG00000164169', 'ENSG00000135338', 'ENSG00000104332', 'ENSG00000083223', 'ENSG00000197816']	[210, 2188, 2215, 2492, 2501, 4409, 4647, 6568, 7105, 10882, 11159, 12937, 13082, 14007, 14309, 14490, 16158, 17678, 18400, 18463]	100.0	12.6126	6.3063
Adj normal	['ENSG00000164007', 'ENSG00000139144', 'ENSG00000139597', 'ENSG00000137872', 'ENSG00000109063', 'ENSG00000115593', 'ENSG00000172318', 'ENSG00000101230', 'ENSG00000065534', 'ENSG00000174611', 'ENSG00000090530', 'ENSG00000113396', 'ENSG00000145934', 'ENSG00000171462', 'ENSG00000148123']	[570, 4257, 5152, 6208, 7698, 10840, 11159, 11725, 13484, 13574, 13834, 15053, 15380, 16019, 18493]	100.0	13.5135	6.7568
Adj normal	['ENSG00000162407', 'ENSG00000174059', 'ENSG00000182118', 'ENSG00000123243', 'ENSG00000042286', 'ENSG00000186188', 'ENSG00000149124', 'ENSG00000133317', 'ENSG00000165478', 'ENSG00000257767', 'ENSG00000111275', 'ENSG00000182782', 'ENSG00000137878', 'ENSG00000131471', 'ENSG00000166960', 'ENSG00000183287', 'ENSG00000167676', 'ENSG00000171227', 'ENSG00000080293', 'ENSG00000115361', 'ENSG00000171596', 'ENSG00000101331', 'ENSG00000187288', 'ENSG00000132170', 'ENSG00000134962', 'ENSG00000187758', 'ENSG00000109794', 'ENSG00000133401', 'ENSG00000112964', 'ENSG00000268714', 'ENSG00000164330', 'ENSG00000146122', 'ENSG00000069122', 'ENSG00000189367', 'ENSG00000135604', 'ENSG00000180354', 'ENSG00000127920', 'ENSG00000160868', 'ENSG00000106034', 'ENSG00000221866']	[728, 1771, 1911, 2070, 2317, 2469, 3282, 3404, 3985, 4894, 4895, 4997, 6269, 8127, 8750, 8846, 9055, 11006, 11007, 11378, 11507, 11816, 12857, 12882, 14067, 14330, 14617, 14710, 14764, 15017, 15358, 15960, 16058, 16340, 16426, 16709, 16975, 17027, 17180, 17251]	100.0	8.1081	4.0541
Adj normal	['ENSG00000174059', 'ENSG00000123243', 'ENSG00000170276', 'ENSG00000165410', 'ENSG00000140009', 'ENSG00000183549', 'ENSG00000005243', 'ENSG00000108960', 'ENSG00000108622', 'ENSG00000167676', 'ENSG00000116016', 'ENSG00000171227', 'ENSG00000123612', 'ENSG00000144908', 'ENSG00000272414', 'ENSG00000187758', 'ENSG00000248144', 'ENSG00000124785', 'ENSG00000135604', 'ENSG00000127920', 'ENSG00000160868', 'ENSG00000266265', 'ENSG00000154188', 'ENSG00000106823', 'ENSG00000022267']	[1771, 2070, 3828, 5569, 5710, 6881, 8228, 8302, 8397, 9055, 10613, 11006, 11120, 13499, 14240, 14330, 14332, 15540, 16426, 16975, 17027, 17248, 17925, 18427, 19564]	100.0	13.5135	6.7568
Adj normal	['ENSG00000152465', 'ENSG00000189129', 'ENSG00000171227', 'ENSG00000168497', 'ENSG00000179921', 'ENSG00000105971', 'ENSG00000168079']	[2106, 2395, 11006, 11283, 11406, 17166, 17614]	100.0	22.5225	11.2613
Adj normal	['ENSG00000111275', 'ENSG00000259916', 'ENSG00000132170', 'ENSG00000112964']	[4895, 10847, 12882, 14764]	100.0	37.8378	18.9189
Adj normal	['ENSG00000183287']	[8846]	89.29	45.045	25.2252
Adj normal	['ENSG00000171462']	[16019]	100.0	50.4505	25.2252
Adj normal	['ENSG00000197343']	[17020]	67.86	34.2342	25.2252
tumor	['ENSG00000134690', 'ENSG00000142945', 'ENSG00000024526', 'ENSG00000143368', 'ENSG00000143569', 'ENSG00000173207', 'ENSG00000163468', 'ENSG00000143294', 'ENSG00000186283', 'ENSG00000198860', 'ENSG00000134375', 'ENSG00000143476', 'ENSG00000136628', 'ENSG00000143799', 'ENSG00000168275', 'ENSG00000188739', 'ENSG00000116957', 'ENSG00000162851', 'ENSG00000158042', 'ENSG00000111206', 'ENSG00000167553', 'ENSG00000161800', 'ENSG00000205352', 'ENSG00000139579', 'ENSG00000162062', 'ENSG00000186185', 'ENSG00000104889', 'ENSG00000104824', 'ENSG00000032389', 'ENSG00000088325', 'ENSG00000132182', 'ENSG00000129810', 'ENSG00000163808', 'ENSG00000163882', 'ENSG00000109674', 'ENSG00000049656', 'ENSG00000113368', 'ENSG00000106462', 'ENSG00000165304', 'ENSG00000126768', 'ENSG00000090889', 'ENSG00000102384']	[510, 608, 781, 1134, 1276, 1291, 1345, 1361, 1579, 1617, 1684, 1794, 1823, 1867, 1928, 1932, 1935, 1978, 2947, 4062, 4401, 4419, 4497, 4578, 6709, 8181, 9308, 9701, 10384, 11809, 12891, 12929, 13051, 13795, 14587, 14649, 15044, 17365, 18298, 19116, 19249, 19350]	100.0	1.8018	0.9009
tumor	['ENSG00000142945', 'ENSG00000143569', 'ENSG00000163468', 'ENSG00000118193', 'ENSG00000134375', 'ENSG00000143476', 'ENSG00000136628', 'ENSG00000116957', 'ENSG00000138180', 'ENSG00000111206', 'ENSG00000167553', 'ENSG00000166851', 'ENSG00000103121', 'ENSG00000101057', 'ENSG00000175063', 'ENSG00000163808', 'ENSG00000013810', 'ENSG00000164032', 'ENSG00000109674', 'ENSG00000164611', 'ENSG00000106462', 'ENSG00000136982', 'ENSG00000165304', 'ENSG00000102384']	[608, 1276, 1345, 1664, 1684, 1794, 1823, 1935, 2467, 4062, 4401, 6921, 7357, 11935, 11984, 13051, 13923, 14341, 14587, 15370, 17365, 17953, 18298, 19350]	100.0	8.1081	4.0541
tumor	['ENSG00000142945', 'ENSG00000163472', 'ENSG00000136628', 'ENSG00000109919', 'ENSG00000101464', 'ENSG00000163808', 'ENSG00000164032', 'ENSG00000109674', 'ENSG00000049656', 'ENSG00000164611']	[608, 1341, 1823, 3182, 11854, 13051, 14341, 14587, 14649, 15370]	100.0	2.7027	1.3514
tumor	['ENSG00000143368', 'ENSG00000143569', 'ENSG00000116521', 'ENSG00000143476', 'ENSG00000255835', 'ENSG00000116957', 'ENSG00000205352']	[1134, 1276, 1312, 1794, 1859, 1935, 4497]	100.0	14.4144	7.2072
tumor	['ENSG00000143368', 'ENSG00000143569', 'ENSG00000163479', 'ENSG00000143476', 'ENSG00000168275', 'ENSG00000116957', 'ENSG00000205352', 'ENSG00000129810']	[1134, 1276, 1328, 1794, 1928, 1935, 4497, 12929]	100.0	9.9099	4.955
tumor	['ENSG00000143569', 'ENSG00000116521', 'ENSG00000163468', 'ENSG00000198860', 'ENSG00000198700', 'ENSG00000143771', 'ENSG00000255835', 'ENSG00000116957', 'ENSG00000162851', 'ENSG00000165629', 'ENSG00000158042', 'ENSG00000125505', 'ENSG00000182325', 'ENSG00000102178']	[1276, 1312, 1345, 1617, 1681, 1849, 1859, 1935, 1978, 2073, 2947, 10202, 18084, 19689]	100.0	4.5045	2.2523
tumor	['ENSG00000143569', 'ENSG00000163468', 'ENSG00000134375', 'ENSG00000136628', 'ENSG00000143771', 'ENSG00000255835', 'ENSG00000188739', 'ENSG00000116957', 'ENSG00000162851', 'ENSG00000181192', 'ENSG00000158042', 'ENSG00000205352', 'ENSG00000166803', 'ENSG00000104824', 'ENSG00000101310', 'ENSG00000101337', 'ENSG00000093009', 'ENSG00000035499', 'ENSG00000256646', 'ENSG00000172172', 'ENSG00000196305', 'ENSG00000203879']	[1276, 1345, 1684, 1823, 1849, 1859, 1932, 1935, 1978, 2081, 2947, 4497, 6309, 9701, 11749, 11818, 12420, 14816, 16762, 17956, 18422, 19685]	100.0	3.6036	1.8018
tumor	['ENSG00000173207']	[1291]	100.0	50.4505	25.2252
tumor	['ENSG00000116521', 'ENSG00000255835', 'ENSG00000205352']	[1312, 1859, 4497]	100.0	26.1261	13.0631
tumor	['ENSG00000118193']	[1664]	98.21	49.5495	25.2252
tumor	['ENSG00000136628', 'ENSG00000116957', 'ENSG00000162851', 'ENSG00000084733', 'ENSG00000100162', 'ENSG00000203879']	[1823, 1935, 1978, 10477, 12727, 19685]	100.0	12.6126	6.3063
