Label 	 Pattern 	 Pattern_num 	 P(class|pattern) 	 Supp in class 	 Supp in data 
non-government	['107', '236', '1105', '2032', '3818']	[np.int64(107), np.int64(236), np.int64(1105), np.int64(2032), np.int64(3818)]	100.0	0.0449	0.0312
non-government	['107', '400', '1105', '2032', '3110', '3818']	[np.int64(107), np.int64(400), np.int64(1105), np.int64(2032), np.int64(3110), np.int64(3818)]	100.0	0.0385	0.0267
non-government	['107', '1072', '1105', '2032', '3110', '3818']	[np.int64(107), np.int64(1072), np.int64(1105), np.int64(2032), np.int64(3110), np.int64(3818)]	100.0	0.0834	0.0579
non-government	['107', '1072', '1878', '2032', '3045', '3110']	[np.int64(107), np.int64(1072), np.int64(1878), np.int64(2032), np.int64(3045), np.int64(3110)]	100.0	0.0577	0.0401
non-government	['107', '1072', '2032', '3403']	[np.int64(107), np.int64(1072), np.int64(2032), np.int64(3403)]	92.86	0.0834	0.0623
non-government	['107', '1105', '1878', '2032']	[np.int64(107), np.int64(1105), np.int64(1878), np.int64(2032)]	99.01	1.2829	0.899
non-government	['107', '1105', '1878', '2032', '4623']	[np.int64(107), np.int64(1105), np.int64(1878), np.int64(2032), np.int64(4623)]	100.0	0.4554	0.316
non-government	['107', '1105', '2032']	[np.int64(107), np.int64(1105), np.int64(2032)]	98.96	2.431	1.7045
non-government	['107', '1105', '2032', '3045', '3110', '4623']	[np.int64(107), np.int64(1105), np.int64(2032), np.int64(3045), np.int64(3110), np.int64(4623)]	100.0	0.2053	0.1424
non-government	['107', '1105', '2032', '3045', '3818', '4596', '4623']	[np.int64(107), np.int64(1105), np.int64(2032), np.int64(3045), np.int64(3818), np.int64(4596), np.int64(4623)]	100.0	0.1475	0.1024
non-government	['107', '1105', '2032', '3110', '3818']	[np.int64(107), np.int64(1105), np.int64(2032), np.int64(3110), np.int64(3818)]	99.15	0.7441	0.5207
non-government	['107', '1878', '2032', '3110']	[np.int64(107), np.int64(1878), np.int64(2032), np.int64(3110)]	99.5	1.2829	0.8945
non-government	['107', '1878', '2032', '3110', '3818']	[np.int64(107), np.int64(1878), np.int64(2032), np.int64(3110), np.int64(3818)]	99.22	0.8146	0.5696
non-government	['107', '2032']	[np.int64(107), np.int64(2032)]	99.23	4.9326	3.449
non-government	['107', '2032', '3045']	[np.int64(107), np.int64(2032), np.int64(3045)]	99.46	2.3797	1.66
non-government	['107', '2032', '3818', '4623']	[np.int64(107), np.int64(2032), np.int64(3818), np.int64(4623)]	99.35	0.9814	0.6854
non-government	['107', '2032', '4623']	[np.int64(107), np.int64(2032), np.int64(4623)]	99.59	1.5651	1.0903
non-government	['107', '2032', '4623', '4668', '4695']	[np.int64(107), np.int64(2032), np.int64(4623), np.int64(4668), np.int64(4695)]	100.0	0.3528	0.2448
non-government	['110', '502', '681', '2306', '2868', '3822']	[np.int64(110), np.int64(502), np.int64(681), np.int64(2306), np.int64(2868), np.int64(3822)]	100.0	0.0513	0.0356
non-government	['137', '765', '867', '2365', '3301']	[np.int64(137), np.int64(765), np.int64(867), np.int64(2365), np.int64(3301)]	100.0	0.0641	0.0445
non-government	['137', '765', '2365', '3005', '3876']	[np.int64(137), np.int64(765), np.int64(2365), np.int64(3005), np.int64(3876)]	100.0	0.0321	0.0223
non-government	['168', '310', '765', '1333', '3024']	[np.int64(168), np.int64(310), np.int64(765), np.int64(1333), np.int64(3024)]	100.0	0.2309	0.1602
non-government	['197', '1419', '1646', '1706', '2179', '2686', '2813', '3843']	[np.int64(197), np.int64(1419), np.int64(1646), np.int64(1706), np.int64(2179), np.int64(2686), np.int64(2813), np.int64(3843)]	100.0	0.0577	0.0401
non-government	['311', '1585', '1602', '1871', '1910', '3268']	[np.int64(311), np.int64(1585), np.int64(1602), np.int64(1871), np.int64(1910), np.int64(3268)]	100.0	0.0706	0.049
non-government	['364', '494', '520', '959', '1577', '2926']	[np.int64(364), np.int64(494), np.int64(520), np.int64(959), np.int64(1577), np.int64(2926)]	100.0	0.0449	0.0312
non-government	['400', '2032']	[np.int64(400), np.int64(2032)]	99.4	1.0712	0.7477
non-government	['448', '2118', '2487', '2868', '3670', '4173']	[np.int64(448), np.int64(2118), np.int64(2487), np.int64(2868), np.int64(3670), np.int64(4173)]	100.0	0.1155	0.0801
non-government	['448', '2118', '2487', '2868', '3670', '4173', '4479']	[np.int64(448), np.int64(2118), np.int64(2487), np.int64(2868), np.int64(3670), np.int64(4173), np.int64(4479)]	100.0	0.0449	0.0312
non-government	['448', '2118', '2868', '3670', '4173', '4479']	[np.int64(448), np.int64(2118), np.int64(2868), np.int64(3670), np.int64(4173), np.int64(4479)]	100.0	0.1026	0.0712
non-government	['482', '1337', '2222', '3045']	[np.int64(482), np.int64(1337), np.int64(2222), np.int64(3045)]	100.0	0.186	0.1291
non-government	['520']	[np.int64(520)]	98.36	0.7697	0.5429
non-government	['559']	[np.int64(559)]	89.44	1.6292	1.2639
non-government	['559', '1830', '3381']	[np.int64(559), np.int64(1830), np.int64(3381)]	96.06	0.7826	0.5652
non-government	['559', '1830', '3381', '3504', '4172', '4355', '4376']	[np.int64(559), np.int64(1830), np.int64(3381), np.int64(3504), np.int64(4172), np.int64(4355), np.int64(4376)]	100.0	0.0257	0.0178
non-government	['609', '1792', '2926', '3056', '3320', '3584', '4036']	[np.int64(609), np.int64(1792), np.int64(2926), np.int64(3056), np.int64(3320), np.int64(3584), np.int64(4036)]	100.0	0.0128	0.0089
non-government	['805', '1984', '2422', '3135', '3333', '3684', '4307']	[np.int64(805), np.int64(1984), np.int64(2422), np.int64(3135), np.int64(3333), np.int64(3684), np.int64(4307)]	100.0	0.0449	0.0312
non-government	['1105']	[np.int64(1105)]	57.97	9.102	10.8945
non-government	['1105', '1878', '2032']	[np.int64(1105), np.int64(1878), np.int64(2032)]	99.28	2.6684	1.8647
non-government	['1499', '1602']	[np.int64(1499), np.int64(1602)]	98.39	0.3913	0.2759
non-government	['1602', '1910']	[np.int64(1602), np.int64(1910)]	95.07	1.3598	0.9924
non-government	['1984', '2422', '3135', '4307']	[np.int64(1984), np.int64(2422), np.int64(3135), np.int64(4307)]	100.0	0.1924	0.1335
non-government	['2032']	[np.int64(2032)]	99.41	20.4554	14.2768
non-government	['2032', '2796', '2920', '4259']	[np.int64(2032), np.int64(2796), np.int64(2920), np.int64(4259)]	100.0	0.2309	0.1602
non-government	['2032', '4605', '4686', '4695']	[np.int64(2032), np.int64(4605), np.int64(4686), np.int64(4695)]	100.0	0.5581	0.3872
non-government	['2032', '4623']	[np.int64(2032), np.int64(4623)]	99.87	4.8877	3.3956
non-government	['3403', '4320']	[np.int64(3403), np.int64(4320)]	95.31	1.3021	0.9479
government	['10', '1651', '2003', '2431', '3270', '3748']	[np.int64(10), np.int64(1651), np.int64(2003), np.int64(2431), np.int64(3270), np.int64(3748)]	100.0	0.0436	0.0134
government	['26', '765', '1487', '2706', '2807']	[np.int64(26), np.int64(765), np.int64(1487), np.int64(2706), np.int64(2807)]	100.0	0.0581	0.0178
government	['40', '97', '430', '632', '1602', '3426', '3456']	[np.int64(40), np.int64(97), np.int64(430), np.int64(632), np.int64(1602), np.int64(3426), np.int64(3456)]	100.0	0.0291	0.0089
government	['66', '74', '796', '2647', '3145', '3410', '3939']	[np.int64(66), np.int64(74), np.int64(796), np.int64(2647), np.int64(3145), np.int64(3410), np.int64(3939)]	100.0	0.0291	0.0089
government	['80', '633']	[np.int64(80), np.int64(633)]	93.67	1.0756	0.3516
government	['92', '236', '369', '566', '1072', '1532', '1629', '2632', '2833', '3291', '4270']	[np.int64(92), np.int64(236), np.int64(369), np.int64(566), np.int64(1072), np.int64(1532), np.int64(1629), np.int64(2632), np.int64(2833), np.int64(3291), np.int64(4270)]	100.0	0.0581	0.0178
government	['92', '236', '369', '566', '1532', '1629', '2632', '2833', '4270']	[np.int64(92), np.int64(236), np.int64(369), np.int64(566), np.int64(1532), np.int64(1629), np.int64(2632), np.int64(2833), np.int64(4270)]	100.0	0.1308	0.0401
government	['92', '369', '1629', '4270']	[np.int64(92), np.int64(369), np.int64(1629), np.int64(4270)]	95.83	0.3343	0.1068
government	['107', '633', '1878']	[np.int64(107), np.int64(633), np.int64(1878)]	82.76	3.4884	1.2906
government	['107', '1105', '1878', '3110', '3355', '3818']	[np.int64(107), np.int64(1105), np.int64(1878), np.int64(3110), np.int64(3355), np.int64(3818)]	98.25	0.814	0.2537
government	['107', '1105', '3355', '4704']	[np.int64(107), np.int64(1105), np.int64(3355), np.int64(4704)]	98.25	0.814	0.2537
government	['107', '1878', '3104', '3110', '3355']	[np.int64(107), np.int64(1878), np.int64(3104), np.int64(3110), np.int64(3355)]	100.0	0.2326	0.0712
government	['107', '1878', '3355', '4642']	[np.int64(107), np.int64(1878), np.int64(3355), np.int64(4642)]	90.0	0.5233	0.178
government	['107', '2087', '3355']	[np.int64(107), np.int64(2087), np.int64(3355)]	97.44	0.5523	0.1736
government	['107', '3110', '3355']	[np.int64(107), np.int64(3110), np.int64(3355)]	94.98	4.1279	1.3307
government	['107', '3355']	[np.int64(107), np.int64(3355)]	93.22	7.9942	2.6257
