Label 	 Pattern 	 Pattern_num 	 P(class|pattern) 	 Supp in class 	 Supp in data 
0	['col_6', 'col_174', 'col_422', 'col_477', 'col_530', 'col_915', 'col_929', 'col_948', 'col_1085', 'col_1263', 'col_1822', 'col_1836', 'col_1964']	[11, 179, 427, 482, 535, 920, 934, 953, 1090, 1268, 1827, 1841, 1969]	37.5	0.2648	0.3429
0	['col_29']	[34]	49.04	21.0062	20.8
0	['col_63', 'col_133', 'col_1036', 'col_1053']	[68, 138, 1041, 1058]	45.91	5.4428	5.7571
0	['col_64', 'col_145', 'col_163', 'col_195', 'col_227', 'col_1085', 'col_1927']	[69, 150, 168, 200, 232, 1090, 1932]	48.7	1.6475	1.6429
0	['col_79', 'col_195', 'col_438', 'col_522']	[84, 200, 443, 527]	47.92	5.4134	5.4857
0	['col_87', 'col_744', 'col_803', 'col_1454']	[92, 749, 808, 1459]	41.5	4.3836	5.1286
0	['col_136', 'col_306', 'col_311', 'col_375', 'col_522', 'col_1051', 'col_1443', 'col_1444']	[141, 311, 316, 380, 527, 1056, 1448, 1449]	39.0	1.1474	1.4286
0	['col_136', 'col_323', 'col_438', 'col_718', 'col_744', 'col_814', 'col_851', 'col_926', 'col_948', 'col_949', 'col_950', 'col_953', 'col_957', 'col_979', 'col_983', 'col_1002']	[141, 328, 443, 723, 749, 819, 856, 931, 953, 954, 955, 958, 962, 984, 988, 1007]	22.22	0.0588	0.1286
0	['col_139', 'col_162', 'col_168', 'col_216', 'col_249', 'col_279', 'col_280', 'col_284', 'col_296', 'col_320', 'col_335', 'col_343', 'col_344', 'col_347', 'col_351']	[144, 167, 173, 221, 254, 284, 285, 289, 301, 325, 340, 348, 349, 352, 356]	46.67	0.2059	0.2143
0	['col_145', 'col_434', 'col_1085', 'col_1537']	[150, 439, 1090, 1542]	42.21	4.9426	5.6857
0	['col_166', 'col_245', 'col_363', 'col_405', 'col_453', 'col_462', 'col_537', 'col_556']	[171, 250, 368, 410, 458, 467, 542, 561]	50.0	1.6181	1.5714
0	['col_188', 'col_223', 'col_407', 'col_718', 'col_767', 'col_1157', 'col_1429', 'col_1450']	[193, 228, 412, 723, 772, 1162, 1434, 1455]	44.86	1.4122	1.5286
0	['col_194', 'col_360', 'col_522', 'col_969', 'col_1406', 'col_1601', 'col_1663', 'col_1669', 'col_1714', 'col_1732', 'col_1849', 'col_1964']	[199, 365, 527, 974, 1411, 1606, 1668, 1674, 1719, 1737, 1854, 1969]	46.67	0.4119	0.4286
0	['col_245', 'col_375', 'col_391', 'col_400', 'col_407', 'col_537', 'col_948']	[250, 380, 396, 405, 412, 542, 953]	44.85	1.7946	1.9429
0	['col_332']	[337]	47.79	19.3881	19.7
0	['col_334', 'col_378', 'col_381', 'col_424', 'col_428', 'col_443', 'col_463']	[339, 383, 386, 429, 433, 448, 468]	55.37	1.9712	1.7286
0	['col_350']	[355]	48.69	19.7411	19.6857
0	['col_383', 'col_393', 'col_512', 'col_619', 'col_640', 'col_644', 'col_646', 'col_647', 'col_677', 'col_757', 'col_848', 'col_883']	[388, 398, 517, 624, 645, 649, 651, 652, 682, 762, 853, 888]	38.89	0.4119	0.5143
0	['col_433', 'col_515', 'col_595']	[438, 520, 600]	47.86	7.9141	8.0286
0	['col_529']	[534]	47.34	19.6528	20.1571
0	['col_650']	[655]	48.28	19.3586	19.4714
0	['col_703']	[708]	49.15	20.3883	20.1429
0	['col_788']	[793]	48.04	19.0939	19.3
0	['col_793', 'col_1680', 'col_1781']	[798, 1685, 1786]	49.23	7.5022	7.4
