,Description,Quality,tp,fp,TP,FP
9,safety = 'low',0.09992283950617283,576,0,1210,518
8,persons = '2',0.09992283950617283,576,0,1210,518
6,buying = 'vhigh',0.033275462962962965,360,72,1210,518
7,maint = 'vhigh',0.033275462962962965,360,72,1210,518
5,lug_boot = 'small',0.02700617283950616,450,126,1210,518
4,"buying = 'vhigh', maint = 'high'",0.018735532407407406,108,0,1210,518
2,"buying = 'vhigh', maint = 'vhigh'",0.018735532407407406,108,0,1210,518
3,"buying = 'high', maint = 'vhigh'",0.018735532407407406,108,0,1210,518
1,"buying = 'vhigh', lug_boot = 'small'",0.016878858024691357,130,14,1210,518
0,"lug_boot = 'small', maint = 'vhigh'",0.016878858024691357,130,14,1210,518
