,Description,Quality,tp,fp,TP,FP
9,cholesterol = '3',0.03062028285714286,6174,1892,34979,35021
8,"alco = '0', cholesterol = '3'",0.028482344285714285,5765,1782,34979,35021
7,"cholesterol = '3', smoke = '0'",0.027881581428571434,5634,1735,34979,35021
6,"alco = '0', cholesterol = '3', smoke = '0'",0.02650875571428572,5375,1668,34979,35021
5,"active = '1', cholesterol = '3'",0.025392567142857148,5075,1524,34979,35021
4,"active = '1', alco = '0', cholesterol = '3'",0.023654997142857147,4737,1429,34979,35021
3,"active = '1', cholesterol = '3', smoke = '0'",0.023147232857142857,4629,1392,34979,35021
2,"active = '1', alco = '0', cholesterol = '3', smoke = '0'",0.02203892,4415,1333,34979,35021
1,"cholesterol = '3', gender = '1'",0.021530958571428574,4284,1273,34979,35021
0,"cholesterol = '3', gender = '1', smoke = '0'",0.020994700000000005,4183,1247,34979,35021
