,Description,Quality,tp,fp,TP,FP
9,0 = 'o',0.0328262436001167,15597,4727,44473,23084
8,"0 = 'o', 35 = 'b'",0.032815385019498294,15591,4725,44473,23084
7,"0 = 'o', 41 = 'b'",0.032810327118150455,15590,4725,44473,23084
6,"0 = 'o', 29 = 'b'",0.032805640605764026,15591,4726,44473,23084
5,"0 = 'o', 35 = 'b', 41 = 'b'",0.03279946853753206,15584,4723,44473,23084
4,"0 = 'o', 29 = 'b', 35 = 'b'",0.03279478202514561,15585,4724,44473,23084
3,"0 = 'o', 29 = 'b', 41 = 'b'",0.032789724123797784,15584,4724,44473,23084
2,"0 = 'o', 29 = 'b', 35 = 'b', 41 = 'b'",0.03277886554317941,15578,4722,44473,23084
1,"0 = 'o', 17 = 'b'",0.0327274022076669,15537,4706,44473,23084
0,"0 = 'o', 17 = 'b', 35 = 'b'",0.03271654362704847,15531,4704,44473,23084
